id,created_at,text
1132554882555289600,2019-05-26 07:51:40,"RT @KhaledBeydoun: India's 210 Million Muslims are all vulnerable in Modi's India:

- Lynchings of Muslims by Hindu nationalists are rising…"
1132554877630967809,2019-05-26 07:51:39,RT @mkvenu1: A New Idea of India: Congress simply paled before Narendra Modi's vividly saffron new nation https://t.co/uBCjkPZCyK
1132554835037843456,2019-05-26 07:51:29,"Beware of ""chapas"" and ""dikhas"": PM Modi MPs
https://t.co/XjOnTyePeh via NaMo App https://t.co/jjzHgz5YBu"
1132554827505065984,2019-05-26 07:51:27,"Was called silent PM, but I wasn't afraid of talking to press: Manmohan Singh https://t.co/mjiT70WHZ3"
1132554820974460928,2019-05-26 07:51:25,"- Indian PM Narendra Modi’s reelection spells more frustration for US tech giants - TechCrunch
https://t.co/ltCi5DlGnt"
1132554817480613890,2019-05-26 07:51:24,“Nehru’s vision now appears to be in terminal decline” a chilling and terribly sad read from ⁦⁦@safimichael⁩ in wak… https://t.co/VTUkYFj9Pt
1132554813898743808,2019-05-26 07:51:24,"RT @RahulGandhi: I accept the verdict of the people of India 🇮🇳

Congratulations to the winners, Mr Modi &amp; the NDA.

Thank you to the peopl…"
1132554805304389632,2019-05-26 07:51:22,"RT @YRDeshmukh: More the liberals accuse ""Not my India"" the more they expose their own bias. This ""Me Vs Them"" narrative is less peddled by…"
1132554800653053957,2019-05-26 07:51:20,"RT @KTHopkins: Ilhan Omar. True Divider in Chief. 

“PM Modi's rule in India has corresponded with the spread of violent Hindu nationalism…"
1132554798979584001,2019-05-26 07:51:20,"RT @AskAnshul: Since Election result on 23 May, some so called Intellectuals have started tweeting &amp; creating narrative that Modi's return…"
1132554792830611456,2019-05-26 07:51:19,@YRDeshmukh This is Modi's New India
1132554777580195845,2019-05-26 07:51:15,RT @zaighamkhan: Mr. Modi and his Hindu nationalist supporters seemed to plunge an entire country into a moronic inferno. https://t.co/KkoL…
1132554759242522625,2019-05-26 07:51:11,"RT @ndtv: Jagan Reddy to meet PM Modi. His party won 151 seats in the 175-member Andhra Pradesh assembly.

Read here https://t.co/teqR2nmee…"
1132554742939303936,2019-05-26 07:51:07,RT @kavita_krishnan: Hey world. This is what is happening to Muslims in India a couple of days after Modi was reelected PM https://t.co/k4Q…
1132554737382023168,2019-05-26 07:51:05,"RT @AskAnshul: Since Election result on 23 May, some so called Intellectuals have started tweeting &amp; creating narrative that Modi's return…"
1132554728523436033,2019-05-26 07:51:03,"RT @YRDeshmukh: More the liberals accuse ""Not my India"" the more they expose their own bias. This ""Me Vs Them"" narrative is less peddled by…"
1132554722894761984,2019-05-26 07:51:02,"RT @IndianPrism: Seems Modi ji missed the memo on the gruesome lynching in MP that marked Day 1 of Modi 2.0. It was conducted by Ram Sena,…"
1132554717744078848,2019-05-26 07:51:01,RT @dhume: .⁦@tavleen_singh⁩: The 2014 general election marked the beginning of the end of India’s English-speaking ruling elite. The 2019…
1132554699071078400,2019-05-26 07:50:56,"@dviyer @IlhanMN Many opposition Leaders , liberals &amp; some Media people described him as a ""person who was lost"" wh… https://t.co/3XvrPUoDTn"
1132554687666937857,2019-05-26 07:50:54,"RT @KhaledBeydoun: Islamophobia is being wielded as a political weapon GLOBALLY:

- In India, Modi is promoting the subjugation of Muslims…"
1132554678963658753,2019-05-26 07:50:51,"RT @KhaledBeydoun: Islamophobia is being wielded as a political weapon GLOBALLY:

- In India, Modi is promoting the subjugation of Muslims…"
1132554660986859521,2019-05-26 07:50:47,"RT @IndianExpress: #ExpressOpinion | The past five years have been difficult for India’s ruling elite. 

@tavleen_singh writes:

https://t.…"
1132554624722907137,2019-05-26 07:50:39,"@narendramodi Congratulation Narendra Modi ji.......... I 
Lead the nation,  ""India"""
1132554616220995585,2019-05-26 07:50:37,"RT @AskAnshul: Since Election result on 23 May, some so called Intellectuals have started tweeting &amp; creating narrative that Modi's return…"
1132554596436463616,2019-05-26 07:50:32,"RT @krishnasj84: Big blow to dntv n all intellectuals who tried to fame modi as anti Muslim. 
@Tejasvi_Surya
https://t.co/9v5iSsqHfz"
1132554590958657536,2019-05-26 07:50:30,"RT @KTHopkins: Ilhan Omar. True Divider in Chief. 

“PM Modi's rule in India has corresponded with the spread of violent Hindu nationalism…"
1132554589688012800,2019-05-26 07:50:30,RT @WomensPowerBook: #RT #globalization Knowledge is power site:Using #Networking #trick n #YesWeCan Yes Modi did https://t.co/sK597TUYTW h…
1132554572323418112,2019-05-26 07:50:26,View: What this overwhelming mandate for Modi is actually all about https://t.co/WYRspbw9Qw
1132554570154950656,2019-05-26 07:50:26,RT @kavita_krishnan: Hey world. This is what is happening to Muslims in India a couple of days after Modi was reelected PM https://t.co/k4Q…
1132554566723985410,2019-05-26 07:50:25,"RT @cjwerleman: A mere 24 hours after Modi's Hindutva fascist government retains and expands power in India's election, an extremist mob ly…"
1132554539150635008,2019-05-26 07:50:18,"RT @KTHopkins: Ilhan Omar. True Divider in Chief. 

“PM Modi's rule in India has corresponded with the spread of violent Hindu nationalism…"
1132554527884791813,2019-05-26 07:50:15,"Modi’s conversation with India isn’t over yet, in fact it has just begun, says @SankarshanT, as he revisits Durgesh… https://t.co/RRgbCDkm4a"
1132554513821257728,2019-05-26 07:50:12,"RT @AskAnshul: Since Election result on 23 May, some so called Intellectuals have started tweeting &amp; creating narrative that Modi's return…"
1132554511212355586,2019-05-26 07:50:11,RT @IbnKhayyam: This passage in Pankaj Mishra's latest article for @nytimes is the most accurate and damning indictment of today's India.…
1132554510956617733,2019-05-26 07:50:11,The #ImamofPeace may not be aware of the sectarian violence in Gujarat under Modi’s reign there and the growing com… https://t.co/AgfXS76VAl
1132554510813999107,2019-05-26 07:50:11,"RT @YRDeshmukh: More the liberals accuse ""Not my India"" the more they expose their own bias. This ""Me Vs Them"" narrative is less peddled by…"
1132554505512464385,2019-05-26 07:50:10,RT @BirdsOfJannah: This is the India that western tourists don't see and western media outlets won't talk about. This is the India that som…
1132554492686159872,2019-05-26 07:50:07,"RT @AskAnshul: Since Election result on 23 May, some so called Intellectuals have started tweeting &amp; creating narrative that Modi's return…"
1132554486021468163,2019-05-26 07:50:05,"RT @india_suri: @narendramodi @PMOIndia

U r hopes for 24,000+ Jaypee #CheatedHomeBuyers    

@IDBI_Bank
@TheOfficialSBI
@LICIndiaForever…"
1132554485878779904,2019-05-26 07:50:05,"RT @KhaledBeydoun: India's 210 Million Muslims are all vulnerable in Modi's India:

- Lynchings of Muslims by Hindu nationalists are rising…"
1132554474705133568,2019-05-26 07:50:03,"RT @KTHopkins: Ilhan Omar. True Divider in Chief. 

“PM Modi's rule in India has corresponded with the spread of violent Hindu nationalism…"
1132554468195594240,2019-05-26 07:50:01,"RT @IlhanMN: PM Modi's rule in India has corresponded with the spread of violent Hindu nationalism and hate crimes against Muslims.

The Un…"
1132554466182324224,2019-05-26 07:50:01,"RT @AskAnshul: Since Election result on 23 May, some so called Intellectuals have started tweeting &amp; creating narrative that Modi's return…"
1132554455432552449,2019-05-26 07:49:58,"RT @FriedrichPieter: ""This is a disaster 4 #democracy,"" I say re: fascist #Modi's re-election. ""#India is fast becoming an organized, centr…"
1132554416903532545,2019-05-26 07:49:49,"RT @rahulroushan: Amit Shah, Yogi Adityanath, or any other next to Modi BJP leader should be worried. Liberals have become fulltime PR mach…"
