id,created_at,text
1109804089196662784,2019-03-24 13:08:08,"@ShatruganSinha declared that if there was #metoo in his era, he wud be in trouble. He was made Health Minister in… https://t.co/518SQF2Tcd"
1109755849835081728,2019-03-24 09:56:27,"@javerias @ImranKhanPTI U r correct and this shd also develop among citizens of both countries.

Everything is not… https://t.co/V4mka3y3sw"
1109711388413444097,2019-03-24 06:59:47,"RT @vaniprakashan55: #Relivingmenories 

This Photograph from our cherished album comes as a reminiscence of two legendary writers late Kun…"
1109504453802184704,2019-03-23 17:17:30,"people must ask from the party in power about report card.they must also ask opposition  about their  vision and roadmap 

#BhaagRahulBhaag"
1109378080261455872,2019-03-23 08:55:20,"#Relivingmenories 

This Photograph from our cherished album comes as a reminiscence of two legendary writers late… https://t.co/cCBd0aunQT"
1109132319699275776,2019-03-22 16:38:46,@yogrishiramdev @ChowkidarPhirSe @davidfrawleyved @UdayMahurkar @sardanarohit @AMISHDEVGAN @kumarnandaj… https://t.co/SBZnAr7KoT
1108998234138177536,2019-03-22 07:45:57,"This week in Guftugu:
An extract from Ananya Vajpeyi's 'Righteous Republic: The Political Foundations of Modern Ind… https://t.co/1EtMGeus0q"
1108816893727653888,2019-03-21 19:45:22,"@sheelakiyer Some unemployed ppl who were ""high"" earning salaries- suarika ghost...prasoin vajpeyi...ass-utosh...ab… https://t.co/yqrNeuK3PA"
1108784355944607744,2019-03-21 17:36:05,"RT @rajanmahan: As Advani finally gets dumped officially, wonder if he's remembering how he derailed #Vajpeyi's famous #RajDharma advice to…"
1108781496553205766,2019-03-21 17:24:43,"@YatharthMishra_ Ideally, the finest #Netas are those who contribute to their nation even as they work for their pa… https://t.co/xlyFz7W6nM"
1108775157978419200,2019-03-21 16:59:32,"As Advani finally gets dumped officially, wonder if he's remembering how he derailed #Vajpeyi's famous #RajDharma a… https://t.co/xeb4hmJzTS"
1108739288500498432,2019-03-21 14:37:00,"@pbhushan1 Adwani should not force Vajpeyi in that plane....
Country's history could be faar better than Now...."
1108628441828515840,2019-03-21 07:16:32,@INCIndia @priyankagandhi Yes we are vigilant and became chowkidar to protect the nation from the dynasty. We take… https://t.co/MousXc3Niv
1108567608201281537,2019-03-21 03:14:48,Wishing you all a very happy and vibrant Holi. May this festival of colours fill your life with bright hues of happ… https://t.co/3V2w9XjbzI
1108442678335860742,2019-03-20 18:58:23,RT @thecaravanindia: An ancient treatise and the making of modern India: Ananya Vajpeyi on the Arthashastra https://t.co/uynefiYffN https:/…
1108438625635745793,2019-03-20 18:42:16,@sagarratnaCA  sorry it was not you
1108362332273602560,2019-03-20 13:39:07,RT @OmarAbdullah: It’s amusing to see the BJP falling over itself to credit the PM with the Nirav Modi arrest while completely ignoring the…
1108352835769511937,2019-03-20 13:01:22,#NiravModi is arrested their  it was administration  here who helped  him to flee
1108350313705205760,2019-03-20 12:51:21,"ThosePrime Ministers of India who did not belonged to DYNESTY were Loyal,Trustworthy and Honest namely Shastri Ji,… https://t.co/kIZicLOb92"
1108306091287425025,2019-03-20 09:55:38,RT @milindkhandekar: #NiravModi was arrested yesterday according to @metpoliceuk He is being produced in the court today.
1108221584215601152,2019-03-20 04:19:50,#Sparrows are integral part of our childhood memories. on #WorldSparrowDay pledge  to save them. https://t.co/P9I8LDivAH
1107922456709230592,2019-03-19 08:31:12,"@htTweets @RahulGandhi haha Rahul baba, your old folks repeated the same shitty rhetoric during Vajpeyi govt. Ask y… https://t.co/N1b3KMuZjD"
1107908875183742976,2019-03-19 07:37:14,"RT @cinemaveshalu: @ursyathi Kani sanction chesindi ayana time lone, vajpeyi did that approval. When there is one international slot availa…"
1107713688297975809,2019-03-18 18:41:38,@NPatnaikOdisha Your own EVM machine give you 4% margin win let open pool bit long you see true results #MainBhiChowkidar
1107683069547421696,2019-03-18 16:39:58,RT @akhileshsharma1: In my opinion this is the right time to dissolve Goa assembly and hold the assembly elections along with the Lok Sabha…
1107658841682960384,2019-03-18 15:03:41,RT @simplyushark: @sonal_mansingh @MALAVIKAAVINASH I hope the adhyaksha ji remembers that Culture has been the biggest disaster in the past…
1107610883948273664,2019-03-18 11:53:07,"""Since drowning is inevitable never trust the boat...but do trust the River."" Kailash Vajpeyi

#wisdumb #trust… https://t.co/bCu5RUfMNH"
1107598633212526592,2019-03-18 11:04:27,"@ursyathi Kani sanction chesindi ayana time lone, vajpeyi did that approval. When there is one international slot a… https://t.co/CAvXPMIsWl"
1107329247935225856,2019-03-17 17:14:00,@sonal_mansingh @MALAVIKAAVINASH I hope the adhyaksha ji remembers that Culture has been the biggest disaster in th… https://t.co/c314Yg1XKc
