id,created_at,text
739323115952476160,2016-06-05 05:09:01,RT @WNEP: Muhammad Ali dead.
739323079789322240,2016-06-05 05:08:52,"RT @DNAinfoCHI: Muhammad Ali, dead at 74, had close ties to Chicago https://t.co/MCvcihqHfX https://t.co/Bfu6vyyuPN"
739323050726805505,2016-06-05 05:08:45,"RT @maddie_sharkey: Mackenzie thought Muhammad Ali was a terrorist and saw that he died and said, ""yay Muhammad Ali's dead"" ... :/"
739323002014171136,2016-06-05 05:08:34,"RT @TIME: Read George Plimpton's essay on Muhammad Ali from the June 14, 1999, issue of TIME https://t.co/28Yql5j1Em"
739322969059627008,2016-06-05 05:08:26,A child asked Muhammad Ali what he'd do when he retired. His answer stunned everyone https://t.co/JFqmTl6gsB
739322962088763392,2016-06-05 05:08:24,Muhammad Ali Dead Today - A Long Life Of Many Accomplishments https://t.co/zuMd9M4n2w...
739322961144909825,2016-06-05 05:08:24,RT @TIME: Why Muhammad Ali matters to everyone https://t.co/l7T7aehrPw https://t.co/NeXkATHfQe
739322960092106752,2016-06-05 05:08:24,RT @realDonaldTrump: Muhammad Ali is dead at 74! A truly great champion and a wonderful guy. He will be missed by all!
739322955839111168,2016-06-05 05:08:23,RT @EBONYMag: A 1963 EBONY article called #MuhammadAli “a blast furnace of race pride.” We remember him: https://t.co/KOjPhXh7fm https://t.…
739322933722505221,2016-06-05 05:08:18,RT @realDonaldTrump: Muhammad Ali is dead at 74! A truly great champion and a wonderful guy. He will be missed by all!
739322824133890048,2016-06-05 05:07:51,RT @realDonaldTrump: Muhammad Ali is dead at 74! A truly great champion and a wonderful guy. He will be missed by all!
739322800591118336,2016-06-05 05:07:46,RT @WNEP: Muhammad Ali dead.
739322769108656128,2016-06-05 05:07:38,"RT @NBCNews: BREAKING: Boxing legend Muhammad Ali, 'the greatest of all time,' has died at 74
https://t.co/tA6SGOWREz https://t.co/wrHYu3wn…"
739322716499632128,2016-06-05 05:07:26,"RT @NBCNews: BREAKING: Boxing legend Muhammad Ali, 'the greatest of all time,' has died at 74
https://t.co/tA6SGOWREz https://t.co/wrHYu3wn…"
739322679694635008,2016-06-05 05:07:17,"RT @si_nba: The NBA community, athletes and celebrities pay tribute to Muhammad Ali https://t.co/6x8FZBnT4K https://t.co/BpY3gTNUKV"
739322597901512704,2016-06-05 05:06:57,RT @realDonaldTrump: Muhammad Ali is dead at 74! A truly great champion and a wonderful guy. He will be missed by all!
739322566783832064,2016-06-05 05:06:50,"RT @USATODAY: ""Your soul and your spirit never dies."" #RIPMuhammadAli https://t.co/YbjlM7xoF4"
739322532432580608,2016-06-05 05:06:42,Is there a hashtag for Muhammad Ali being dead?
739322509493972992,2016-06-05 05:06:36,RT @EBONYMag: A 1963 EBONY article called #MuhammadAli “a blast furnace of race pride.” We remember him: https://t.co/KOjPhXh7fm https://t.…
739322480528138240,2016-06-05 05:06:29,Sad to hear Ali is dead but he was for full Muslim traditional including the radical views... — feeling sad at... https://t.co/A82DFN7xub
739322379390865408,2016-06-05 05:06:05,RT @RellyCooper: Muhammad Ali really dead smh. shoulda been Trump.
739322373296427008,2016-06-05 05:06:04,RT @realDonaldTrump: Muhammad Ali is dead at 74! A truly great champion and a wonderful guy. He will be missed by all!
739322353444872192,2016-06-05 05:05:59,"RT @NBCNews: Muhammad Ali proclaimed himself ""The Greatest"" and spent a lifetime living up to the billing https://t.co/MOkNtNjA1Y https://t…"
739322332527755264,2016-06-05 05:05:54,"RT @TIME: ""Why Muhammad Ali belonged to everyone"" https://t.co/JXhLCNNpgv"
739322206178533376,2016-06-05 05:05:24,"RT @9GAG: Muhammad Ali, 'The Greatest of All Time', Dead at 74. RIP Ali. You're forever a legend.
https://t.co/7Oe7Fn81q9 https://t.co/aUcZ…"
739322018382897152,2016-06-05 05:04:39,RT @realDonaldTrump: Muhammad Ali is dead at 74! A truly great champion and a wonderful guy. He will be missed by all!
739322004118110209,2016-06-05 05:04:36,RT @VerySmartBros: Muhammad Ali Is Dead. 2016 Can Go To Hell. https://t.co/9hCJtmmeNL
739322001886695424,2016-06-05 05:04:35,"RT @LivEchonews: Muhammad Ali's daughter: ""God bless you daddy""
https://t.co/0wgVx9r6ep"
739321992785055744,2016-06-05 05:04:33,RT @Forbes: Remembering boxing legend and cultural icon Muhammad Ali https://t.co/wLXV6okfyG https://t.co/pVYqs2S6Uo
