id,created_at,text
1109808507593916416,2019-03-24 13:25:42,"RT @AudaciousQuest_: Amit Shah's vacant rally in Agra. 😂😂

Kursi chahiye tha, ab lo kursi, bahot sare khali kursi.

You worked against peop…"
1109808449297104906,2019-03-24 13:25:28,BJP National President Shri Amit Shah has changed his profile picture on Facebook with #MainBhiChowkidar frame to a… https://t.co/Hs8z2yYYhW
1109808304115449856,2019-03-24 13:24:53,RT @beindiya: #RememberMeWhenYouVote Looks like #ChowkidaarNahiJawabdarChahiye is what people are asking on the ground &amp; have decided to vo…
1109808180085907456,2019-03-24 13:24:24,"RT @AudaciousQuest_: Amit Shah's vacant rally in Agra. 😂😂

Kursi chahiye tha, ab lo kursi, bahot sare khali kursi.

You worked against peop…"
1109808167360167936,2019-03-24 13:24:20,BJP National President Shri Amit Shah has changed his profile picture on Facebook with #MainBhiChowkidar frame to a… https://t.co/ihGbGxO1qK
1109808147504328709,2019-03-24 13:24:16,"RT @AudaciousQuest_: @sardesairajdeep Is this how BJP looks organised, well resourced and more focussed to you??🤔

Fyi...take a look here i…"
1109808119775813632,2019-03-24 13:24:09,RT @MCPjourno: ‘Everyone wants to defeat .#Modi but no one wants to fight polls’: .#AmitShah | lok sabha elections | Hindustan Times https:…
1109808046581018624,2019-03-24 13:23:52,@BJP4India @JPNadda @AmitShah Victory will touch by an  untiring efforts of  Honourable Amit Shah.
1109807985851879424,2019-03-24 13:23:37,"@MrsGandhi @RahulGandhi The number of Chairs thrown, were more than the no of ppl who attended Amit Shah’s rally !! So Aunty, rehne do !!"
1109807916054470657,2019-03-24 13:23:21,"RT @kamz26: Boy called @EastFMKenya and said: I found a wallet with 15,000 &amp; the ID card of a Mr. Amit Shah.

Me, in the studio: You want t…"
1109807792137732096,2019-03-24 13:22:51,RT @INCSupporter: @ANI How did Jay Amit Shah make turnover of Rs80 Crores from Rs50K within one year?
1109807759245996032,2019-03-24 13:22:43,"RT @i_theindian: Murder accused BJP President Amit Shah's rally in Agra:

Chairs booked : 1,00,000
Total Turnout   : 1,000 + One Cow

😂😂😂 #…"
1109807703038283776,2019-03-24 13:22:30,"RT @AudaciousQuest_: Amit Shah's vacant rally in Agra. 😂😂

Kursi chahiye tha, ab lo kursi, bahot sare khali kursi.

You worked against peop…"
1109807580598042624,2019-03-24 13:22:01,"RT @AudaciousQuest_: Amit Shah's vacant rally in Agra. 😂😂

Kursi chahiye tha, ab lo kursi, bahot sare khali kursi.

You worked against peop…"
1109807538327818242,2019-03-24 13:21:51,"RT @Soham_03: #RahulGandhiScamLink similar sort of ratio of increasing trend in income was found in another political family recently.
Some…"
1109807519843651584,2019-03-24 13:21:46,RT @PJkanojia: When LK Advani went to Rajyasabha for first time in 1970 at that time @AmitShah was 6 year old and when he took over BJS in…
1109807506350579712,2019-03-24 13:21:43,"RT @AudaciousQuest_: Amit Shah's vacant rally in Agra. 😂😂

Kursi chahiye tha, ab lo kursi, bahot sare khali kursi.

You worked against peop…"
1109807454420819968,2019-03-24 13:21:31,RT @ShyamalGanguly1: Sorry to hear that BJD an old Dynasty based could not be superseded by BJP.  DYNASTS from Kashmir to KanyaKumarika are…
1109807265475891200,2019-03-24 13:20:45,"RT @AudaciousQuest_: Amit Shah's vacant rally in Agra. 😂😂

Kursi chahiye tha, ab lo kursi, bahot sare khali kursi.

You worked against peop…"
1109807260207710208,2019-03-24 13:20:44,"RT @AudaciousQuest_: Amit Shah's vacant rally in Agra. 😂😂

Kursi chahiye tha, ab lo kursi, bahot sare khali kursi.

You worked against peop…"
1109807167190773765,2019-03-24 13:20:22,"RT @AudaciousQuest_: Amit Shah's vacant rally in Agra. 😂😂

Kursi chahiye tha, ab lo kursi, bahot sare khali kursi.

You worked against peop…"
1109807045056913408,2019-03-24 13:19:53,RT @beindiya: 😂😂Amit Shah’s Rally in Agra today!! Guys #ModiNeverAgain ❌❌ https://t.co/tUiSOjMQTw
1109807019479855106,2019-03-24 13:19:47,"RT @dineshgrao: Firstly nobody was arrested,

Secondly Amit Shah to tell his party workers to learn how to behave decently.

But yes, suppr…"
1109806983388057602,2019-03-24 13:19:38,"RT @electionaddaEN: PM Modi Likely to Hold Mega Rally in West Bengal on April 3rd at Brigade Parade Ground

Amit Shah will also be Conducti…"
