id,created_at,text
739320382239428608,2016-06-05 04:58:09,"Azhar Ali Support M Amir 👏👏

@AzharAli_ @iamamirofficial https://t.co/YLgfLqNBvy"
739320311565410305,2016-06-05 04:57:52,"RT @TFT_: Khadija Mughal appreciates the effort Emraan Hashmi put into Azhar, even if the outcome fails to impress: https://t.co/YOmFHyI1O1"
739320234171994113,2016-06-05 04:57:34,Comparing azhar to the GOD of cricket? Ek aaptard hi aisa kar sakta hai https://t.co/cqO4p0vaOQ
739320124046479364,2016-06-05 04:57:08,"Khadija Mughal appreciates the effort Emraan Hashmi put into Azhar, even if the outcome fails to impress: https://t.co/YOmFHyI1O1"
739320079561728000,2016-06-05 04:56:57,@AzamatTynaev 😄👍🏼👍🏼 замечательно
739320027401314305,2016-06-05 04:56:45,@JohnnyPub приятного аппетита 😊
739319961546592256,2016-06-05 04:56:29,"RT @JohnnyPub: @azhar__m без паники, полюбуйся 😂 https://t.co/tIsjpfdR3y"
739319955292889088,2016-06-05 04:56:27,RT @AzamatTynaev: @azhar__m а у меня третий день ТоТ. Я огурчик )
739319866713333760,2016-06-05 04:56:06,@azhar__m а у меня третий день ТоТ. Я огурчик )
739319807946960896,2016-06-05 04:55:52,"RT @khadj_19: - اللهم أهلّ شهر رمضان علينا باليمن والإيمان .. والسلامة والإسلام .. 
اللهم اكتب لنا صيامه وقيامه 🌙 https://t.co/RSOLJSFDcY"
739319726250196992,2016-06-05 04:55:33,@azhar_125 congratulations haha
739319723670769665,2016-06-05 04:55:32,"@azhar__m без паники, полюбуйся 😂 https://t.co/tIsjpfdR3y"
739319643689619456,2016-06-05 04:55:13,اللهم إني ظلمت نفسي ظلماً كثيراً ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم https://t.co/x6VrllJHdJ
739319560126398464,2016-06-05 04:54:53,"RT @Alhamdhulillaah: Allah is always there for you, never doubt that."
739319365414191104,2016-06-05 04:54:07,@irazuhdi @IsmiAzrdHar azhar belikan untuk aku sekali 👉🏻👈🏻
739319297227378688,2016-06-05 04:53:51,@enol_ma lajunya keknol planning
739319263018635265,2016-06-05 04:53:42,@ustazharidrus suka baca dan tengok ceramah ustaz azhar idrus...berjuang demi Islam.
739319262607609857,2016-06-05 04:53:42,Ex presidente de la Universidad Al-Azhar: “Debemos reformarnos para enfrentar a los extremistas”. Vídeo VOSE. https://t.co/rgsUwsFqgm
739319106998919168,2016-06-05 04:53:05,"Waktu Shalat Dzuhur Untuk Wilayah DKI Jakarta, Minggu, 5 Juni 2016 Pukul 11:53 WIB. Mari Kita Sholat Berjamaah Di Masjid Agung Al Azhar!"
739319074161856513,2016-06-05 04:52:57,Bol Do Na Zara cover by Amit Vele from Azhar.. after a long long time #Azhar #cover #guitar https://t.co/S99vIMZWQL
739319064074543104,2016-06-05 04:52:55,"FREE FREE FREE
Mega opp by the proud of pakistan Sir Iqrar Khan Baloch 
Sharing by sir Azhar Malik
Today at 11am
New Multan Stockist Multan"
739319044931768321,2016-06-05 04:52:50,У твиттерян бадун. У меня диета.
739318852241199104,2016-06-05 04:52:04,RT @autumnrainwish: Angry Patels Spill the Beans; Say Godhra Train Blaze Was BJP’s Pre-planned Political Stunt https://t.co/8WsdU2AgWT
739318821283041280,2016-06-05 04:51:57,RT @ufc: 10 Years in the making!!!!! #AndNew @Bisping #KingdomTV https://t.co/mwLb4wFrET
739318816480460800,2016-06-05 04:51:56,This is why i hate you.
739318699333541888,2016-06-05 04:51:28,"RT @twt_cinta: selagi dia tak jadi yang halal untuk org lain, selagi tu kita boleh usaha. dalam bahasa mudah, selagi tak confirm, kita sail…"
739318505841917952,2016-06-05 04:50:42,@Sabaiqbal57 @Zaman_Azhar @thezohairalam zaman is just too excited lmao
739318498296483840,2016-06-05 04:50:40,watching Azhar
