id,created_at,text
733955029103611904,2016-05-21 09:38:09,RT @PRINCESSdeeps86: lovely most beautiful movie bajirao mastani with princess @deepikapadukone  and very good actor @RanveerOfficial ❤❤❤ h…
733954586571112449,2016-05-21 09:36:24,When a ‘respected’ professional let his dog loose on Ranveer during the 'Bajirao's' struggling days https://t.co/VdYKvnctXp
733953848784658432,2016-05-21 09:33:28,SEE VIDEO! Bajirao Mastani  VFX Breakdown By NYVFXWAALA... https://t.co/XrgtzpKKhf https://t.co/KaE1RVWooO
733951323817680896,2016-05-21 09:23:26,SEE VIDEO! BAJIRAO MASTANI : VFX BREAKDOWN By NYVFXWAALA... https://t.co/hqDFd4BkZn https://t.co/kKtn7ugzII
733949546405978112,2016-05-21 09:16:22,RT @RanveerPlanet: [VIDEO-1] Ranveer Singh | Making of Bajirao Mastani VFX. https://t.co/2fBEoXkKrd
733949529725210624,2016-05-21 09:16:18,RT @RanveerPlanet: [VIDEO-3] Ranveer Singh | Making of Bajirao Mastani VFX. https://t.co/J9Rl6Q3AHS
733949391447429121,2016-05-21 09:15:45,RT @RanveerPlanet: [VIDEO-2] Ranveer Singh | Making of Bajirao Mastani VFX. https://t.co/n0WCyaqShU
733949220487614464,2016-05-21 09:15:04,RT @RanveerPlanet: It'll be great if u guys can upload all the deleted scenes &amp; behind the scenes videos from Bajirao Mastani on ur youtube…
733949127315296256,2016-05-21 09:14:42,RT @RanveerPlanet: [VIDEO-4] Ranveer Singh | Making of Bajirao Mastani VFX. https://t.co/SyjFHqVuhZ
733949123683061760,2016-05-21 09:14:41,RT @ETCBollywood: Can you spot the difference in both frames capturing Bajirao  @RanveerOfficial? https://t.co/tBCpXpxPlI
733948110687338496,2016-05-21 09:10:40,RT @PRINCESSdeeps86: lovely most beautiful movie bajirao mastani with princess @deepikapadukone  and very good actor @RanveerOfficial ❤❤❤ h…
733947797569835008,2016-05-21 09:09:25,SEE VIDEO! Bajirao Mastani Review by Salil Acharya |... https://t.co/FGbI9hhnlg https://t.co/Y4r6SpLtvV
733947372837998592,2016-05-21 09:07:44,RT @RanveerPlanet: [VIDEO] Full: Making of Bajirao Mastani VFX. https://t.co/b7xTXudPV3
733947310544150528,2016-05-21 09:07:29,RT @RanveerPlanet: [VIDEO-4] Ranveer Singh | Making of Bajirao Mastani VFX. https://t.co/SyjFHqVuhZ
733947215438352385,2016-05-21 09:07:06,RT @RanveerPlanet: [VIDEO-3] Ranveer Singh | Making of Bajirao Mastani VFX. https://t.co/J9Rl6Q3AHS
733947099025444864,2016-05-21 09:06:39,RT @RanveerPlanet: [VIDEO-2] Ranveer Singh | Making of Bajirao Mastani VFX. https://t.co/n0WCyaqShU
733947036165373952,2016-05-21 09:06:24,RT @RanveerPlanet: [VIDEO-1] Ranveer Singh | Making of Bajirao Mastani VFX. https://t.co/2fBEoXkKrd
733946777972314114,2016-05-21 09:05:22,SEE VIDEO! Bajirao Mastani  VFX Breakdown By NYVFXWAALA... https://t.co/veshigPePu https://t.co/Fibs62PD0s
733945371152392192,2016-05-21 08:59:47,"Bajirao Peshwa Samadhi Indian Army Mhow - ऐक आविस्मरनिय सहल 
Date : 13th - 19th August 2016visit : https://t.co/6f3ylNX2QI
Call 9822012721"
733944245757693952,2016-05-21 08:55:18,SEE VIDEO! Bajirao Mastani Review by Salil Acharya |... https://t.co/ECRh0LC6LM https://t.co/9uSOavuhlm
733944157505478656,2016-05-21 08:54:57,RT @Kareennews365: SEE VIDEO! BAJIRAO MASTANI : VFX BREAKDOWN By NYVFXWAALA... https://t.co/stuh5GZNni https://t.co/leNo540ZEQ
733943996733480960,2016-05-21 08:54:19,SEE VIDEO! BAJIRAO MASTANI : VFX BREAKDOWN By NYVFXWAALA... https://t.co/stuh5GZNni https://t.co/leNo540ZEQ
733942329510268928,2016-05-21 08:47:42,SEE VIDEO! Bajirao Mastani Review by Salil Acharya |... https://t.co/pitguW91R0 https://t.co/9aowbdWCjj
733942044603736064,2016-05-21 08:46:34,@ErosNow Deepika Padukone in Bajirao Mastani
733941972512079873,2016-05-21 08:46:16,RT @RanveerPlanet: It'll be great if u guys can upload all the deleted scenes &amp; behind the scenes videos from Bajirao Mastani on ur youtube…
733941373653647360,2016-05-21 08:43:54,https://t.co/alhbuuxGGC bajirao mastani
733941093507563521,2016-05-21 08:42:47,@afmy_ nak bajirao mastani
733939784599535616,2016-05-21 08:37:35,"Downloading 
Airlift, Bajirao Mastani, The Theory Of Everything and Dead Poets Society.
Movierathon. Ayuh productivekan final exam anda."
733938928680505345,2016-05-21 08:34:11,SEE VIDEO! Deewani Mastani | Official Video Song | Bajirao... https://t.co/tvTsgcUMIh https://t.co/SciIsYbo1V
733938567672672256,2016-05-21 08:32:45,Costume designer Anju Modi tells us how the costumes of Bajirao Mastani will create a history of its https://t.co/yJZ3S8oOhw
733938404782571522,2016-05-21 08:32:06,SEE VIDEO! Bajirao Mastani Success - Deepika Padukon... https://t.co/LyHfzCY9VS https://t.co/zp4Gi0V6fV
733938281277165568,2016-05-21 08:31:36,"Bajirao Mastani
Goliyinki Ras leela Ram leela
Senem teri kesam https://t.co/bKA2TFXcRN"
733938266362281985,2016-05-21 08:31:33,watching Bajirao Mastani (Hindi)
733937722604150785,2016-05-21 08:29:23,@Kalamwali_Bai the second one is trying to give full Bajirao intense looks
733937334291288064,2016-05-21 08:27:51,SEE VIDEO! Bajirao Mastani  VFX Breakdown By NYVFXWAALA... https://t.co/FAibpbH1Of https://t.co/G3mQbGdDFt
733935808520953856,2016-05-21 08:21:47,@karnrohit1 Lol. Kuch bhi..!!!:-D Its Bajirao Mastani poster..!!!
733935736156610562,2016-05-21 08:21:30,SEE VIDEO! Bajirao Mastani Official Trailer with Subtitle |... https://t.co/0taZ1p1Fcu https://t.co/gNnwdgCy2K
733934845378715653,2016-05-21 08:17:57,SEE VIDEO! Bajirao Mastani Official Trailer with Subtitle |... https://t.co/hUM2xwFs6p https://t.co/SOtjRSC9pa
733934808741478400,2016-05-21 08:17:48,SEE VIDEO! BAJIRAO MASTANI : VFX BREAKDOWN By NYVFXWAALA... https://t.co/xcsXvFNyqh https://t.co/6QOxvJ57Ac
733934652763688960,2016-05-21 08:17:11,SEE VIDEO! Bajirao Mastani Review by Salil Acharya |... https://t.co/WObLD5QeLl https://t.co/wG9T9cETzI
733933846580723712,2016-05-21 08:13:59,SEE VIDEO! Bajirao Mastani Official Trailer with Subtitle |... https://t.co/Xa8E4kYxRN https://t.co/tZVg29LuFu
733933746060038144,2016-05-21 08:13:35,SEE VIDEO! Bajirao Mastani  VFX Breakdown By NYVFXWAALA... https://t.co/Ji2diyCgYE https://t.co/bkJtpPgPek
