id,created_at,text
737527374737117189,2016-05-31 06:13:23,"RT @conradhackett: Press freedom rank 2016
1 Finland
18 Canada
34 Spain
38 UK
41 US
72 Japan
104 Brazil
133 India
151 Turkey
176 China http…"
737527206029578241,2016-05-31 06:12:43,@justanotweet @RDNS_TAI @KKeneally Exactly! Move production to China and India where your labor costs are cheaper and you make a profit!!!!
737527097057411073,2016-05-31 06:12:17,"Porque la mano de obra en China, Taiwán, India, etc. es mucho más barata que acá y tienen todo listo para llegar y producir @RoloHahn"
737526908284329984,2016-05-31 06:11:32,"@Karachi_Post @TarekFatah @TheWeekLive fail to understand Pak psyche,India wit 350,000 mosques is its enemy&amp;China which blocks islam 1/2"
737526886956306433,2016-05-31 06:11:27,"@OrangeKenya @isaiahnato Hello, yes it's within the 5 countries. USA, China, UK, Canada, India. Thanks^eH"
737526598732107776,2016-05-31 06:10:18,RT @Scouriebeast: @nsoamesmp the idea we can have or exert the same kind of influence with China or India is ridiculous
737526523016581120,2016-05-31 06:10:00,"RT @Forbes: Countries where millennials work the longest hours:

1. India
2. Mexico
3. China

https://t.co/AktRrh0WN7 https://t.co/M4UhuHyt…"
737526311048994817,2016-05-31 06:09:09,The latest SOCIAL BRICS! https://t.co/DDK6JM2Jee Thanks to @PRWeekAsia @bmemail_India @selectall #socialmedia #china
737526159492059136,2016-05-31 06:08:33,"As of now yes CHINA 3% UP :)),,China stocks see biggest one-day gain on MSCI speculation FIXED rule india or china,, https://t.co/046vYRHVla"
737526100838866945,2016-05-31 06:08:19,"Global Population ￼: 

@facebook
China
India
@WhatsApp
@WeChatApp
@tumblr
@instagram
U.S.￼
@twitter
Indonesia
@Snapchat
Brazil
@LinkedIn"
737525898971226112,2016-05-31 06:07:31,"#Nepal ,however,doesn't care for its blood relation with India.It's hellbent on bloody relation with #China . - https://t.co/GN0pW8Rur7"
737525838279626756,2016-05-31 06:07:17,China To Launch Its First Experimental Quantum Communication Satellite In July - All India Roundup: All India... https://t.co/I5lY3iK6Ak
