id,created_at,text
737527076299771904,2016-05-31 06:12:12,"RT @AyresAlyssa: Extremely interesting essay on ""Mother China: A 'Chinese revolution' sweeps across Pakistan"" from The Herald: https://t.co…"
737526645699944448,2016-05-31 06:10:29,"#Pakistan does not recognise #Taiwan as a state but an integral part of #China, says foreign ministry https://t.co/Ub1Fi1IPkL @ImdadSoomro6"
737525651779911680,2016-05-31 06:06:32,RT @chinaarabnews: Mother #China: A 'Chinese revolution' sweeps across #Pakistan https://t.co/ejr70wW5zZ https://t.co/0MXhTA506a
737525296635600897,2016-05-31 06:05:07,#Pakistan Experts 're-assess' giant panda as China predicts it will no lo... https://t.co/gO7GY7iOcI
737524414988718080,2016-05-31 06:01:37,RT @TarekFatah: Chinese man attacked in Pakistan by Sindhi nationalists in Karachi blast. Sindhudesh Revolutionary Party warns China https:…
737524258448887810,2016-05-31 06:01:00,"Tokyo(Japan) 15:00
Hong Kong(China) 14:00
Bangkok(Thailand) 13:00
Islamabad(Pakistan) 11:00"
737524253843542016,2016-05-31 06:00:59,Mother China: A 'Chinese revolution' sweeps across Pakistan - In-Depth https://t.co/aGaW8P2rK8
737522011249872896,2016-05-31 05:52:04,#OPINION #Let's get real: There no Iran-India-Afghan strategic axis making counter China-Pakistan https://t.co/Wd1B6aAgO0
737521623922663424,2016-05-31 05:50:32,RT @Karachi_Post: Pakistan cannot accept China's rejection of Islam says Hafiz Sayeed https://t.co/1bFCQOF1cS
737521115413647360,2016-05-31 05:48:31,Pentagon chief heads to Asian summit as nations fret over South China Sea https://t.co/5piGN70V8D #Security #Intersafe14 #Pakistan
737521097332031488,2016-05-31 05:48:26,"To save China’s economy, read more Marx, scholars say: It is the latest effort by China's... https://t.co/RjpUc5NUp1 #pakistan #business"
737521096518303744,2016-05-31 05:48:26,Pentagon chief heads to Asian summit as nations fret over South China Sea: China is using... https://t.co/05ir2mZnVk #pakistan #business
737521086691041281,2016-05-31 05:48:24,"#Pakistan Business To save China’s economy, read more Marx, scholars say https://t.co/pGX1nfnO9T"
737521085688647681,2016-05-31 05:48:23,#Pakistan Business Pentagon chief heads to Asian summit as nations fret over South China Sea https://t.co/y9taKoVGVM
737520716375953408,2016-05-31 05:46:55,RT @TarekFatah: Chinese man attacked in Pakistan by Sindhi nationalists in Karachi blast. Sindhudesh Revolutionary Party warns China https:…
737520436355817473,2016-05-31 05:45:49,"Pakistan-China Friendship: Real Gold
Masood Khan
(Pakistan Observer)
https://t.co/mFk4YWMVJG https://t.co/yQqmWCNvRw"
737520392923844608,2016-05-31 05:45:38,RT @ajwsmall: This great extended essay on the China-Pakistan relationship (and picture...) in @HeraldPakistan is finally online https://t.…
737520140430905344,2016-05-31 05:44:38,"RT @tufailelif: ""Between 1966 and 1980, China provided [nuclear] military equipment to Pakistan without charging any money for that https:/…"
737519854295486465,2016-05-31 05:43:30,"RT @sabena_siddiqi: A Chinese Engineer rescued a snow leopard at Khanjrab near China-Pakistan border
#CPEC https://t.co/jVzMhfNx0i"
737519826218799104,2016-05-31 05:43:23,"RT @tufailelif: ""Between 1966 and 1980, China provided [nuclear] military equipment to Pakistan without charging any money for that https:/…"
737519788696567810,2016-05-31 05:43:14,RT @tufailelif: China has become Pakistan’s largest arms supplier. Nearly 47% of all Chinese arms sales come to Pakistan https://t.co/TQvzw…
737519773525774337,2016-05-31 05:43:11,"USA using india as proxy against China and China using Pakistan as proxy against india ,"
737519198381821952,2016-05-31 05:40:53,"Over the burglary attempts of hacking and data theft of Pakistan and China, Indian Government has amended the new... https://t.co/2g5RCoJEzb"
737518989673254912,2016-05-31 05:40:04,"To save China’s economy, read more Marx, scholars say https://t.co/UMsUTfXZ3G #FurorePK #Pakistan"
737518985927761921,2016-05-31 05:40:03,Pentagon chief heads to Asian summit as nations fret over South China Sea https://t.co/l0tf80ziIy #FurorePK #Pakistan
737518905602629632,2016-05-31 05:39:44,"RT @tufailelif: ""Between 1966 and 1980, China provided [nuclear] military equipment to Pakistan without charging any money for that https:/…"
737517724662800384,2016-05-31 05:35:02,RT @ColegioAna: Animación a la Lectura se despide hoy de la clase de 2º con historias de Pakistan y China @trilemaedu https://t.co/rB3L1nzo…
737516183113498625,2016-05-31 05:28:55,"RT @conradhackett: Most people executed in 2015 
1 China
2 Iran
3 Pakistan
4 Saudi Arabia
5 US

https://t.co/fcxJnKG4e7 https://t.co/ExLRek…"
737514904714760194,2016-05-31 05:23:50,"El 58% de los esclavos de todo el mundo están concentrados en India, China, Pakistán, Bangladesh y Uzbekistán https://t.co/q4LqsC0fB8 #Lai…"
737514598257938432,2016-05-31 05:22:37,RT @tufailelif: China has become Pakistan’s largest arms supplier. Nearly 47% of all Chinese arms sales come to Pakistan https://t.co/TQvzw…
737513640257953793,2016-05-31 05:18:48,RT @tufailelif: China has become Pakistan’s largest arms supplier. Nearly 47% of all Chinese arms sales come to Pakistan https://t.co/TQvzw…
737513636499836928,2016-05-31 05:18:47,"RT @tufailelif: ""Between 1966 and 1980, China provided [nuclear] military equipment to Pakistan without charging any money for that https:/…"
737513527351463936,2016-05-31 05:18:21,"RT @intlspectator: Fastest GDP growth, 2016

India: 7.5%
Vietnam: 6.6%
China: 6.4%
Philippines: 6.3%
Malaysia: 5.5%
Indonesia: 5.1%
Pakista…"
737513261923344384,2016-05-31 05:17:18,RT @tufailelif: China has become Pakistan’s largest arms supplier. Nearly 47% of all Chinese arms sales come to Pakistan https://t.co/TQvzw…
737512852152410113,2016-05-31 05:15:40,"@FRANCE24 &lt;N.Korea- 4.37% of population&gt;
&lt;Top 5: India- 18.35M, China- 3.39M, Pakistan- 2.13M, Bangladesh- 1.53M, Uzbekistan- 1.23M&gt; wow!"
737512755394056193,2016-05-31 05:15:17,"El 58% de los esclavos de todo el mundo están concentrados en  #India,  #China,  #Pakistán,  #Bangladesh y .. https://t.co/JP3kaPLBhr"
737511462776635392,2016-05-31 05:10:09,"RT @HeraldPakistan: The Herald explores China's footprint in Pakistan. Are we are in ""good company""? https://t.co/sjPj35fX7n https://t.co/Q…"
