id,created_at,text
733935451568906241,2016-05-21 08:20:22,"Vs ,  match,  https://t.co/dVSfR7zrr4 https://t.co/5J6dErFQg7"
733935448901488640,2016-05-21 08:20:21,@TabraizSajid you playing cricket this year?
733935448758702080,2016-05-21 08:20:21,#ribblesdaleleague Ribblesdale Wanderers lost to Clitheroe by 10 wkts (D/L) in last night's T20. (Card: https://t.co/fpWMX9zuYZ) #cricket
733935441179611136,2016-05-21 08:20:19,"I don't understand how people expect boys to play cricket, stalk their crush, watch porn and top Board exams. Aadmi hai bhagwan nahi #CBSE"
733935440638713856,2016-05-21 08:20:19,"RT @ChipSodCC: Weather update: 
Currently OK at Sodbury, but forecast is not good.
1s v @Stroud_Cricket 
3s v @bedminstercc https://t.co/j7…"
733935440038858752,2016-05-21 08:20:19,Khost Province 14 * v Kandahar Province 179/10 #Cricket
733935439510446080,2016-05-21 08:20:19,RT @raja1232009: What a place to play cricket. #Chitral #Pakistan @HikingPictures @BuzzAdventurer @Real_BakhatNasr @hikingbootscom https://…
733935436914151424,2016-05-21 08:20:18,Virat Kohli with the new Audi R8 V10 plus! https://t.co/AMZt8mqsek #Kohli #Cricket #Audi #Cars #IPL #India
733935429548969984,2016-05-21 08:20:16,"Early game in the #IPL today and this member goes with Khawaja as top Pune Batsman.

https://t.co/KarYMtcIFo https://t.co/XUWMkhIfPg"
733935414222807040,2016-05-21 08:20:13,"On this day in 1997, Saeed Anwar scored 194 Vs India. #Legend #Cricket #Pakistan https://t.co/qqrMbFShZo"
733935408409681920,2016-05-21 08:20:11,"RT @KP24: PREDICTION - in +- 10yrs, #cricket will be like @F1. All the best players playing against each other in... https://t.co/P2DUbIypg9"
733935405372952576,2016-05-21 08:20:11,'#ViratKohli doesn't take success for granted' https://t.co/gPYVfCrfUt #sports #sportsnews #sport #IPL #cricket #RCB #KKR @TOISportsNews
733935395910483968,2016-05-21 08:20:08,"RT @LiveCricInfo: GL v MI, 54th Match: Match is scheduled to start at 08:00 PM IST in Kanpur, India. https://t.co/lii5n7qqRt #cricket"
733935393037557760,2016-05-21 08:20:08,when me and Shaq decide it's a good idea to play cricket and then she ends up in a&amp;e 😂😂
733935392903311360,2016-05-21 08:20:08,"#MI, #GL go head to head in fight for playoff berth https://t.co/VwDXpsE0eu #sports #sportsnews #sport #IPL #cricket #IPL9 @TOISportsNews"
733935390399176704,2016-05-21 08:20:07,"'I have a very, very big bat': Female journalist claims cricket star Chris Gayle made lewd comments ... https://t.co/NyxQg84uFX
 #cricket"
733935384749563905,2016-05-21 08:20:06,So Excited for our 1st cricket game for our birthdays @RobynCaseley @root66 @SkyCricket @englandcricket @ICCLive https://t.co/L5ED1ptT9V
733935376880959488,2016-05-21 08:20:04,Cricket Australia briefs national team over Zika virus... https://t.co/lajv5LyA9c https://t.co/mZ754VTd6k
733935372019728388,2016-05-21 08:20:03,RT @InBFirst: Live your cricket dream at #Smaaash’s #Cricket carnival https://t.co/6mtYTqRrQ1 @sachin_rt @SmaaashLive
733935366768582656,2016-05-21 08:20:01,Weather may mar Pune-Punjab game https://t.co/NTCwE479cr #sports #sportsnews #sport #IPL #cricket #IPL9 @TOISportsNews
733935358627483648,2016-05-21 08:20:00,"RT @citizensarchive: #Onthisday Saeed Anwar set a record by scoring 194 against #India in an ODI match in #Chennai.

#Pakistan #Cricket htt…"
733935358329643008,2016-05-21 08:19:59,Cricket rain days! Turning upto Lutterworth like... https://t.co/hHDyYOhEch
733935356542746624,2016-05-21 08:19:59,@NZWarriors embarrassing. McFadden out.
733935356500938752,2016-05-21 08:19:59,All cricket against @stpetersyork is unfortunately cancelled today.
733935345260232704,2016-05-21 08:19:56,Chris Gayle makes lewd remarks in interview with female newspaper reporter. https://t.co/RjpjN5VdFZ #ChrisGayle #WestIndies #Sexism #Cricket
733935340709281792,2016-05-21 08:19:55,Bowlers have got the confidence back Allan Donald https://t.co/Z6qgU8DWJi #sports #sportsnews #sport #cricket #IPL #RCB #IPL9 @TOISportsNews
733935335659429888,2016-05-21 08:19:54,RT @raja1232009: What a place to play cricket. #Chitral #Pakistan @HikingPictures @BuzzAdventurer @Real_BakhatNasr @hikingbootscom https://…
733935334266966017,2016-05-21 08:19:54,Well done Bede's Prep  Cricket Team on their win vs Norwich School in the prestigious Bunbury Cup @gilesentwisle1
733935330185740293,2016-05-21 08:19:53,Anderson ends #Headingley 'hate' in style https://t.co/Dazw0LwxPs #Anderson #ENGvSL #Cricket https://t.co/D4FlpHlyGE
733935327195369472,2016-05-21 08:19:52,RT @NorthantsCCC: Fantastic game of cricket! Steelbacks make a winning start! Full scorecard here: https://t.co/rUi7CekC0N https://t.co/JRo…
733935325421019136,2016-05-21 08:19:52,"RT @amritaolakh22: Cricket mei kohli
Wwe mein lesnar
bollywood mein salman 
Aur jungle mein sher se jitna dur raho utna acha ha
#SultanTrai…"
733935323462406144,2016-05-21 08:19:51,Great day at @YorkshireCCC watching @ECB_cricket play! #ENGvSL #InvestecTest https://t.co/gqww8PbQMM
733935316596330496,2016-05-21 08:19:49,"RT @citizensarchive: #Onthisday Saeed Anwar set a record by scoring 194 against #India in an ODI match in #Chennai.

#Pakistan #Cricket htt…"
733935303191351299,2016-05-21 08:19:46,"'कपिल को कोलकाता टेस्ट से गावस्कर ने बाहर किया था, चयनकर्ताओं ने नहीं': सनी के मुताबिक चयनकर्ताओं ने... https://t.co/9YIqyh770t #cricket"
733935296761495552,2016-05-21 08:19:45,आईपीएल: ग्रीन पार्क में आज भिड़ेंगे मुम्बई और गुजरात: इंडियन प्रीमियर लीग (आईपीएल) प्लेऑफ में जगह पा... https://t.co/AW1j71bEI6 #cricket
733935286044889088,2016-05-21 08:19:42,RT @WomenSportTrust: . @Lottie2323 on hopes for rich legacy after 20 years at top of game https://t.co/hBujQLcZLP #cricket
733935281259216896,2016-05-21 08:19:41,"'कपिल को कोलकाता टेस्ट से गावस्कर ने बाहर किया था, चयनकर्ताओं ने नहीं': सनी के मुताबिक चयनकर्ताओं ने... https://t.co/9YIqyhoHS1 #cricket"
733935271381729284,2016-05-21 08:19:39,@HRHPrinceAndrew #UK #Trade #ambassador takes £4 million #kickback Not #cricket @monarchyonline1
733935268747698177,2016-05-21 08:19:38,.@StMichaelsCC @DumfriesCricket New shirts for Panthers! #cricket #Dumfries https://t.co/CfmiSHH4D1
733935253388197888,2016-05-21 08:19:34,RT @NuLS_Sport: All Cricket matches both Home &amp; Away today (21 May) are CANCELLED due to overnight rain with much more to follow.
733935252280860672,2016-05-21 08:19:34,"GL v MI, 54th Match: Match is scheduled to start at 08:00 PM IST in Kanpur, India. https://t.co/lii5n7I2g3 #cricket"
733935246849114112,2016-05-21 08:19:33,Mumbai fight for survival against resurgent Lions https://t.co/2gK3nEVHbZ #cricket
733935236178837504,2016-05-21 08:19:30,Someone should give this monkey a reality check https://t.co/8aHy9akpt6
733935221691666432,2016-05-21 08:19:27,यह जीत हमारे लिए बेहद अहम : जहीर खान https://t.co/HFInNqeeRU
733935221410648064,2016-05-21 08:19:27,"RT @PriyancaBajaj: Cricket me ball ka kya color hota hai?

One day me Yami Gautam 
Test match me Radhey Maa"
733935212690870273,2016-05-21 08:19:25,RT @henrygayle: @KieronPollard55 been drop and play no cricket at all...I know the board will say he was injured bla bla ....
733935155895783425,2016-05-21 08:19:11,"@fitzjimi flounce downstairs like the wrath of God, shouting about the cricket? I'd get locked up."
733935134701985792,2016-05-21 08:19:06,@AlisonMitchell @BBCStumped @finnysteve I had both of these. Armchair cricket! A blast from my past
733935133435285504,2016-05-21 08:19:06,"Weather update: 
Currently OK at Sodbury, but forecast is not good.
1s v @Stroud_Cricket 
3s v @bedminstercc https://t.co/j7gMojThzR"
733935125084397569,2016-05-21 08:19:04,RT @BrixhamCricket: Unfortunately the weather has beaten us today and the 1's have been called off @CornwoodCC #devon #cricket
733935109875830784,2016-05-21 08:19:00,"hashBengaluru: ""Indian Premier League 2016, Match 56: Delhi Daredevils v Royal Challengers Bangalore - Preview - Z… https://t.co/7dHPS23hQI"
733935097028579328,2016-05-21 08:18:57,@ABdeVilliers17  u r a great star in cricket...............
