id,created_at,text
1109802251948679168,2019-03-24 13:00:50,RT @BrokenCricket: Looks like Dhoni purposefully went for the review at the last moment just to tease the DRS timer.. 😃
1109802215433072640,2019-03-24 13:00:41,"RT @Lil_MissTrolls: #NewProfilePic

DHONI is not a name, he is my love ❤
He is my team, doesn't matter what's the colour of jersey.

#Yello…"
1109802139495260161,2019-03-24 13:00:23,RT @cricketaakash: ROFL and How. I’m sure Dhoni took the DRS for LBW....but turned out to an inside edge. And caught. Unbelievable. Dhoni R…
1109802101037629441,2019-03-24 13:00:14,"RT @GuideforAll: Which country has recently decided to join #China's ambitious Belt and Road initiative ?
- #Italy.

Which company has laun…"
1109802065285414913,2019-03-24 13:00:06,@cric_blog @swing_seam Not a finisher like pandya. I see him at 4/5 depending on what dhoni wants to do
1109802036269187074,2019-03-24 12:59:59,"RT @StarSportsIndia: @deshbhakt222 The VIVO IPL kicks off today, LIVE on Star Sports! Switch on your 📺 at 6 PM and get ready for MS Dhoni's…"
1109801956703297536,2019-03-24 12:59:40,RT @DHONIism: Thala Dhoni's Favourite Place In Chennai Airport. 😋💛 https://t.co/SPLJHPXSfx
1109801747793403905,2019-03-24 12:58:50,RT @SirJadeja: Chennai Super Kings donates Rs 2 Crores to Defence Forces to pay tribute to families of Pulwama Terror Attack. Thank you MS…
1109801705850327040,2019-03-24 12:58:40,RT @StarSportsIndia: @Sanjuyash9 The world is getting ready for the epic clash between Chennai Super Kings and Royal Challengers Bangalore!…
1109801624703098881,2019-03-24 12:58:21,"RT @Devansh42644704: Kohli: looking  at Dhoni
Dhoni: looking at winning 😁

IPL on point ✌ https://t.co/xzadhgftOy"
1109801556277235714,2019-03-24 12:58:04,"RT @RooterSports: First ever batsman to score 5000 runs in #IPL history - @ImRaina 🔥

#CSKvRCB #IPL2019 #SureshRaina #Raina #Dhoni https://…"
1109801502007160833,2019-03-24 12:57:51,RT @bhogleharsha: Dhoni has read this wicket perfectly. Pulling out Harbhajan and getting him to produce a potentially match winning spell.…
1109801414883241985,2019-03-24 12:57:31,RT @amitkmr2222: @avhflatbuyers @msdhoni @amrapaligroupin @advbuyersgroup @amrapli @centurianparkb1 Dhoni pls help us
1109801411561193473,2019-03-24 12:57:30,@cvkmohan I don't enjoy it any more. I watch for dhoni n l kohli
1109801405378772994,2019-03-24 12:57:28,"RT @msdfansofficial: Thala Dhoni with Star Performers of the Match!💛🦁

Chinna Thala - 5000 Runs
Tahir/Bhajji Paa - 6 Wickets
Sir Jadeja - 2…"
1109801373049094144,2019-03-24 12:57:21,"RT @galattadotcom: Which is your most favourite Combo of all time? 😎

1) Thala - Thalaivar 
2) Thala - Thalapathy
3) Thala - Thala

#Thalai…"
