id,created_at,text
739312770827554816,2016-06-05 04:27:54,I hate the Internet https://t.co/ZBRO56W11x
739312770621968384,2016-06-05 04:27:54,It seems so strange I care considering I hate my birthday. Is this what getting older means for me?
739312770462691328,2016-06-05 04:27:54,I hate night like these.
739312770177478656,2016-06-05 04:27:54,!!! Won't hate myself tho https://t.co/RIawaNFQDU
739312770064252928,2016-06-05 04:27:54,I hate when ppl play victim man .
739312769367842817,2016-06-05 04:27:54,"RT @martineashleyy: I dont hate anyone I dont fw anymore. we had a good run, good &amp; bad times. we grew apart. I wish u all the best, love,…"
739312769053298688,2016-06-05 04:27:54,RT @SarcasmPage: WHY DO PEOPLE JUST STOP TALKING TO ME WHEN I DID NOTHING WRONG ATLEAST TELL ME IF I DID SOMETHING OR I WILL OVERTHINK AND…
739312768344567808,2016-06-05 04:27:54,RT @amadijuana: THEY HATE ON U THAN CHECK YA PAGE
739312768226988033,2016-06-05 04:27:54,"Me watching my friends tweet ""I hate school"" while I enjoy vacation 😂 https://t.co/EBvyL018ia"
739312768159879168,2016-06-05 04:27:54,I hate her so much https://t.co/YKnpTwnvRC
739312768080314368,2016-06-05 04:27:54,"RT @LilTartheBasedQ: I fw you if you we can just kick it just t kick it lol, hate when people only fw you when you're up"
739312767962906624,2016-06-05 04:27:54,I seriously hate everything rn
739312767639883776,2016-06-05 04:27:54,29 jobs to avoid if you hate stress https://t.co/rl9j6wRO77
739312767383965696,2016-06-05 04:27:54,RT @zabdyreina: lmao I hate y'all  https://t.co/WSCjAP05R3
739312767191109632,2016-06-05 04:27:54,RT @Satisfymysoul23: Don't hate what you don't understand! https://t.co/MI7wkGyET1
739312767090331649,2016-06-05 04:27:54,"RT @revetta_sydney: I absolutely hate being lied to Idc if the truth is gonna hurt me, finding out you lied is gonna hurt me 10 times worse"
739312767014866944,2016-06-05 04:27:54,RT @Kwanedra: To be my friend we have to equally hate the same people
739312766780112896,2016-06-05 04:27:54,@babriana_ I hate you
739312766444576768,2016-06-05 04:27:53,I'm literally saying damn while saving all these photos of lauren i hate myself
739312766306127872,2016-06-05 04:27:53,RT @theylovetookie: so many girls hate me 😂 poor children
739312765823778818,2016-06-05 04:27:53,I hate Kevin https://t.co/TZjRQI2Evx
739312765345501184,2016-06-05 04:27:53,I hate you😭💀💀💀 https://t.co/bqRgfLNzZU
739312765236453377,2016-06-05 04:27:53,i sent dm to the wrong person bc of u i hate this i haye this so much
739312764506767360,2016-06-05 04:27:53,RT @kylee_ericaa: I HATE GUYS I HATE GUYS I HATE GUYS I HATE GUYS
739312764368388096,2016-06-05 04:27:53,RT @WajahatAli: Bernie Sanders: You can’t love Ali and hate Muslims https://t.co/dR5Tq3EPCn
739312764355678208,2016-06-05 04:27:53,I hate when this nigga call trying to talk while he playing video games with his friends. It's pointless.
739312764124946433,2016-06-05 04:27:53,RT @ohteenquotes: I hate the way my voice sounds in videos when I play it back!
739312764036907008,2016-06-05 04:27:53,Hate when people take forever to respond it's so annoying🖕🏼😡
739312763575492612,2016-06-05 04:27:53,HES SO CUTE I HATE HIM https://t.co/bJPNQJx86n
739312762174603264,2016-06-05 04:27:52,I honestly hate chick flicks
739312762103422978,2016-06-05 04:27:52,I foking hate my neighbors
739312761566429184,2016-06-05 04:27:52,I hate having unreliable employees 😡😑
739312761151356928,2016-06-05 04:27:52,RT @Quanboy80: I hate you https://t.co/MGlFUC5xaY
739312760945676288,2016-06-05 04:27:52,RT @_moniemone_: I HATE HATE HATE HAAAAATTTTTEEEE being left on read.
739312760627036160,2016-06-05 04:27:52,RT @kaitmccain: I hate when people text me and I answer and then they don't answer like why'd you text me in the first place???
739312760484302849,2016-06-05 04:27:52,"RT @celebsconfesss: Me: I love pizza
Elizabeth Olsen: I hate pizza
Me: did I say I love pizza? I meant I hate pizza"
739312760081633280,2016-06-05 04:27:52,@troyesivan happy birthday i hate yoi
739312758542327808,2016-06-05 04:27:52,Hate dumb ass people😁
739312758328463360,2016-06-05 04:27:52,RT @JacobWhitesides: I hate this constant urge to want a nap.
739312758282391553,2016-06-05 04:27:51,I hate when ppl take forever to reply
739312757695090688,2016-06-05 04:27:51,Let's be real i'm my biggest fan account and biggest hate account at the same time .
739312757305188352,2016-06-05 04:27:51,I really hate driving sometimes
739312757007220736,2016-06-05 04:27:51,RT @SarcasmPage: WHY DO PEOPLE JUST STOP TALKING TO ME WHEN I DID NOTHING WRONG ATLEAST TELL ME IF I DID SOMETHING OR I WILL OVERTHINK AND…
739312756717801472,2016-06-05 04:27:51,Absolutely hate feeling like this 😔😔😔
739312755946184704,2016-06-05 04:27:51,RT @TheeREALMaurice: i really just fucking hate EVERYBODY 💯
739312755895865344,2016-06-05 04:27:51,.. i hate sucka shit!
739312755472228352,2016-06-05 04:27:51,RT @Deanofcomedy: Bernie Sanders: You can't praise Ali and disparage Muslims https://t.co/bDXjxdYGP8
739312754880851968,2016-06-05 04:27:51,''I hate distance. You meet the best people and they are always far away.''
739312754423652356,2016-06-05 04:27:51,RT @__ntc: Hate when stuff doesn't go my way
739312753962164225,2016-06-05 04:27:50,RT @SarcasmPage: WHY DO PEOPLE JUST STOP TALKING TO ME WHEN I DID NOTHING WRONG ATLEAST TELL ME IF I DID SOMETHING OR I WILL OVERTHINK AND…
739312753014386689,2016-06-05 04:27:50,"RT @AquariusUnite: #Aquarius is the one to delete you, hate you, or love you, without making a scene."
739312752527822852,2016-06-05 04:27:50,"RT @LovelyArlyn: I hate the shit you do, but I still text you back and respond I miss you too."
739312751370113026,2016-06-05 04:27:50,"RT @poetry_joshua: Hate Cruz, but that was a classy win speech."
739312750736773121,2016-06-05 04:27:50,"RT @NextRollBounce: I hate a ""you can tweet but not text back"" ass bitch. 

Can you not understand the TL is lit and our conversation isn't…"
739312750619295744,2016-06-05 04:27:50,RT @Fastdontlie9: I hate drunk people when I'm sober
739312750409748480,2016-06-05 04:27:50,RT @rachhbergman: HBDD hate u sm❤️❤️ https://t.co/d6BYbE8dZf
739312749956718593,2016-06-05 04:27:50,"RT @martineashleyy: I dont hate anyone I dont fw anymore. we had a good run, good &amp; bad times. we grew apart. I wish u all the best, love,…"
739312749050728448,2016-06-05 04:27:49,"RT @threadwithpics: (Hate's Pictures)
-dosen't let you video tape her
-always thinks they look ugly
-forever covering face https://t.co/xWu…"
739312748371152897,2016-06-05 04:27:49,RT @Azhtvn5SOS: Whatever your beliefs spread love not hate. https://t.co/Ew9MxIo0zu
739312748228579328,2016-06-05 04:27:49,@Monilee_ ???????? I hate you
739312747993792512,2016-06-05 04:27:49,hate when i ask people what they are doing and they tell me who they are with or where they are
739312747347873793,2016-06-05 04:27:49,RT @playboishawn: I hate when ppl get mad at u for doing something but yet they do it
739312747226091520,2016-06-05 04:27:49,"RT @DannyK_8: People probably hate texting me because I never type everything in one text, it's always 3 or 4"
739312747125542912,2016-06-05 04:27:49,Too much fake love will make u hate love
739312746936684544,2016-06-05 04:27:49,"RT @Kimberlieee__: I HATE disrespectful boys
I HATE disrespectful boys
I HATE disrespectful boys
I HATE disrespectful boys
I HATE disrespec…"
739312746177646592,2016-06-05 04:27:49,RT @Sarapanamera: I hold so much hate in my heart ❤️
739312746005684224,2016-06-05 04:27:49,RT @zxchburns: I hate being single I just want a girlfriend already!!!
739312745690980352,2016-06-05 04:27:48,bro I fucking hate when plugs make me waste my goddamn gas
