id,created_at,text
739316019227983872,2016-06-05 04:40:49,@meninadovento mais loco que o Hitler no show do Raça negra
739315921504722944,2016-06-05 04:40:26,Reminiscent of Hitler's alliance with Mussolini. https://t.co/kDmTsFVbgx
739315883923939329,2016-06-05 04:40:17,"RT @abbycohenwl: ""He's not Hitler,"" Melania says about her husband. ""He's not a carbon-based life form. These are not words &amp; you are not r…"
739315864063889408,2016-06-05 04:40:12,Video: detection of rare documentary clip to the voice of Hitler natural https://t.co/9PLwd1SjRU https://t.co/Eome1CLZzo
739315857285877761,2016-06-05 04:40:10,(ألم تر إلى الذين يزكون أنفسهم بل الله يزكي من يشاء ولا يظلمون فتيلا) [النساء:49]
739315857243930625,2016-06-05 04:40:10,Video: detection of rare documentary clip to the voice of Hitler natural https://t.co/lqCdruZcam https://t.co/JlAoBaR4NO
739315849589313536,2016-06-05 04:40:09,Video: detection of rare documentary clip to the voice of Hitler natural https://t.co/A525bQ3ez4 https://t.co/lBPLd8t4Ec
739315841901178880,2016-06-05 04:40:07,Video: detection of rare documentary clip to the voice of Hitler natural https://t.co/uJUEgieN1M https://t.co/zdkishWmxE
739315832770203650,2016-06-05 04:40:05,Multiple Turkish news agencies on Saturday compared German Chancellor Angela Merkel with Adolf Hitler. https://t.co/9YZQbtjT1a
739315805729476608,2016-06-05 04:39:58,RT @marinagb: Ser miembro de algún colectivo homosexual y apoyar a Keiko es casi como ser judío y ser fan de Hitler #noakeiko
739315745947942912,2016-06-05 04:39:44,Hitler knew the truth about the Jews
739315707918331904,2016-06-05 04:39:35,"RT @arcostabsb: Hitler não foi eleito, perdeu eleição
Tentou golpe e foi preso
Novo golpe: do congresso, abocanhou a nação
Sem voto! https:…"
739315653836963840,2016-06-05 04:39:22,RT @ArthurSchwartz: Monday is the 72nd anniversary of D-Day. Political hack @AGSchneiderman can thank a certain someone for his service. ht…
739315649369903105,2016-06-05 04:39:21,@BlissTabitha There will never be another Hitler.  But a massive deadly force much worse and more vile has emerged. It's head is ISIS.
739315605799501824,2016-06-05 04:39:10,"Call me Troll, I don't care!
Ali was NOT 'GREATEST'. #JOELOUIS &gt;Held Heavyweight title LONGER &amp; DEFEATED #HITLER. https://t.co/atFjedsvrq"
739315565781606400,2016-06-05 04:39:01,@YouNow ban these girls axbxbxixe
739315469241307136,2016-06-05 04:38:38,"RT @jessecalvillo: Hitler, eat this, you're not you when you're hungry

*hitler eats snickers*

Hitler: ""I was gonna do WHAT to the Jews??…"
739315467895099392,2016-06-05 04:38:38,Más solo que hitler el día del amigo 😹😹
739315467064578048,2016-06-05 04:38:37,@hotpods does that mean Hitler went to heaven he had good intentions
739315441315676161,2016-06-05 04:38:31,"RT @UnreveaISecrets: The number of ""followers"" you have does not make you better than anyone else. Hitler had millions, Jesus had 12."
739315424567775232,2016-06-05 04:38:27,these arguments about Hitler &amp; atheism are like those coal fires in PA that we don't have the technology to put out. https://t.co/N6FqlEPKth
739315368456376320,2016-06-05 04:38:14,Second coming #Hitler #Trump2016
739315294967975936,2016-06-05 04:37:56,"@TheVoiceOfPaulR Hitler NEVER said this, there are thousands of false quotes attributed to him."
739315279767838721,2016-06-05 04:37:53,RT @peddoc63: Hitler gained control over Germany with violent protestors similar to Move On &amp; BLM at Trump rallies. @badmoon46 https://t.co…
739315277523910657,2016-06-05 04:37:52,"RT @HistoryInPics: American Sergeant George A. Kaufman, replaces an 'Adolf Hitler St.' sign, Germany, 1945. From the National Archives. htt…"
739315200050888706,2016-06-05 04:37:34,RT @SuizaPerdomo: Partido Nazional Socialista de HITLER redujo a judíos a la esclavitud encierro y muerte. Así nos quieren ver en Vzla http…
739315196875968513,2016-06-05 04:37:33,"O que Hitler pregava para os alemães, os esquerdistas pregam para os brasileiros; a culpa é dos países internacionais."
739315195332304897,2016-06-05 04:37:33,RT @DavidLeopold: An early @nytimes reference to Hitler on 11/21/1922. Sound familiar? https://t.co/VSP0W52mca
739315164873297920,2016-06-05 04:37:25,"alex eu queria te beijar pena que namora — HITLER ESTAVA CERTO

mentira https://t.co/XzuaySqRDU"
739315137862045696,2016-06-05 04:37:19,Más tirado que Hitler el día del amigo
739315116877983744,2016-06-05 04:37:14,"RT @jessecalvillo: Hitler, eat this, you're not you when you're hungry

*hitler eats snickers*

Hitler: ""I was gonna do WHAT to the Jews??…"
739315112855638016,2016-06-05 04:37:13,if you use the correct pronouns for hitler and osama bin laden i think you can use the right pronouns for a trans person who was rude to you
739315050834452481,2016-06-05 04:36:58,RT @BoSnerdley: 'Trump Could Be the Next Hitler!' Says the Increasingly Fascist Left - Breitbart https://t.co/bVUwjQz6yz
