id,created_at,text
739317721163173888,2016-06-05 04:47:35,[VIDEO] Housefull 3 box office collection: This Akshay Kumar comic... https://t.co/ZUa0X58gVQ https://t.co/6ARMaRum6w
739317670114250753,2016-06-05 04:47:23,RT @Tutejajoginder: #Housefull3 – MUST WATCH - A laugh riot all the way for family audiences. Rating: 3.5… https://t.co/W3ao3fAXr5 https://…
739317608235847680,2016-06-05 04:47:08,RT @htshowbiz: Plan to watch #Housefull3 today? Read @nawabjha's review before you book the tickets:  https://t.co/fuYXdOYdUg https://t.co/…
739317438601400320,2016-06-05 04:46:27,"RT @MrsKHILADI: @ThtsMePR 

Housefull 😂😂

#HousefullSunday"
739317376701849600,2016-06-05 04:46:13,"@ArvindKejriwal haha, housefull 3 kaise hai yeh batao aap toh, kaha kaam ke chakkar meh padte ho"
739317367591829505,2016-06-05 04:46:10,"RT @Dishasatra: Me- I have a LV
Friend- ok
Me- I have a bmw
Friend- ok
Me- I'm going for housefull 3
Friend- kyu tere baap k pass itna pais…"
739317265800122370,2016-06-05 04:45:46,"RT @AKFansGroup: SCAN : #Housefull3 is Running Housefull in Cinemas !!

Book Your Tickets Now-https://t.co/dFYb8gYdZD https://t.co/7cZFcYbY…"
739317250398650368,2016-06-05 04:45:43,"@ArvindKejriwal sir,housefull 3 dekhi kya?"
739317228579917824,2016-06-05 04:45:37,RT @Abhi_Jani: #Bollywood Housefull 3 box office collections: Akshay Kumar’s movie collects Rs 15.21 cr.… https://t.co/LukdF4kVWd https://t…
739317200553545728,2016-06-05 04:45:31,Riteish Deshmukh skips HOUSEFULL 3 promotions... https://t.co/Rp0RzAYRvT https://t.co/ejbVfHc1aR
739317142118666240,2016-06-05 04:45:17,"RT @ravi_smo: One of best  Moment "" Ab to personal ho gaya  "" of Housefull 3"
739317099860873216,2016-06-05 04:45:07,Plan to watch #Housefull3 today? Read @nawabjha's review before you book the tickets:  https://t.co/fuYXdOYdUg https://t.co/7Z67qqKmiJ
739317059431981056,2016-06-05 04:44:57,RT @RajatTheKhiladi: 3 award worth performance in one single year.. Airlift Housefull 3 Rustom... Sir @akshaykumar tussi great ho. _/\_
739317004130091008,2016-06-05 04:44:44,RT @my2bit: @ArvindKejriwal sir ji what is Housefull 3 review? Is it worth going for?
739316984366538752,2016-06-05 04:44:39,"RT @Dishasatra: Me- I have a LV
Friend- ok
Me- I have a bmw
Friend- ok
Me- I'm going for housefull 3
Friend- kyu tere baap k pass itna pais…"
739316886568108032,2016-06-05 04:44:16,"RT @MrsKHILADI: @ThtsMePR 

Housefull 😂😂

#HousefullSunday"
739316842045571073,2016-06-05 04:44:05,RT @my2bit: @ArvindKejriwal sir ji what is Housefull 3 review? Is it worth going for?
739316808918937600,2016-06-05 04:43:57,"@ThtsMePR 

Housefull 😂😂

#HousefullSunday"
739316733807185920,2016-06-05 04:43:39,RT @shaijumathew: My Review of #Housefull3 https://t.co/iDZgzzs8dj @akshaykumar @SimplySajidK @juniorbachchan @Riteishd @Akkistaan @AkshayK…
739316664559390720,2016-06-05 04:43:23,RT @kitAnurag: Watching Housefull 3. It's not even interval and people are already appreciating it by giving it standing ovatioarrey sab ka…
739316637141196800,2016-06-05 04:43:16,https://t.co/F78sz9olez Housefull 3 2016 1CD
739316520602329093,2016-06-05 04:42:49,"RT @KhiladiKunal: With Airlift and Housefull 3, Akshay Kumar has managed to beat Shah Rukh Khan! - https://t.co/DV2wsW9QBs

#HousefullSunday"
739316422552195072,2016-06-05 04:42:25,RT @my2bit: @ArvindKejriwal sir ji what is Housefull 3 review? Is it worth going for?
739316418080968704,2016-06-05 04:42:24,Showbiz Weekly Roundup: Akshay Kumar's Housefull 3 makes smashing... https://t.co/rylmEyU29q https://t.co/YcI6zrJK4g
739316309649969153,2016-06-05 04:41:58,RT @my2bit: @ArvindKejriwal sir ji what is Housefull 3 review? Is it worth going for?
739316308056113152,2016-06-05 04:41:58,"@iamDivyaKhosla from the Special Screening Of Movie Housefull 3 https://t.co/ryHa9qe8xL"""
739316293921329152,2016-06-05 04:41:54,"RT @Dishasatra: Me- I have a LV
Friend- ok
Me- I have a bmw
Friend- ok
Me- I'm going for housefull 3
Friend- kyu tere baap k pass itna pais…"
739316153714016256,2016-06-05 04:41:21,Housefull 3 Movie Review and Ratings... https://t.co/QmQ7RXu4rR https://t.co/RFs6qmw8Ld
739316000022134784,2016-06-05 04:40:44,"RT @AkshayKumarHub: With Airlift and Housefull 3, Akshay Kumar has managed to beat Shah Rukh Khan! https://t.co/K6nouNSRxO"
739315937300480000,2016-06-05 04:40:29,Rs 3.20 Cr Housefull 3 2nd Day Box Office Collection Total Earning... https://t.co/ZoPNjpZcU6 https://t.co/7GBOnokoiX
739315867960254466,2016-06-05 04:40:13,"RT @mainbhiengineer: Housefull 3 earned 15cr in a day, Arun Jaitley may add some more tax thinking that we've too much money to waste"
739315837639659520,2016-06-05 04:40:06,"RT @yaps9: Unbelievable the way the locals laughing during #Housefull3 here in GeorgeTown, #Guyana .. Show was indeed a Housefull .. 👏👏👏 Sa…"
739315783918985218,2016-06-05 04:39:53,watching Housefull 3
739315630931857408,2016-06-05 04:39:16,With Kalyani Bhosale — watching Housefull 3 at Pvr Cinemas Orion Mall Panvel https://t.co/31OXlCyQXx
739315587311140864,2016-06-05 04:39:06,RT @purplehues7: @nikitindheer loved you in the movie housefull 3..u r really good looking..:)
739315585733918720,2016-06-05 04:39:06,BOLLYWOOD NEWS- HOUSEFULL 3 https://t.co/ZtsrruCPTh
739315558886346753,2016-06-05 04:38:59,"RT @KhiladiKunal: With Airlift and Housefull 3, Akshay Kumar has managed to beat Shah Rukh Khan! - https://t.co/DV2wsW9QBs

#HousefullSunday"
739315461028872193,2016-06-05 04:38:36,"RT @Tutejajoginder: #Housefull3 - Have you checked it out yet? My review!

https://t.co/W3ao3fjmzx https://t.co/BCaBKVgOFt"
739315427105374209,2016-06-05 04:38:28,"RT @akshaykumar: #Housefull3 Gang @ #HTStyleAwards with @sonamakapoor @ShraddhaKapoor @ManishMalhotra! Housefull of Style @sonalkalra
https…"
739315414576947200,2016-06-05 04:38:25,RT @ainaysmne: housefull 3 10/10. best gila &amp; asyik gelak tahap keluar air mata dah
739315413368999936,2016-06-05 04:38:25,RT @kd_jk91: The best part about Housefull 3 is that is ended.
739315412223938560,2016-06-05 04:38:24,"RT @vinodnarayan: #Housefull3 is a new low in #Bollywood as it weaves obtuse jokes on skin color, race and disabilities https://t.co/e7VYgC…"
739315410709843968,2016-06-05 04:38:24,RT @sunnykapoor23: housefull 3       very nice movie       your and jacki shroff work very very nice https://t.co/nhu0zIcg23
739315409610907652,2016-06-05 04:38:24,RT @sunnykapoor23: housefull  3      hit
739315408298119168,2016-06-05 04:38:23,@Nayyhaa Housefull 3 is rated by @wogma as Switch channels if it&amp;#39;s on cable https://t.co/aSEHxxwXN8
739315407056601089,2016-06-05 04:38:23,RT @Zain_Khan78: Wow Housefull 3 was absolutely amazing. Excellent performance.  loved it @Asli_Jacqueline @akshaykumar @Riteishd
739315405890543618,2016-06-05 04:38:23,RT @singhp1105: Housefull 3 with the family was hilarious and just the medicine I needed.
739315404795826176,2016-06-05 04:38:22,RT @arjunjasmeet143: Housefull 3 isa phenomenal film great work by @akshaykumar @Riteishd @juniorbachchan @Asli_Jacqueline @NargisFakhri 😂😂…
