id,created_at,text
739310858707210240,2016-06-05 04:20:19,How in transit to compensation iphone fixing bath leaving out iphone reproduction retinue india: CZfvhDpN
739308736708124672,2016-06-05 04:11:53,India's Modi inaugurates $290 mn dam in Afghanistan https://t.co/oLVg1wstXl https://t.co/3QVZynH0Jy
739304788760891392,2016-06-05 03:56:11,"If #India wants recognition as a nuclear weapons state, they should open negotiations with #Pakistan &amp; China https://t.co/VALx6ZVBOy"
739301316204232704,2016-06-05 03:42:23,"Generate TERGETED traffic to your website AUTOMATICALLY https://t.co/EGUbBX9YQC #blogs #SeoTools New iPhone 8 Leaks, Rumors, and S..."
739299449181110273,2016-06-05 03:34:58,"RT @ValaAfshar: The most expensive place to buy an iPhone:

1 Brazil
2 Indonesia
3 Sweden
4 India
5 Italy

https://t.co/3KrLq4cZgh https://…"
739298688959287296,2016-06-05 03:31:57,iPhone 7 likely to be more affordable in India https://t.co/HUgVWyNxY8 https://t.co/YhIBcbbMl2
739295702921011201,2016-06-05 03:20:05,"RT @ValaAfshar: The most expensive place to buy an iPhone:

1 Brazil
2 Indonesia
3 Sweden
4 India
5 Italy

https://t.co/3KrLq4cZgh https://…"
739294592520986625,2016-06-05 03:15:40,"RT @lindsaypereira: Yes, #BoycottAmazon. Offer closes the minute Amazon offers discounts on the next iPhone for Bhakts who can't use phones…"
739290892511543296,2016-06-05 03:00:58,"Apple podría comenzar a fabricar sus iPhone en la India, ¿con qué objetivo? - https://t.co/Xoah4GZ2ac https://t.co/b10lYVJo6P"
739289928467546112,2016-06-05 02:57:08,"Nuclear deals heating up the political climate of South Asia, esp. #India #china rivalry, via @nytimes https://t.co/mFwxb4R7HG"
739289207915438081,2016-06-05 02:54:17,How into farm iphone architect minus iphone birth troop india: CdizePAV
739278616060690432,2016-06-05 02:12:11,"RT @ValaAfshar: The most expensive place to buy an iPhone:

1 Brazil
2 Indonesia
3 Sweden
4 India
5 Italy

https://t.co/3KrLq4cZgh https://…"
739277718706085888,2016-06-05 02:08:37,"RT @ValaAfshar: The most expensive place to buy an iPhone:

1 Brazil
2 Indonesia
3 Sweden
4 India
5 Italy

https://t.co/3KrLq4cZgh https://…"
