id,created_at,text
739310455437594624,2016-06-05 04:18:42,HOT #USA Deals : https://t.co/JzDIX4Al4E Tele &amp; Macro lens kit for Smartphone iphone &amp; Galaxy &amp; Optimus etc. https://t.co/OlVEhrjlxV
739309150421712897,2016-06-05 04:13:31,"@rhysforyou T-Mobile USA uses (afaik), LTE bands 2, 4 and 12. iPhone 6s A1688 supports all those 👌🏻"
739308460072939520,2016-06-05 04:10:47,Cell Phone USA : Apple iPhone 4S 8GB Verizon Wireless 8.0 MP Camera Smartphone #4422 https://t.co/CAVxynzA57 https://t.co/BICRRsRSf6
739308454796492804,2016-06-05 04:10:45,"Cell Phone USA : OtterBox Commuter iPhone 6/6S PLUS 5.5"" Case Neon Rose White / Pink Origi… https://t.co/beBs4VyhzF https://t.co/5SXahk4JJX"
739308271601909761,2016-06-05 04:10:02,Bluetooth Wrist Smart watch for Samsung Android iPhone with Camera Sleep Monitor https://t.co/B1riZryRD6 https://t.co/pYRwgSWoEi
739306617531957248,2016-06-05 04:03:27,"Like Health Stuff and Give Unique Comment about Health.  
#USA Health project Join and Win iPhone, Apple Voucher... https://t.co/ATffjMA0cb"
739304701544521728,2016-06-05 03:55:51,Cell Phone USA : Apple iPhone 6 64GB Unlocked Smartphone a1549 ATT T-Mobile Verizon #4422 https://t.co/osAyx2SC0G https://t.co/FH50oqRFdM
739304700412067844,2016-06-05 03:55:50,Cell Phones : USA Black LCD Display Touch Screen Digitizer Assembly Parts For Apple iPhone 5 … https://t.co/VSbPM6m0yR
739304662902398976,2016-06-05 03:55:41,"Cell Phone USA : LifeBox Rugged iPhone 6/ 6S,  6 Plus - Hybrid Dual Layer PC TPU + TEMPERE… https://t.co/waKgUPGyVS https://t.co/Qu4i1KFpmv"
739303978354233345,2016-06-05 03:52:58,"Please Do NOT VOTE FOR DONALD TRUMP but vote to save US Democracy. USA FIRST - Italy Feels Our Pain, via @nytimes https://t.co/fNVwFNsT5q"
739303617757360128,2016-06-05 03:51:32,"New 1715mAh Li-ion Battery Replacement With Flex Cable For Apple iPhone 6S 4.7"" https://t.co/yiZA5dUFLh https://t.co/C5ETEGX8Zv"
739303438656409600,2016-06-05 03:50:50,OVA TURNÊ USA 2016. Quer um iPhone 6! Entre em contato 091-98128-8328! https://t.co/xFy2IteDAz
739300699549405184,2016-06-05 03:39:56,Cell Phone USA : Apple iPhone 4S 8GB Verizon Wireless iOS Smartphone #4422 https://t.co/CgRWkw8j4Z https://t.co/CJVal1kHVj
739300684479205376,2016-06-05 03:39:53,Cell Phone USA : Apple - Refurbished iPhone 6s Plus 16GB - Space Gray (AT&amp;T) #4422 https://t.co/DUnimHQEZ3 https://t.co/afb48bN135
739300673938919424,2016-06-05 03:39:50,"Cell Phone USA : OtterBox Defender iPhone 6/6S PLUS 5.5"" Case &amp; Holster Clip Black OEM Ori… https://t.co/GQ4DGQhR5p https://t.co/WufEnY5wkf"
739300668754788352,2016-06-05 03:39:49,"Cell Phone USA : Apple iPhone 4S A1387 3.5"" Retina 16GB Factory UNLOCKED Cell Phone #4422 https://t.co/rHiMw7TTgg https://t.co/4EcQ9QV3FE"
739300310649311232,2016-06-05 03:38:24,G2 Water Resist Bluetooth 2.0MP Smart Watch For Android IOS iPhone TF063 https://t.co/qShFnjx0Pm https://t.co/3EwHshKanA
739300135147048960,2016-06-05 03:37:42,@salvatorever tu usa o cartola no iPhone?
739297683702190080,2016-06-05 03:27:57,https://t.co/GtbYZsdP6z #1955 Apple iPhone 6s 64 GB 4G LTE Factory Unlocked Smartphone - USA Model (Space G... https://t.co/VvJBnvcptr
739297067663826945,2016-06-05 03:25:31,Green HeavyDuty 2in1 Hybrid Kickstand Case Cover Compatible Iphone 5/5s {zx2134 https://t.co/FRDA0LvQ9D https://t.co/yYlbZYTzi9
739296630738964480,2016-06-05 03:23:46,Cell Phone USA : Apple iPhone 6 Plus a1522 64GB Smartphone for AT&amp;T - Gray Gold Silver #44… https://t.co/gyRUEEt0Yr https://t.co/KPl34eBjOd
739296621415038976,2016-06-05 03:23:44,"Cell Phone USA : OtterBox Defender iPhone 6 Plus 5.5"" Case &amp; Holster Ink Blot Blue / Navy … https://t.co/dag9D77lK7 https://t.co/11ORaH0KTD"
739296616209915906,2016-06-05 03:23:43,Cell Phone USA : iPhone 6S Kickstand Case Rose Gold Hard &amp; Soft Silicon Back Case Cover &amp; … https://t.co/d42uPtN8oh https://t.co/H84xuQYLA8
739295627167838208,2016-06-05 03:19:47,RT @2GlitterandChic: Watercolor USA Flag - Home Of The Free... OtterBox iPhone 6/6s Case https://t.co/rQppwrUKY7 https://t.co/NV3YNzHaaa
739295286288355328,2016-06-05 03:18:26,RT @2GlitterandChic: Watercolor USA Flag - Home Of The Free... OtterBox iPhone 6/6s Case https://t.co/rQppwrUKY7 https://t.co/NV3YNzHaaa
739294818250203139,2016-06-05 03:16:34,"Diciembre usa, iPhone 7, seeeee🎊🎉🎊🎉"
739293636937056258,2016-06-05 03:11:53,Hot Deals &gt; https://t.co/WdEkeZpzOf USA White LCD Screen Touch Digitizer Repalcement Repair Parts For iPhone 5S https://t.co/7o1MZhuiHv
739293591261057024,2016-06-05 03:11:42,RT @2GlitterandChic: Watercolor USA Flag - Home Of The Free... OtterBox iPhone 6/6s Case https://t.co/rQppwrUKY7 https://t.co/NV3YNzHaaa
739293225790406656,2016-06-05 03:10:15,For iPhone 4 4S iPod Touch 4 3 USB Sync Data Charging Charger Cable High Speed https://t.co/yqcApiDA2L https://t.co/0U4934jmzY
739292754379984896,2016-06-05 03:08:22,K88H Smart Bluetooth Watch Heart Rate Monitor Waterproof For iPhone/LG/HTC Black https://t.co/NHUhpBdQmM https://t.co/qxsKoQvOyq
739292737133023232,2016-06-05 03:08:18,Green HeavyDuty 2in1 Hybrid Kickstand Case Cover Compatible Iphone 5/5s {zx2182 https://t.co/5041Td6PVi https://t.co/q3WhHXj0PW
739292639506407428,2016-06-05 03:07:55,Watercolor USA Flag - Home Of The Free... OtterBox iPhone 6/6s Case https://t.co/rQppwrUKY7 https://t.co/NV3YNzHaaa
739292624197156864,2016-06-05 03:07:51,"Cell Phone USA : Apple iPhone 5s 16GB 4G Smartphone (Factory Unlocked) Verizon, AT&amp;T - SRB… https://t.co/VVbsvYfz5E https://t.co/uLqFFodjvm"
739292561139978240,2016-06-05 03:07:36,"https://t.co/Wi6XAdh4vJ #7243 USA Touch Screen Digitizer + LCD Screen Display + Frame for iPhone 6 PLUS 5.5"" https://t.co/6UzzPntMRd"
739291648920846336,2016-06-05 03:03:59,Porsche Design P'3300 French Classic 3.0 leather case iPhone 5 https://t.co/xs4AxJWgn0 https://t.co/g8xgJBKSnJ
739291643921235970,2016-06-05 03:03:57,Porsche Design P'3300 French Classic 3.0 leather case iPhone 5 https://t.co/xs4AxJWgn0 https://t.co/xG3V0hpjDZ
739291145151352832,2016-06-05 03:01:59,https://t.co/Ll4ux0PPWO #Deals #CellPhones #Smartphones New OEM White Dock connector for iphone 4 GSM ATT charging port flex cable USA
739291120631451650,2016-06-05 03:01:53,https://t.co/yZftxa7lTo #Deals #CellPhones #Smartphones New Original OEM iPhone 5 Ear Piece Speaker Sound Replacement Part Repair USA
739290911499255809,2016-06-05 03:01:03,"Dirty truth of so called democracy will weaken the USA - Big Money Rearranges Its Election Bets, via @nytimes https://t.co/xx5ybymU2I"
739288625066708992,2016-06-05 02:51:58,"O que falar se a pessoa não tem $$ pra comprar um iPhone , usa um pedaço de côco de celular, a ainda critica quem tem iPhone... O que falar?"
739285237771964417,2016-06-05 02:38:30,O1 4.7 inch Screen Protector Front Film PET HD Anti-Scratch for Apple iPhone 6 https://t.co/SEuB74oR48 https://t.co/UhKviXnIEG
739284879620374528,2016-06-05 02:37:05,iphone clean imei att unlock code deblocage att usa instant a 1h - https://t.co/tj1zAPI4vC https://t.co/10bAHBqdFU
739284752302264321,2016-06-05 02:36:34,att usa iphone 6s 6s 6 6 5c 5s 4c 4s factory unlock limpia imei servicio rapido - https://t.co/45AX33eIBD https://t.co/RIA6Ou8rkG
739284670882402304,2016-06-05 02:36:15,Green HeavyDuty 2in1 Hybrid Kickstand Case Cover Compatible Iphone 6/6s {ik2082 https://t.co/MpdcUCeqRm https://t.co/auQFlIrHFB
739284549662871552,2016-06-05 02:35:46,Cell Phone USA : Apple iPhone 6s a1688 16GB Verizon Unlocked Gray Rose Silver Gold #4422 https://t.co/2Q6bvErBXC https://t.co/u674LpduPT
