id,created_at,text
1109883243287830528,2019-03-24 18:22:40,"RT @mohanstatsman: Ishant Sharma in #IPL
Previous 8 games from 17 Apr 2016 to 14 May 2017: 25-0-252-0 (R/o: 10)
Tonight: 1st spell 3-0-19-2…"
1109883241362669568,2019-03-24 18:22:40,"RT @Yuv_Sensation: @YUVSTRONG12 departs after scoring fine 53 runs (4s:5, 6s:3) of 35 balls. Unfortunately @mipaltan falls short of chasing…"
1109883239529746433,2019-03-24 18:22:39,"RT @toisports: #IPL2019 #MIvDC @DelhiCapitals @mipaltan 

It's all over!

@RishabPant777 stars as @DelhiCapitals beat @mipaltan by 37 runs…"
1109883238988705793,2019-03-24 18:22:39,"#IPL history to claim 4 catches in a match.
Sachin Tendulkar, 
David Warner
Jacques Kallis 
Rahul Tewatia… https://t.co/o6LCFySFB7"
1109883234433884160,2019-03-24 18:22:38,@DelhiCapitals get rid of mumbai indians in delhi way #win #ipl2019
1109883232416231424,2019-03-24 18:22:37,"#MumbaiIndians opening match in #IPL :-

2019 : Lost
2018 : Lost 
2017 : Lost
2016 : Lost 
2015 : Lost 
2014 : Lost… https://t.co/itEBAmuOmV"
1109883229517938688,2019-03-24 18:22:37,"@cricketaakash Really very happy to see @harbhajan_singh and @YUVSTRONG12 rewound the clock.

#IPL2019"
1109883228909760512,2019-03-24 18:22:37,"RT @ITGDsports: #IPL2019 #MIvDC WICKET! Mitchell McClenaghan st Pant b Tewatia 10 (8 balls). MI 176/9 (19.2 overs) vs DC (213/6)

Live Upda…"
1109883227018326017,2019-03-24 18:22:36,"Yesterday #RCB 
Today #MI
Yes, #IPL is going perfectly fine.
Hope Bumrah is fine.

#IPL2019 #VIVOIPL #MIvDC"
1109883226296709120,2019-03-24 18:22:36,"Yuvi Haters Right Now 👇👇👇

#MIvDC #DCvMI #IPL2019 #IPL @mipaltan #YuvrajSingh https://t.co/jE6bUVx3dj"
1109883226083024903,2019-03-24 18:22:36,"Wow what a match played by #DelhiCapitals open is account with #Win !!
#IPL2019 #MIvDC"
