id,created_at,text
1109087517847052288,2019-03-22 13:40:44,Same thing will happen with faheem like irfan pathan when India tried to convert a bowler into an all rounder #PAKvAUS
1108069921416568837,2019-03-19 18:17:10,Indian cricketers &amp;amp; their WAGs Pics | Indian cricketers &amp;amp; their WAGs Photos | Indian cricketers &amp;amp; their… https://t.co/oF4mT4LqOn
1107349323660972032,2019-03-17 18:33:46,"RT @IrfanPathan_786: #OnThisDay in 2008, India won the CB series against Australia which was one of the memorable moments....

""Irfan Patha…"
1107115126337867776,2019-03-17 03:03:09,"RT @RobinDhull5: @cricbuzz India should concern about lower order batting. Indian team cannot rely on only top order, it need some world cl…"
1107076013010440192,2019-03-17 00:27:44,"@cricbuzz India should concern about lower order batting. Indian team cannot rely on only top order, it need some w… https://t.co/CJSBlNLgXH"
1106891026772434944,2019-03-16 12:12:40,"@AnasMagnificent India better replace Bumrah with someone like Madan Lal, RP Singh, Irfan Pathan or Ishant Sharma i… https://t.co/1z5m8LItJD"
1106865608338006016,2019-03-16 10:31:40,"RT @1sInto2s: If Sachin Tendulkar were thinking that India could win the match on the score  below 320 with the pacers like Ashok Dinda, ir…"
1106851194813726720,2019-03-16 09:34:23,"RT @1sInto2s: If Sachin Tendulkar were thinking that India could win the match on the score  below 320 with the pacers like Ashok Dinda, ir…"
1106846720640450560,2019-03-16 09:16:37,If Sachin Tendulkar were thinking that India could win the match on the score  below 320 with the pacers like Ashok… https://t.co/MdBpFS8NY4
1106839007835635712,2019-03-16 08:45:58,"Irfan Pathan is the best player , but against player darte h Irfan Pathan se islia team India me aur n hi IPL me entry mil rahi h,"
1106837692535443456,2019-03-16 08:40:44,"@virendersehwag Karachi test match when irfan Pathan take hatric in his first over i think one of the best match
In… https://t.co/x1exbN1LgF"
1106803065993207808,2019-03-16 06:23:08,"@ZakirKhan012 India's first wicket keeper Mo. Nissar, Irfan and Yusuf Pathan, Mo. Azhruddin, Zahir Khan, Syed Kirma… https://t.co/vIk1NXFcyz"
1106607494514671616,2019-03-15 17:26:01,"RT @htTweets: #INDvsAUS | @IrfanPathan raises concern about India’s middle order ahead of 2019 @cricketworldcup 

via @HTSportsNews

https:…"
704405778162057216,2016-02-29 20:39:59,Just setting up my Twitter. #myfirstTweet
