id,created_at,text
737541970017423360,2016-05-31 07:11:23,"RT @ZubinaAhmad: And ISIS is claiming to attack in India in future. 
ISIS may entertain indian media not people.   https://t.co/m3DDT9Foub"
737540715404632064,2016-05-31 07:06:24,The latest The pala hanmi reddy Daily! https://t.co/7Cy73b0Dlw Thanks to @sachinsingh1010 @vismayshah @allansorensen72 #india #isis
737540635113070592,2016-05-31 07:06:04,8 out 10 ISIS aspirants not disgruntled with India- They are swayed by the Caliphate https://t.co/7NXdcmeq3t #isis via @oneindia
737540624098828290,2016-05-31 07:06:02,8 out 10 ISIS aspirants not disgruntled with India- They are swayed by the Caliphate https://t.co/3BEabK7GbI via @vuukle
737539719051907072,2016-05-31 07:02:26,8 out 10 ISIS aspirants not disgruntled with India- They are swayed by the Caliphate  https://t.co/liq1n13FPc #Isis
737538017582157825,2016-05-31 06:55:40,"ഐസിസില്‍ ചേരാന്‍ ഒരുങ്ങുന്ന 500 പേരില്‍ കേരളത്തില്‍ നിന്നുള്ളവരും, കാരണങ്ങള്‍ ഇവയാണ്...   https://t.co/wmrwtjBM2T #Isis"
737536960399478784,2016-05-31 06:51:28,Help Ban #Wahhabism in #India sign Petition today https://t.co/zcHnVNowUv #ISIS #Taliban #BokoHaram #SaudiArabia https://t.co/s4GAwS5uG3
737536790966329344,2016-05-31 06:50:48,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737534902590050304,2016-05-31 06:43:18,"RT @tufailelif: 500 Indians attracted to ISIS, being tracked in real time #Threat2India #RadicalizationIN https://t.co/hokO63JH8M"
737532369121337345,2016-05-31 06:33:14,"RT @tufailelif: It can be argued Islam is a peaceful religion, it can equally be argued based on Quranic verses that Islam is not 
https://…"
737532321788612608,2016-05-31 06:33:02,"RT @tufailelif: 500 Indians attracted to ISIS, being tracked in real time #Threat2India #RadicalizationIN https://t.co/hokO63JH8M"
737531653044633601,2016-05-31 06:30:23,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737531080299798528,2016-05-31 06:28:06,"RT @tufailelif: 500 Indians attracted to ISIS, being tracked in real time #Threat2India #RadicalizationIN https://t.co/hokO63JH8M"
737530587758497793,2016-05-31 06:26:09,"RT @arjun_eklavya: @Kummanam 
From Children to pets no body is safe
Under CPM rule in kannur.
Choose CPM or DIE
ISIS of India = CPI(M) http…"
737529874118639616,2016-05-31 06:23:19,RT @BanWahhabism: #StandAgainstTerrorism  #SaudiArabia   pumping millions to promote #Wahhabism in India-India TV News - https://t.co/b0bUG…
737529260433231873,2016-05-31 06:20:52,"RT @arjun_eklavya: @Kummanam 
From Children to pets no body is safe
Under CPM rule in kannur.
Choose CPM or DIE
ISIS of India = CPI(M) http…"
737528294317260800,2016-05-31 06:17:02,RT @AntiTalibanISIS: Help Ban #Wahhabism in #India sign Petition today https://t.co/zQb5jfUleq #ISIS #Taliban #BokoHaram #SaudiArabia https…
737528282145423361,2016-05-31 06:16:59,"RT @tufailelif: It can be argued Islam is a peaceful religion, it can equally be argued based on Quranic verses that Islam is not 
https://…"
737528074107904001,2016-05-31 06:16:10,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737527815029981186,2016-05-31 06:15:08,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737527286648315904,2016-05-31 06:13:02,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737526985677627392,2016-05-31 06:11:50,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737525994693611520,2016-05-31 06:07:54,"RT WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737525687007862785,2016-05-31 06:06:41,RT @BanWahhabism: Help Ban #Wahhabism in #India sign Petition today https://t.co/BHgKgn6PPp #ISIS #Taliban #BokoHaram #SaudiArabia https://…
737525517109198848,2016-05-31 06:06:00,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737525395671502848,2016-05-31 06:05:31,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737525208471330816,2016-05-31 06:04:46,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737524543787388929,2016-05-31 06:02:08,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737523996648833027,2016-05-31 05:59:57,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737523883272634369,2016-05-31 05:59:30,ISIS militant publicly executes his mother after accusing her of 'apostasy' - The Times of India https://t.co/G4MQaPeIPw via @timesofindia
737523869775323136,2016-05-31 05:59:27,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737523572374020102,2016-05-31 05:58:16,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737523557597466625,2016-05-31 05:58:13,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737523255624368128,2016-05-31 05:57:01,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737523074443051008,2016-05-31 05:56:18,"RT @WatDaDuck_: ISIS video on attacking India
Kejriwal: Must watch, whether you're pro or anti ISIS. I salute their courage."
737522733123178496,2016-05-31 05:54:56,"RT @sankrant: India's  Communist Left at what they do best. #ISIS-like violence.  Hack &amp; kill a 7-yr old. MSM blackout.
https://t.co/jNAgbR…"
737522045794156544,2016-05-31 05:52:12,"RT @tufailelif: It can be argued Islam is a peaceful religion, it can equally be argued based on Quranic verses that Islam is not 
https://…"
