id,created_at,text
739309551183396864,2016-06-05 04:15:07,"#Read this epic, colorful story for free.  https://t.co/VIc2dUrrnL #Kindle #KindleUnlimited #dark #horror #fantasy https://t.co/LJM8RzUJi7"
739309544891809792,2016-06-05 04:15:05,[無料Kindle漫画コミック] 「我間乱～ＧＡＭＡＲＡＮ～（１） (週刊少年マガジンコミックス)」 https://t.co/ClqRezCO2L  #Kindle版
739309543239389184,2016-06-05 04:15:05,"MIRADA INFINITA
¡Ya disponible en #Amazon #Kindle!
OFERTA sólo 0.99 AQUÍ&gt; https://t.co/Vvqku4zJaJ @enriquelaso https://t.co/UYRjRwSvld"
739309541695881216,2016-06-05 04:15:05,@chief__steve @_faschaniecesta they got an app and I got a kindle I'm good
739309535022714880,2016-06-05 04:15:03,"Fresh Word of Faith: A word in season https://t.co/6WfskD1S4p
#kindle #kdp #bible #christian #ebook #churchplanting https://t.co/KxdXnVUADa"
739309531461619712,2016-06-05 04:15:02,【Kindle】ＮＨＫラジオ 実践ビジネス英語 2014年 5月号 ［雑誌］ (NHKテキスト)　ＮＨＫ出版 2014-04-14　Ｐ：https://t.co/GAHR4rLvHp　携：https://t.co/DudJeXxUuC
739309502659481600,2016-06-05 04:14:55,RT @buzzbookstore: Saturday's Kindle Deals - up to 85% off https://t.co/dQiJqxXxlV (No Kindle? Snag the free app: https://t.co/MpH10jdJlf)
739309501401071616,2016-06-05 04:14:55,"おなじみの昔話・一寸法師が、絵本作家・松本絵里さんのキュートなイラストで登場♡

『いっすんぼうし』 https://t.co/Dr4dRxdDLn #followmejp"
739309498133667840,2016-06-05 04:14:54,@draagonfly_ sorry im wimping out and reading a prose translation instead of the kindle one https://t.co/5Ccy1BfJrw
739309478361759745,2016-06-05 04:14:50,"RT @DavidLucero: https://t.co/szOGn8lzOW
Books by David Lucero available on my Amazon Author Page. My latest, 'Big Jim,' now available in K…"
739309459667886080,2016-06-05 04:14:45,Found this with Prayers &amp; Blessings Daily by @RobotiCode for #Android #iPhone #Kindle. #DailyInspiration https://t.co/u7JWNy7iZh
739309453829378048,2016-06-05 04:14:44,"RT @ML_Callahan: Fire elemental, talking dragons &amp;magic #IARTG #BYNR #scifi #amreading .@sesmithfl #MagicNMKW https://t.co/JqsEXOuduV https…"
739309436104122368,2016-06-05 04:14:39,RT @bpbroome: Remember when the end of the world only seemed possible in fiction? Good times: https://t.co/dOe5tzQN3F #Kindle https://t.co/…
739309411022209025,2016-06-05 04:14:33,ワンパンマン最新11巻は来月7月4日にKindle版でるのか。集英社は1ヶ月遅れがデフォになってありがたいなぁ → Kindleストア ワンパンマン11巻   https://t.co/Uvs7twk9D3
