id,created_at,text
1110057890159751168,2019-03-25 05:56:39,"RT @desaisantosh: In a world of machine learning, will reason become redundant? Towards an Age of Unreason? https://t.co/IYtLZMPPYY"
1110057793313112064,2019-03-25 05:56:16,"Long before the advent of #AI artificial intelligence and machine learning for derm diagnosis, Dr. Jackson taught u… https://t.co/dHZp7r8hjz"
1110057780545650690,2019-03-25 05:56:13,RT @gajjala_praveen: Quantum Computers Can Now Do Machine Learning https://t.co/BkKvANoaWt #Learning #MachineLearning https://t.co/LcA5jHiC…
1110057643756920838,2019-03-25 05:55:40,"RT @deadwitchflying: Let's be clear: machine learning algorithms, with or without neural networks, using whatever techniques of classificat…"
1110057629139828738,2019-03-25 05:55:37,"RT @JollyJu47992310: DxChain(DX) is a big data and machine learning network powered by a computation-centric blockchain. Listed on CMC, tra…"
1110057619803262976,2019-03-25 05:55:35,"RT @into_AI: AI Code Wags Hardware — Vigorously - Wei Li, who leads a software g https://t.co/ODuaKipL8Q #machine-learning"
1110057617207058433,2019-03-25 05:55:34,RT @into_AI: AI Trolls for Data Center Woes - “We were trying to prepare for https://t.co/HCUgHA8zZb #machine-learning
1110057614568841216,2019-03-25 05:55:33,"RT @into_AI: Banks use AI to catch rogue traders before the act - Now, banks' efforts are enteri https://t.co/j4cZDstHd0 #machine-learning"
1110057485610745856,2019-03-25 05:55:03,"RT @maxjcm: The difference between AI and Machine Learning

#artificialintelligence #AI #MachineLearning #ML #DL #BigData Cc @pierrepinna @…"
1110057054276907008,2019-03-25 05:53:20,RT @ExprAnalytics: We all hear a lot about #machinelearning in #dataanalytics these days. But does every business require ML? Read this pos…
1110056929060143104,2019-03-25 05:52:50,RT @allenakinkunle: I just published 'Deriving Machine Learning Cost Functions using Maximum Likelihood Estimation (MLE) - Part I' https://…
1110056884931723264,2019-03-25 05:52:39,"RT @PridesysGlobal: Basic machine learning models do become progressively better at whatever their function is, but they still some guidanc…"
1110056743629918208,2019-03-25 05:52:06,RT @fchollet: Machine learning has the potential to make a big difference in solving some of humanity's biggest problems -- making renewabl…
1110056713934249985,2019-03-25 05:51:59,RT @AdnanK5133: #AI and #ML are separate but hand in hand. A quick guide that defines the technologies and how they will grow together.  ht…
1110056704790745089,2019-03-25 05:51:56,"RT @modernimprint: #MachineLearning And #AI Are Not The Same: Here's The Difference

@kashthefuturist ⁦@OriolVinyalsML⁩ @HaroldSinnott @JBa…"
1110056477933424641,2019-03-25 05:51:02,RT @Reza_Zadeh: People tend to forget that Machine Learning theory such as VC dimension wasn’t even good at modeling the behavior of old sc…
1110056446052454403,2019-03-25 05:50:55,"RT @arxivml: ""Patient Clustering Improves Efficiency of Federated Machine Learning to predict mortality and hospital stay time u…
https://t…"
1110056367199535104,2019-03-25 05:50:36,Developing skills the key to learning - While most experts agree that https://t.co/bRZcvmPcmU #machine-learning
1110056316595245063,2019-03-25 05:50:24,Vecna Robotics Announces Fully Autonomous Tugger with Auto-Hitching and Auto-Charging … - This is https://t.co/cXhQ6SW12s #machine-learning
1110056282063544320,2019-03-25 05:50:16,"AI Code Wags Hardware — Vigorously - Wei Li, who leads a software g https://t.co/ODuaKipL8Q #machine-learning"
1110056260282576896,2019-03-25 05:50:10,AI Trolls for Data Center Woes - “We were trying to prepare for https://t.co/HCUgHA8zZb #machine-learning
1110056259410161664,2019-03-25 05:50:10,RT @mbcrump: JUST POSTED : Tip 189 - Guided tour of #Azure Machine Learning Studio | #AzureTipsAndTricks - https://t.co/EFFbFXXvx3  #ml #ai
1110056243249455104,2019-03-25 05:50:06,AI-enhanced manufacutring: Q&amp;A with Seagate executive VP Jeffrey Nygaard - This is the foundation https://t.co/L1PuH0jBF8 #machine-learning
1110056218125578240,2019-03-25 05:50:00,How Voice of Cancer Patients Is Empowering The Healthcare Community With AI-Driven Insights -  https://t.co/zWGGiW6h8a #machine-learning
1110056201272918016,2019-03-25 05:49:56,"Banks use AI to catch rogue traders before the act - Now, banks' efforts are enteri https://t.co/j4cZDstHd0 #machine-learning"
1110056186093678592,2019-03-25 05:49:53,Strategies for Intelligent Supply Chain Chains - By taking advantage of advance https://t.co/jIEM1wmSms #machine-learning
1110055853443502080,2019-03-25 05:48:33,RT @ExprAnalytics: We all hear a lot about #machinelearning in #dataanalytics these days. But does every business require ML? Read this pos…
1110055756085321729,2019-03-25 05:48:10,We all hear a lot about #machinelearning in #dataanalytics these days. But does every business require ML? Read thi… https://t.co/9JBd83ynXH
1110055755795845120,2019-03-25 05:48:10,RT @kdnuggets: 7 Steps to Mastering Basic Machine Learning with Python — 2019 Edition https://t.co/yZExGjxl59 https://t.co/AP1rQdxjHt
1110055624656736256,2019-03-25 05:47:39,"RT @desaisantosh: In a world of machine learning, will reason become redundant? Towards an Age of Unreason? https://t.co/IYtLZMPPYY"
1110055622291136512,2019-03-25 05:47:38,RT @GuyCaspi: There is still a lot of confusion when it comes to understanding the difference between Machine Learning and Deep Learning. D…
1110055558487273473,2019-03-25 05:47:23,"RT @desaisantosh: In a world of machine learning, will reason become redundant? Towards an Age of Unreason? https://t.co/IYtLZMPPYY"
1110055247651790848,2019-03-25 05:46:09,"RT @KirkDBorne: PDF version of brilliant #MachineLearning cheatsheets cover the content of Stanford's CS229: https://t.co/Rb6OJLvkza

Explo…"
1110055137895215104,2019-03-25 05:45:43,#0x social media sentiment in last hours. sentiment determined using machine learning from social texts about $zrx.… https://t.co/eyLc4bY6vR
1110054721577017345,2019-03-25 05:44:04,Quantum Computers Can Now Do Machine Learning https://t.co/jH3NUteqlG #Learning #MachineLearning https://t.co/M2DpPYckAJ
1110054457902055424,2019-03-25 05:43:01,"RT @rafalab: All materials for the 4 hour workshop

Data Science for Statisticians

are available on GitHub.

We covered tidyverse, dataviz…"
1110054416390840320,2019-03-25 05:42:51,"RT @WiMLDS_Delhi: Prerna Singh, Researcher at TCS Research &amp; Innovation Labs will be giving a talk on ""Artificial Intelligence for Robotic…"
1110054404319674368,2019-03-25 05:42:48,"RT @WiMLDS_Delhi: Shilpa Garg, Senior Engineer at Conduent and Lead at Women Techmakers New Delhi will be giving a talk on ""Writing and Tra…"
1110054393448062976,2019-03-25 05:42:45,"RT @WiMLDS_Delhi: Shilpa Arora, Social Analyst at SocialCops will be talking about ""ML for buildings detection using satellite imagery"".

J…"
1110054334929092608,2019-03-25 05:42:31,"RT @SaGo_Eng: This tree diagram shows you fields &amp; branches of #Artificial_Intelligence #AI.
#machine_learning #ML
#Deep_Learning #DL
#natu…"
1110054166997676032,2019-03-25 05:41:51,RT @Reza_Zadeh: People tend to forget that Machine Learning theory such as VC dimension wasn’t even good at modeling the behavior of old sc…
1110053720845414400,2019-03-25 05:40:05,"Combine Artificial Intelligence (AI), machine learning, big data, data scraping, data science and diverse range mar… https://t.co/iYiNNvqOYI"
1110053720224468998,2019-03-25 05:40:05,"RT @PridesysGlobal: Basic machine learning models do become progressively better at whatever their function is, but they still some guidanc…"
1110053638662021120,2019-03-25 05:39:45,"The Difference Between AI, Machine Learning, and Deep Learning https://t.co/ytASZjXUqI"
