id,created_at,text
1109814161247096833,2019-03-24 13:48:10,"RT @Galina_FanMD: I just... love it! How sweet! 😻 Madhuri Dixit and Varun Dhavan 🤗☺️✨ Event: Lux Golden Rose Awards, December 2018. Everyon…"
1109811135249874944,2019-03-24 13:36:08,Madhuri Dixit on taking up Sridevi’s role in Kalank: I don’t want to let her down https://t.co/EawzwRcci2
1109810898766434305,2019-03-24 13:35:12,Download Hit Scene Madhuri Dixit Mp3 Song for Free - Mp3Kite https://t.co/aO1ityK1pa
1109810604703834112,2019-03-24 13:34:02,RT @MadhuriD_Tweets: Madhuri Dixit in Lajja and Pukar deserves so much more for her performance. ❤❤❤
1109809120557887488,2019-03-24 13:28:08,Madhuri Dixit on taking up Sridevi’s role in Kalank: I don’t want to let her down https://t.co/ibGvJM912p
1109807106406924288,2019-03-24 13:20:08,Madhuri Dixit on taking up Sridevi’s role in Kalank: I don’t want to let her down https://t.co/AiwvCAEdWA https://t.co/khgsCEQGq1
1109804143315730432,2019-03-24 13:08:21,Trending Tunes: Salman Khan's Main Taare and Alia Bhatt-Madhuri Dixit's Ghar More Pardesiya make it to the top this… https://t.co/efrFvBk4Nr
1109800623279689728,2019-03-24 12:54:22,Madhuri Dixit on taking up Sridevi’s role in Kalank: I don’t want to let her down https://t.co/rcaof30l3u https://t.co/e3wAcyHqYn
1109798655001804800,2019-03-24 12:46:33,RT @seriracha: Madhuri Dixit did not put on a costume weighing over 10kg to perform for a fictional drunkard who doesn’t love her back in M…
1109798545245257729,2019-03-24 12:46:06,RT @seriracha: Madhuri Dixit did not put on a costume weighing over 10kg to perform for a fictional drunkard who doesn’t love her back in M…
1109794042710126592,2019-03-24 12:28:13,@ExSecular @RahulGandhi Offo..  i have a choice. Marry a girl who looks as good as madhuri dixit after tons of make… https://t.co/HdeeWrHb1U
1109793817778020352,2019-03-24 12:27:19,RT @seriracha: Madhuri Dixit did not put on a costume weighing over 10kg to perform for a fictional drunkard who doesn’t love her back in M…
1109793762119577601,2019-03-24 12:27:06,RT @seriracha: Madhuri Dixit did not put on a costume weighing over 10kg to perform for a fictional drunkard who doesn’t love her back in M…
1109793628023595008,2019-03-24 12:26:34,RT @bollywood_life: Trending Tunes: Salman Khan's Main Taare and Alia Bhatt-Madhuri Dixit's Ghar More Pardesiya make it to the top this wee…
1109793335244251136,2019-03-24 12:25:24,oh c'mon.  Madhuri Dixit and Aishwarya Rai! https://t.co/xtvQC8bgm9
