id,created_at,text
735868912915488768,2016-05-26 16:23:15,"RT @VarunDvnDomain: [News]
Varun Dhawan got nominated for best Actor.
#IIFA2016 
https://t.co/MvEBfIjJE9"
735867477448593408,2016-05-26 16:17:33,RT @DeepikaDailyFC: Vote For @DeepikaPadukone as Mastani For IIFA 2016 AWARDS as Best Actress in a Leading Role https://t.co/rcAT0woKj9 htt…
735866860093231104,2016-05-26 16:15:05,"#Mastani

?? https://t.co/QGnDS3wpjS"
735866473718112256,2016-05-26 16:13:33,"Vote for @deepikapadukone as best leading actress for 'PIKU' or 'BAJIRAO MASTANI' for #IIFA2016 here! 👇🏾👇🏾
https://t.co/KuO5qSc5Za"
735866181937045505,2016-05-26 16:12:24,Bajirao Mastani on &amp;TV...find more details here... https://t.co/8hlLDGFfbM https://t.co/MSrUmYiCKL
735865362542125056,2016-05-26 16:09:08,RT @mystery0725: IIFA 2016 Nominations: @BeingSalmanKhan’s  #BajrangiBhaijaan and Bajirao Mastani lead the nominations race!|| https://t.co…
735865021142441985,2016-05-26 16:07:47,Bajirao Mastani on &amp;TV...find more details here... https://t.co/Ko5YiH65Nb https://t.co/cnWIQ31OwS
735864603813384192,2016-05-26 16:06:07,Bajirao Mastani on &amp;TV...find more details here... https://t.co/N8aZK1T0UJ https://t.co/z5GuaoKSd7
735863425847332864,2016-05-26 16:01:27,@RadioMirchi @iHrithik @RanveerOfficial  Both are my favourite... I like Jodha Akbar and Bajirao Mastani both....
735863271400448001,2016-05-26 16:00:50,Bajirao Mastani on &amp;TV...find more details here... https://t.co/6eGbJxynh8 https://t.co/zkRs1ZIqxz
735862132919537666,2016-05-26 15:56:18,Bajirao Mastani on &amp;TV...find more details here... https://t.co/QhmyqG850m https://t.co/ZM0HmQfZYr
735861812294520837,2016-05-26 15:55:02,"NW 
Bajirao Mastani"
735861542596448256,2016-05-26 15:53:58,Bajirao Mastani on &amp;TV...find more details here... https://t.co/HiLgcVucIP https://t.co/YX1fxUDA33
735861174047100928,2016-05-26 15:52:30,RT @PRINCESSdeeps86: bajirao mastani https://t.co/1fqS9FKDxB
735861049992220672,2016-05-26 15:52:00,Bajirao Mastani on &amp;TV...find more details here... https://t.co/aKl6VRFvgC https://t.co/O1tfhuiJE9
735860855850426369,2016-05-26 15:51:14,Bajirao Mastani on &amp;TV...find more details here... https://t.co/lAvM24xME2 https://t.co/JGZNAEUrg7
735860725512470528,2016-05-26 15:50:43,Bajirao Mastani on &amp;TV...find more details here... https://t.co/a78mxospB7 https://t.co/nUUAGZqwkS
