id,created_at,text
739307972522737664,2016-06-05 04:08:50,"nice capture from Okta Maulana with Xiaomi Mi4i..

#indonesia #candi #Malang #tumpang #xiaomi #mi4i… [pic] — https://t.co/09vZFxn0iK"
739307729370517504,2016-06-05 04:07:53,Testing Cameron Xiaomi Mi4i Kece Banget!!! #Xiaomi https://t.co/nbeslPMdvS
739307244693639168,2016-06-05 04:05:57,RT @GiveawayTricks: Tomorrow we will announce the winner for the Samsung Galaxy A7 2016 and also we will open new contest for the Mi4i. Pea…
739301348081074176,2016-06-05 03:42:31,#BanjarBanar #banjarmasinbungas #MI4I #PetapaKurakura https://t.co/mvfFNSqikv
739299503295987713,2016-06-05 03:35:11,"Hasil photo mi4i,pemandangan pagi berkabut depan rumah Mojokerto https://t.co/KFSU6xjgx5"
739286659045302273,2016-06-05 02:44:09,RT @GiveawayTricks: Tomorrow we will announce the winner for the Samsung Galaxy A7 2016 and also we will open new contest for the Mi4i. Pea…
739283420098924545,2016-06-05 02:31:17,"@UnicomMiSC min hp mi4i sya mati knp yah, smlem hbis ganti tema dr downloadan mi thema nya. Pas td buka medsos not respon lalu mati total"
739273248064430080,2016-06-05 01:50:52,@xiaomiindonesia pagi min.. Mau nanya kl mi4i bisa pake kartu smartfren ga ? Thx.
739269121120960512,2016-06-05 01:34:28,RT @GiveawayTricks: Tomorrow we will announce the winner for the Samsung Galaxy A7 2016 and also we will open new contest for the Mi4i. Pea…
739267042084159488,2016-06-05 01:26:12,@xiaomiindonesia mi4i luar biasa #JagonyaFoto https://t.co/cmzdEE0UOD
739266009182273536,2016-06-05 01:22:06,#morning #potret #natural #alam #laut #sea #mi4i #wekaholiday #wekatriptokalimantan - satai… https://t.co/2nB52UJMvi
739264509223702528,2016-06-05 01:16:08,RT @GiveawayTricks: Tomorrow we will announce the winner for the Samsung Galaxy A7 2016 and also we will open new contest for the Mi4i. Pea…
739262525628260352,2016-06-05 01:08:15,Min ada tutorial buat flashing Mi4i ? @xiaomiindonesia
739257306823561216,2016-06-05 00:47:31,kudet... kayaknya #xiaomi #mi4i gak dapet #MIUI8 nih... MIUI7 aja cuma di V7.3.1.0. Dev ROM-nya masih 6.5.12 (MIUI7) yg lain dapat 6.5.26
739253765950214145,2016-06-05 00:33:27,RT @GiveawayTricks: Tomorrow we will announce the winner for the Samsung Galaxy A7 2016 and also we will open new contest for the Mi4i. Pea…
