id,created_at,text
1109777449707962369,2019-03-24 11:22:17,"RT @BJP4Assam: 2017- India overtook USA in mobile manufacturing.
2018- India beats Germany in auto manufacturing.
2019- India replaces Japa…"
1109777246267404288,2019-03-24 11:21:28,"@DoT_India @PMOIndia @TRAI_OHD @TRAI receiving calls from these two numbers continuously.
Are they trying to hack m… https://t.co/FSxFujig4i"
1109777193264123904,2019-03-24 11:21:16,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109777055825227782,2019-03-24 11:20:43,"RT @prakashghai: Pipe and Lines
- Black and White Minimal Art Photography, captured with Samsung .@SamsungMobile Galaxy S6 Mobile Phone at…"
1109776604547477505,2019-03-24 11:18:55,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109776364058656770,2019-03-24 11:17:58,"Pipe and Lines
- Black and White Minimal Art Photography, captured with Samsung .@SamsungMobile Galaxy S6 Mobile Ph… https://t.co/QBrrJ2994y"
1109776211184541697,2019-03-24 11:17:22,"RT @RaghupathiBhat: In 2017, India overtook USA in Mobile manufacturing

In 2018, India beat Germany in auto manufacturing

In 2019, India…"
1109776112161177600,2019-03-24 11:16:58,"RT @vinayknl61: #WhyModiAgain 
India moving towards leading manufacturer of automobiles and mobile phones.
@narendramodi #TeamModi https://…"
1109775976496455680,2019-03-24 11:16:26,"RT @SwarajyaMag: Under the plan, SD content on Netflix will be available on users’ smartphones for Rs 250 per month.

https://t.co/8FiTt7xk…"
1109774803475390465,2019-03-24 11:11:46,"RT @Omkar_Raii: Rising internet connectivity, advancement in technology and cheap mobile data in India have revved up the growth of online…"
1109774621400690688,2019-03-24 11:11:03,"RT @Omkar_Raii: Rising internet connectivity, advancement in technology and cheap mobile data in India have revved up the growth of online…"
