id,created_at,text
1109777193264123904,2019-03-24 11:21:16,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109776604547477505,2019-03-24 11:18:55,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109773424258252800,2019-03-24 11:06:17,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109772202918981632,2019-03-24 11:01:26,They have a hope to naya Pakistan to make some network facilities there..Poor internet poor Mobile service there..i… https://t.co/xlA7AimNVK
1109772001458221056,2019-03-24 11:00:38,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109771743206371330,2019-03-24 10:59:36,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109771504772939776,2019-03-24 10:58:39,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109770921072427010,2019-03-24 10:56:20,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109769603947757568,2019-03-24 10:51:06,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109768964010401792,2019-03-24 10:48:34,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109767693991927808,2019-03-24 10:43:31,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109766478730063878,2019-03-24 10:38:41,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109766268649910275,2019-03-24 10:37:51,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109765939275448320,2019-03-24 10:36:33,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109765478950461440,2019-03-24 10:34:43,"The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2… https://t.co/P1FLyCmOK2"
1109763011156340736,2019-03-24 10:24:54,"Watch Live IPL 2019 
on your smartphone or mobile, free live Streaming. 
Please rate,review app and share the app t… https://t.co/fwuIRoOuyY"
1109762979245912065,2019-03-24 10:24:47,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109761745382461440,2019-03-24 10:19:53,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109761617468841984,2019-03-24 10:19:22,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109761178509762565,2019-03-24 10:17:37,"Watch Live pak vs AUS 2019 2nd ODI
on your smartphone or mobile, free live Streaming. 
Please rate,review app and s… https://t.co/kFKWfZBNxh"
1109761088164429824,2019-03-24 10:17:16,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109759678878310400,2019-03-24 10:11:40,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109759628789710848,2019-03-24 10:11:28,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109758424043130881,2019-03-24 10:06:41,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109756740478873600,2019-03-24 09:59:59,"RT @AjayKushwaha_: Thanks to #Jio! world's cheapest Mobile data rates in India:Study

The average cost of 1GB of mobile data, 2019.

🇮🇳Indi…"
1109755452579971073,2019-03-24 09:54:52,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109755085674823680,2019-03-24 09:53:25,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
1109754851120939008,2019-03-24 09:52:29,"RT @spectatorindex: The average cost of 1GB of mobile data, 2019.

India: $0.2
Russia: $0.9
Malaysia: $1.1
Pakistan: $1.8
Nigeria: $2.2
Bra…"
