id,created_at,text
1132554382023614465,2019-05-26 07:49:41,China Keen In Working With Modi And Improve Ties https://t.co/IzsVWYbloM
1132554378328530944,2019-05-26 07:49:40,"Beware of ""chapas"" and ""dikhas"": PM Modi MPs
https://t.co/qME1h78rCs via NaMo App https://t.co/GuZ3EnZ1mA"
1132554375115632641,2019-05-26 07:49:39,"@waglenikhil Yes you are absplutely right this is not Gandhiji's India, this is Savarkar's Abhinav Bharat who gave… https://t.co/O4MyOFMVkB"
1132554374146711553,2019-05-26 07:49:39,"RT @sagarikaghose: Modi Won Power, Not the Battle of Ideas, writes Nobel Laureate Amartya Sen https://t.co/aPYvMjNA4U"
1132554366299168768,2019-05-26 07:49:37,"@Imamofpeace You won't beleive how anti Modi Muslims are terming and segregating these Muslims as ""Shia Muslims"". I… https://t.co/Mjn8AP0VzA"
1132554365686960128,2019-05-26 07:49:37,"RT @manakgupta: Errrrr...!!! Weren’t you claiming Modi is losing badly, meaning India had changed? Now you say India hasn’t changed. You ch…"
1132554364504068096,2019-05-26 07:49:36,RT @IbnKhayyam: This passage in Pankaj Mishra's latest article for @nytimes is the most accurate and damning indictment of today's India.…
1132554363858087936,2019-05-26 07:49:36,"Parents in UP name kid born on May 23 Narendra Modi, mother Menaj Begum is happy
https://t.co/NFwZ0vft3A via NaMo A… https://t.co/3exsfVp3WL"
1132554362729852928,2019-05-26 07:49:36,"RT @monikahalan: Ye dil mannage more, says India to the Modi government
3 stories of governance, opportunity &amp; dignity have make the India…"
1132554342068760576,2019-05-26 07:49:31,RT @TimesNow: YSRCP chief @ysjagan met PM @narendramodi on Sunday. He is expected to raise the issue of special status for Andhra Pradesh d…
1132554338554044418,2019-05-26 07:49:30,"RT @cjwerleman: A mere 24 hours after Modi's Hindutva fascist government retains and expands power in India's election, an extremist mob ly…"
1132554330370785281,2019-05-26 07:49:28,"Watch: PM Modi bows down before Constitution of India at NDA parliamentary meet
https://t.co/pTk7essd1M via NaMo App https://t.co/F3trtAkxfY"
1132554327871053824,2019-05-26 07:49:28,"RT @AskAnshul: Since Election result on 23 May, some so called Intellectuals have started tweeting &amp; creating narrative that Modi's return…"
1132554323739594753,2019-05-26 07:49:27,"RT @t_d_h_nair: The India that Modi has made was nvr more accurately summed up than both in the demonstrations last yr,led by women&amp;the jus…"
1132554313199476737,2019-05-26 07:49:24,"RT @rahulroushan: Amit Shah, Yogi Adityanath, or any other next to Modi BJP leader should be worried. Liberals have become fulltime PR mach…"
1132554298762715136,2019-05-26 07:49:21,"RT @AskAnshul: Since Election result on 23 May, some so called Intellectuals have started tweeting &amp; creating narrative that Modi's return…"
1132554295444889600,2019-05-26 07:49:20,"RT @waglenikhil: India was always communal, racist and polarised. Modi’s huge victory has once again underlined it!"
1132554280018292736,2019-05-26 07:49:16,India's Modi Crushes His Opposition. https://t.co/Y3YWO3dv1a
1132554268198576128,2019-05-26 07:49:14,"@waglenikhil You want Gandhi ji's India, that means you follow Mahatma Gandhi's ideology. 

So why do you have so m… https://t.co/tiMCvdq0F6"
1132554265648484352,2019-05-26 07:49:13,"RT @imMAK02: Hindutva terrorism continue in Modi's New India 2.0 . 

A guy Shubham Singh (close to Terror accused Sadhvi Pragya) and his he…"
1132554265006825472,2019-05-26 07:49:13,RT @ttindia: We are told repeatedly that India has changed and that the secular ideology of the Congress party and of India’s great leaders…
1132554261861036032,2019-05-26 07:49:12,RT @Abhina_Prakash: This ‘Idea of India’ gang couldn’t even defeat Giriraj Singh after putting in their maximum effort and they talk about…
1132554257293631488,2019-05-26 07:49:11,"RT @KhaledBeydoun: India's 210 Million Muslims are all vulnerable in Modi's India:

- Lynchings of Muslims by Hindu nationalists are rising…"
1132554255330631682,2019-05-26 07:49:10,RT @globaltimesnews: Modi all set to take oath as India's PM for 2nd term https://t.co/Rv0iVDUnxQ https://t.co/PK0T5nodiO
1132554254219038720,2019-05-26 07:49:10,RT @AnaMyID: Modi is a modern day Asura. He has grown too powerful to be kept in check for his earthly opponents. Only God can save India n…
1132554244052013057,2019-05-26 07:49:08,RT @Chellaney: Modi has reduced corruption and cut the proverbial red tape by streamlining regulations and reining in the bureaucracy. His…
1132554226578677761,2019-05-26 07:49:04,@sudhirchaudhary Dear surrogate spokesperson of modi..you will make Fuhrer culture return to india
1132554223780950016,2019-05-26 07:49:03,"RT @dhume: .⁦@NaghmaSahar⁩: The BJP did not win because of the Congress Party’s blunders. It won because the BJP’s idea of a powerful, expl…"
1132554208706613248,2019-05-26 07:48:59,"RT @TVMohandasPai: Opinion | Modi Won Power, Not the Battle of Ideas - The New York Times. The Ancien regime of Power Brokers,leftists, app…"
1132554185801551872,2019-05-26 07:48:54,"Beware of ""chapas"" and ""dikhas"": PM Modi MPs
https://t.co/f3aoN24v4F via NaMo App https://t.co/7mQ6h6Z1We"
1132554185621295104,2019-05-26 07:48:54,"RT @KhaledBeydoun: India's 210 Million Muslims are all vulnerable in Modi's India:

- Lynchings of Muslims by Hindu nationalists are rising…"
1132554174179078145,2019-05-26 07:48:51,"RT @AskAnshul: Since Election result on 23 May, some so called Intellectuals have started tweeting &amp; creating narrative that Modi's return…"
1132554168797999110,2019-05-26 07:48:50,@ashoswai Snakes 🐍 these Indians are who support the terrorist modi and his terrorist party who have 20% criminals… https://t.co/pAYB3slOhH
1132554164041605120,2019-05-26 07:48:49,"RT @KhaledBeydoun: India's 210 Million Muslims are all vulnerable in Modi's India:

- Lynchings of Muslims by Hindu nationalists are rising…"
1132554154499485696,2019-05-26 07:48:46,"RT @IlhanMN: PM Modi's rule in India has corresponded with the spread of violent Hindu nationalism and hate crimes against Muslims.

The Un…"
1132554144026439680,2019-05-26 07:48:44,"RT @waglenikhil: India was always communal, racist and polarised. Modi’s huge victory has once again underlined it!"
1132554134253473793,2019-05-26 07:48:42,"RT @YRDeshmukh: More the liberals accuse ""Not my India"" the more they expose their own bias. This ""Me Vs Them"" narrative is less peddled by…"
