id,created_at,text
737532125038026752,2016-05-31 06:32:15,"RT @Shaelesh: Has #Kejri come out in defense of his ""JAMAI"" Vadra's bungalow in UK?
He must slam it as #Modi witch-hunting like all Congis…"
737532014102876160,2016-05-31 06:31:49,Narendra Modi: BBC cartoonist looks at India PM's two years in power - https://t.co/NYcRJ6NMUY
737530514895077376,2016-05-31 06:25:52,RT Paknewdelhi: PM Nawaz Sharif telephoned  PM Modi &amp;expressed gratitude for Indian PM's best wishes for his upcoming operation and speedy …
737529716047937537,2016-05-31 06:22:41,"Pakistan PM Nawaz Sharif to Undergo open-heart surgery in UK Today.
@hennrygayle and modi wishes him speedy recovery"
737528914994561024,2016-05-31 06:19:30,"RT @Shaelesh: Has #Kejri come out in defense of his ""JAMAI"" Vadra's bungalow in UK?
He must slam it as #Modi witch-hunting like all Congis…"
737528860556681220,2016-05-31 06:19:17,"RT @djohniyc: Governments Achievement in 2yrs !

Modi regime celebrates RSS coming out of the electoral closet. 

https://t.co/2TLfbR4Z3p"
737523550030991360,2016-05-31 05:58:11,"Has #Kejri come out in defense of his ""JAMAI"" Vadra's bungalow in UK?
He must slam it as #Modi witch-hunting like all Congis are cackling!"
737518630938632192,2016-05-31 05:38:38,#Modi went UK to bring stolen money back to #India #PMNawaz should follow his steps.
737514049970143232,2016-05-31 05:20:26,"""Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery"" https://t.co/3cluODVYKc"
737513053239967745,2016-05-31 05:16:28,RT @kk0000000000: Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA via @ReutersUK With #ZakiaJafri
737511661557272577,2016-05-31 05:10:57,RT @Venustucad: #Indian state #elections give #Modi a boost – but the country is fracturing - Institute of Asia and Pacific Studies https:/…
737511117379903489,2016-05-31 05:08:47,RT @kk0000000000: Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA via @ReutersUK With #ZakiaJafri
737510805692809218,2016-05-31 05:07:33,#Indian state #elections give #Modi a boost – but the country is fracturing - Institute of Asia and Pacific Studies https://t.co/2QsLXd58rh
737508141475102720,2016-05-31 04:56:57,"@ShivVisvanathan on ""facade of celebration of India's most mediocre regime"", &amp; why ""Modi is a non-negotiable entity"" https://t.co/KzYu4ljjNy"
737507899367260160,2016-05-31 04:56:00,RT @kk0000000000: Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA via @ReutersUK With #ZakiaJafri
737506222589386752,2016-05-31 04:49:20,RT @kk0000000000: Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA via @ReutersUK With #ZakiaJafri
737503194004086785,2016-05-31 04:37:18,#Modi has distorted the #politics of #culture https://t.co/3IBRcqYnrT
737502149639163905,2016-05-31 04:33:09,RT @ZeeNews: Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery https://t.co/A0JQpBw6Zi
737499080784388097,2016-05-31 04:20:57,RT @ZeeNews: Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery https://t.co/A0JQpBw6Zi
737499008659165185,2016-05-31 04:20:40,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery https://t.co/fbbCqNOHrr
737498983572983809,2016-05-31 04:20:34,RT @ZeeNews: Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery https://t.co/A0JQpBw6Zi
737498850785513477,2016-05-31 04:20:02,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery https://t.co/A0JQpBw6Zi
737496550088179714,2016-05-31 04:10:54,Indian widow fights Modi in SC battle over deadly riots https://t.co/D7PwsJbqdA https://t.co/D7PwsJbqdA #ZakiaJafri
737494206768242688,2016-05-31 04:01:35,"Indian widow fights Modi in SC battle over deadly riots https://t.co/D7PwsJbqdA Demolish capitalism, which breeds riots! #ZakiaJafri"
737493490863472645,2016-05-31 03:58:44,RT @kk0000000000: Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA via @ReutersUK With #ZakiaJafri
737493200932241408,2016-05-31 03:57:35,RT @kk0000000000: Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA With #Zakia Jafri!
737492789437435906,2016-05-31 03:55:57,Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA via @ReutersUK With #ZakiaJafri
737492315049074688,2016-05-31 03:54:04,RT @kk0000000000: Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA With #Zakia Jafri!
737492191162077184,2016-05-31 03:53:34,RT @kk0000000000: Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA With #Zakia Jafri!
737491486476902400,2016-05-31 03:50:46,Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA With #Zakia Jafri!
737489180821852160,2016-05-31 03:41:37,@FekuBuster @priyankac19 @tehseenp @sagarikaghose @BDUTT @digvijaya_28 Sarkar Modi Ki Ghotale Congress Ke😂😂😂😂 https://t.co/9Wq3kIn1fR
737486471045648384,2016-05-31 03:30:51,&gt;&gt; Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him spe... https://t.co/24ckksK6uq #rochdale #halifax
737484669357162502,2016-05-31 03:23:41,"Minimum three investigations had held MODI GUILTI in 2002 
riots. Even then as usual these 100% liars shamelessly... https://t.co/46sVOGOZ3W"
737484388649209856,2016-05-31 03:22:34,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/cq2XQjhEWi
737484345099751424,2016-05-31 03:22:24,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/1JoOcVfg2X
737484340146241536,2016-05-31 03:22:23,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/AUIFMvc1t1
737484334421016576,2016-05-31 03:22:21,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/6CzmYGuCpc
737484326523146240,2016-05-31 03:22:19,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/uXLjmZ6cmc
737484320391077888,2016-05-31 03:22:18,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/Io4YPhfQTV
737484315156566016,2016-05-31 03:22:17,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/AbkIqMjKPt
737484313067806720,2016-05-31 03:22:16,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/7yNWcKfjL8
737484313042681859,2016-05-31 03:22:16,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/8MuM4E4j6f
737484300153540608,2016-05-31 03:22:13,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/iy5ZXWQwbt
737484288602472448,2016-05-31 03:22:10,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/KUJrum5iOR
737484283548295169,2016-05-31 03:22:09,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/RqTxJtqev1
737484278557085696,2016-05-31 03:22:08,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/dejdurnFAb
737484273632968704,2016-05-31 03:22:07,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/1QON8ZFRNo
737483780823212032,2016-05-31 03:20:09,Indian widow fights Modi in 'final' court battle over deadly riots https://t.co/D7PwsJbqdA Support #ZakiaJafri Murderers killed #JLPB
737482107333808129,2016-05-31 03:13:30,"@thetanmay loved sachin &amp; lata video,now make one on thackeray,modi&amp;shiv sena &amp; you will easily claim refugee in any rich country ex. US,UK"
737481543925567488,2016-05-31 03:11:16,"@saadzia123 
HOSPITAL BAN JATA

TO SAZISHE LOTMAR DAKA CHORI
KA PESA
NRO
COD
MODI BAPO KO FON FOJ PR BAKWAS YALGHAR
BEMARI K BAHANY
KESY
UK?"
737480115576152065,2016-05-31 03:05:35,"RT @Mogambo_: https://t.co/Wx0ESKaatB
#NoCountryFor Justice"
737479993320701956,2016-05-31 03:05:06,"https://t.co/Wx0ESKaatB
#NoCountryFor Justice"
737479115390001152,2016-05-31 03:01:37,I-T probe into arms dealer unearths 'Vadra home' in UK -JAI-ITALY /+MODI PROTECTING GANDI FAMILY  https://t.co/cCB1A5LsXs via @timesofindia
737477608829554688,2016-05-31 02:55:38,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery  https://t.co/IXAiJaJm6m  #Elections #…
737477281384304650,2016-05-31 02:54:20,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/gLF00ZZ7Xb
737477257187336192,2016-05-31 02:54:14,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/G5yOOpUjkh
737477254691749892,2016-05-31 02:54:13,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/O59hEoSiXv
737477252833640448,2016-05-31 02:54:13,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/8NdaZKiOc6
737477250954596352,2016-05-31 02:54:12,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/PjOPvhCmdA
737477248928735232,2016-05-31 02:54:12,Pakistan PM Nawaz Sharif to undergo open-heart surgery in UK today; Modi wishes him speedy recovery: Pakistan... https://t.co/FtoIm4ShjG
