id,created_at,text
739345314142769152,2016-06-05 06:37:13,"RT @LillyMaryPinto: One Congress wrote letters and signed petitions to stop Modi from visiting USA, while another is inviting him 
https://…"
739343160774533120,2016-06-05 06:28:40,"RT @LillyMaryPinto: One Congress wrote letters and signed petitions to stop Modi from visiting USA, while another is inviting him 
https://…"
739342932763807744,2016-06-05 06:27:46,"One Congress wrote letters and signed petitions to stop Modi from visiting USA, while another is inviting him 
https://t.co/IaxvcsoIpT"
739342199414890496,2016-06-05 06:24:51,PAKISTANI MEDIA Narendra Modi GOING TO USA THERE HE Will Address US CONGRESS!! https://t.co/fqcyrSOWLv
739341537822314496,2016-06-05 06:22:13,"RT @shailendrat: #AAPTARDS barking over #Modi is like Iraq threatening #USA 
When you try spitting on the sky it falls back on you

 #Psych…"
739341144207818753,2016-06-05 06:20:39,"RT @Ra_THORe: PM Modi to interact with Indian workers at the Workers Camp, would also reach out to Indian community
https://t.co/L3o7LoMon1…"
739338138250817536,2016-06-05 06:08:43,"One Congress wrote letters and signed petitions to stop Modi from visiting USA, while another Congress is... https://t.co/QHnF1LwN16"
739333927257706496,2016-06-05 05:51:59,RT @navinkhaitan: What concrete agenda is there on the Modi - Obama meet this week? Except that its a farewell party by the Outgoing USA Pr…
739333892268756992,2016-06-05 05:51:50,"RT @navinkhaitan: MMS visited USA only twice in 10yrs.
Modi already visiting USA for the 3rd time, would be meeting Obama for the 7th time,…"
739333686496137216,2016-06-05 05:51:01,"RT @shailendrat: #AAPTARDS barking over #Modi is like Iraq threatening #USA 
When you try spitting on the sky it falls back on you

 #Psych…"
739333509488226304,2016-06-05 05:50:19,"#AAPTARDS barking over #Modi is like Iraq threatening #USA 
When you try spitting on the sky it falls back on you

 #PsychopathCowardModi"
739321155568467968,2016-06-05 05:01:14,"RT @Ra_THORe: PM Modi to interact with Indian workers at the Workers Camp, would also reach out to Indian community
https://t.co/L3o7LoMon1…"
739317945143169024,2016-06-05 04:48:28,S if nt rongexHindu ed n now wid Thapar TunkuVRajan in Modi hatao job put it in Cold Storage Hes also USA WAPSI https://t.co/s46pGexVY8
739307755719118849,2016-06-05 04:07:59,"5 India Must-Reads As Modi Heads To USA, GDP Surges... https://t.co/QSdQbLdy9e https://t.co/u90AF5A9iH"
739303726414848003,2016-06-05 03:51:58,@rammadhavbjp it would be bad time for modi in USA.because most of d international media cover news about mohammad ali.
739302492152991744,2016-06-05 03:47:04,"RT @SwachhPolitics: 😂😂😂😂😂😂😂 America Pareshan, thinking of ordering Modi ji  for Indian fridges for USA https://t.co/WV1YrFIfnS"
739298610001510401,2016-06-05 03:31:38,"Retweeted Narendra Modi (@narendramodi):

My visit to USA is aimed at building upon the progress achieved in... https://t.co/mQYRJN71We"
739293813135396864,2016-06-05 03:12:35,"5 India Must-Reads As Modi Heads To USA, GDP Surges... https://t.co/ae1ahkaZxu https://t.co/laBcKXaKJ4"
739290325970124800,2016-06-05 02:58:43,"5 India Must-Reads As Modi Heads To USA, GDP Surges... https://t.co/OoRZGZ5CzI https://t.co/9Qlm6k20rc"
739290100723548160,2016-06-05 02:57:50,@tanvi_madan matlab you have no clue why Modi is going to USA again
739289959589380097,2016-06-05 02:57:16,@ashokepandit Rajdeep is a better boxer than a presstitute proved right on Modi's visit to USA on the streets of America.
739288942181154816,2016-06-05 02:53:13,@sagarikaghose This is what happens when u let individualism &amp; materialism go too far &amp; Modi wants In India like USA - Shameless &amp; Usless PM
739288506523103232,2016-06-05 02:51:29,RT irkjain: #ModiTimes #Pakistan MEDIA - Extreme PANIC even before #MODI REACHED USA Must... https://t.co/HVyIvygEz2
739287617582157824,2016-06-05 02:47:57,"@sagarikaghose Just vikas is not enough,&amp; if Modi feels vikas means when India bcms like USA, then that is actually a misfortune of indians"
739285975499706368,2016-06-05 02:41:26,"RT @irkjain: #ModiTimes
#Pakistan MEDIA - Extreme PANIC even before #MODI REACHED USA 
Must See-https://t.co/I7U2d0lMsV https://t.co/hWOlT0…"
739285267320872960,2016-06-05 02:38:37,"@sagarikaghose Dn't knw abt virtual reality but #USA definitely got #Modi trapped, using him in war dt harbors lose-lose scenario for #India"
739280881647505409,2016-06-05 02:21:12,"RT @irkjain: #ModiTimes
#Pakistan MEDIA - Extreme PANIC even before #MODI REACHED USA 
Must See-https://t.co/I7U2d0lMsV https://t.co/hWOlT0…"
