id,created_at,text
736442156370497536,2016-05-28 06:21:07,Narender Bhai modi
736439568400977920,2016-05-28 06:10:50,Narender Modi Jo Kachchhe Churata Hai Vo Salman Khan Apne Face Pe Pehnta Hai. Maybe That Is The Reason He Is Free To Kill People On Road.
736423245121884160,2016-05-28 05:05:58,Aakhir kya vajah h jo shri narender modi ka itna virodh ho raha h
736411291384877056,2016-05-28 04:18:28,"Thanks to all followers, &amp; kindly support to Hon'bl Respected Prime minister Sh Narender Modi for  development in BHARAT ........."
736384269879152642,2016-05-28 02:31:05,"India Ka Durbhagya Hai Narender Modi PM Bna. Anyways, Thank God, #King Nhi Bna."
736375760227696640,2016-05-28 01:57:17,"Some of your currept  minister are subahs sudha , vishal sharma,sp  , dc. Sir narender modi I am not complaining your govt. but you cancheck"
736375033883332609,2016-05-28 01:54:23,Can any one tell to sir narender modi that 2year has been completed but curreption has not decrease in haryana KKR as some of your minister
736266371038892033,2016-05-27 18:42:36,"hip hip hurray...#SRH won the match...
ASAD BHAI beat NARENDER MODI.hahahahaah"
736240387921059840,2016-05-27 16:59:21,RT @skg2354: @ANI_news These self acclaimed jokers of secularism are no where near wisdom and comittmant of Narender Modi. They eat vote ba…
736238180454830080,2016-05-27 16:50:35,@ANI_news These self acclaimed jokers of secularism are no where near wisdom and comittmant of Narender Modi. They eat vote bank flesh only
736193017888026624,2016-05-27 13:51:07,@narendramodi shri narender modi ji.कृपया दस रुपये के सिक्के बंद कर दे।न तो यह बैंक वाले लेते है और न ही पेट्रोल पंप वाले।
736188329876684800,2016-05-27 13:32:30,"Who is Narender Modi? 
NM was a Tea boy.
What is his other name?
Narender Modi is also known as Donkeynamo Owlmodi.
Why ?
Coz, NAMO is Idiot"
736158141214134272,2016-05-27 11:32:32,@SwachhBharatGov  narender modi g kya aap is kam k liye financial help b karte ho..
736155191028776960,2016-05-27 11:20:49,"My heartiest congratulation to Narender Modi Govt.on  completion of two years without allegation of corruption, effective curb on inflation."
736154427330007040,2016-05-27 11:17:47,@QuintHindi @ArvindKejriwal @narendramodi haan bhai bichitra prani Narender Modi ne tuhaari bhens khol li hai jo uthte baithte  Narender Mod
736143186700193792,2016-05-27 10:33:07,Punjab is poised to be the first state in the country to realize Narender Modi’s dream of ‘Skill India’ and ‘Make in India’#DevelopingPunjab
736132697689559040,2016-05-27 09:51:26,@news24tvchannel narender modi is suitable face for cm
736120633206157312,2016-05-27 09:03:30,"Aakar Patel on Narender Modi : But it is only just and fair that this leeway be given to a man who, whatever else … https://t.co/uZ6e8ahIh0"
736108755415359492,2016-05-27 08:16:18,NARENDER MODI JI KO JANAM DIN KI SUBHKAMANAI https://t.co/fHDZghHch6
