id,created_at,text
739312874414342144,2016-06-05 04:28:19,RT @Deep498: pls explain if laws are gender neutral and equal why there is only provision/need of maintainance from husband to wife #Femini…
739312837806456832,2016-06-05 04:28:10,RT @CSMTCB: Good Neutral Vid! https://t.co/sZy6762hM1
739312816679587840,2016-06-05 04:28:05,RT @dril: just doing some nude sunbathing in this gender neutral target restroom. i hope i dont get my dick sucked
739312769028227072,2016-06-05 04:27:54,RT @2010MisterChip: BRA 0-0 ECU (1') - Brasil y Ecuador se han enfrentado 12 veces en campo neutral con 11 victorias para la canarinha y 1…
739312759322513413,2016-06-05 04:27:52,RT @fredbenenson: News Flash: no algorithm is neutral. Anything built by humans using human data has human biases which will be amplified a…
739312601889263617,2016-06-05 04:27:14,they changed the Canadian national anthem to gender neutral only a matter of time til its The Morning by The Weeknd
739312592791830528,2016-06-05 04:27:12,@neutral_084 @akhmymmt ？？？
739312529416019968,2016-06-05 04:26:57,"RT @hoeviews: Libras are good at:
- staying neutral/not always picking sides
- sniffing out bullshit
- being fashionable (many are quite st…"
739312429662801920,2016-06-05 04:26:33,RT @FrustIndian: 'Neutral journalist' is an oxymoron https://t.co/aRoyzmOLWT
739312372024791040,2016-06-05 04:26:19,"Saturday night open ended poll:
What are your fave gender neutral terms for ur friends &amp; lovers? 🤔😊"
739312370443386880,2016-06-05 04:26:19,"#nowplaying: ""A dream of puppeteers"" by 藤谷尚希 on 夢見桜 Disc2 via #foobar2000 https://t.co/B1k9sorcyS"
739312332094865408,2016-06-05 04:26:10,RT @dril: just doing some nude sunbathing in this gender neutral target restroom. i hope i dont get my dick sucked
739312318140547072,2016-06-05 04:26:07,@grantwhtvr i have no room in my heart for hate. just neutral observations.
739312279250866176,2016-06-05 04:25:57,"RT @YoheiNakamura: ブログ「本日は横浜Baysisにて」
 https://t.co/D319ZUKT0F
さぁ行きますか！THE NEUTRALもいるし、１日楽しみにです！"
739312200234373121,2016-06-05 04:25:38,"RT @digvijayntiwari: Justice @mkatju is no more a neutral blogger/commentator, but now he is the unofficial spokesman of @AamAadmiParty htt…"
739312198145576961,2016-06-05 04:25:38,"RT @Romanticnobita: 【 6月来日! - Dividers (オーストラリア) 】
ニューアルバム""Clockwork""のフル視聴を開始しました!
メロディックフリークスに是非聴いてもらいたいです!

https://t.co/OlL8YYHTHy
https…"
739312115178196993,2016-06-05 04:25:18,"RT @heyitsjhaybee: Lemme look at you 😒
#photography #selfie #photogrid #neutral #instapic #instalike #instafollow… https://t.co/XqRAbMDvu6"
739312076552863744,2016-06-05 04:25:09,"RT @digvijayntiwari: Justice @mkatju is no more a neutral blogger/commentator, but now he is the unofficial spokesman of @AamAadmiParty htt…"
739312000207966208,2016-06-05 04:24:51,RT @FaZe_Rain: @tessier_jordan Just woke up not too long ago so I'm neutral rn 👀 hope you're good bro :)
739311970126573568,2016-06-05 04:24:44,"RT @WhaJoTalkinBout: Me: The kids are going to kill the Guinea pigs if we let them. 
Hubs: I'm neutral."
739311942607769601,2016-06-05 04:24:37,Slim FOTGA 82mm Fader Adjustable Variable Neutral Density ND Filter ND2 to ND400 https://t.co/uHKsOXdktt https://t.co/yvC2RV9rUZ
739311940296712192,2016-06-05 04:24:36,Slim FOTGA 82mm Fader Adjustable Variable Neutral Density ND Filter ND2 to ND400 https://t.co/9alnovaKOo https://t.co/Uxuh4PQKYX
739311926300139521,2016-06-05 04:24:33,RT @alanwhite1000: @realkingrobbo -coming out in support of Cruz doomed Beck- he should have stayed neutral.
739311922433032192,2016-06-05 04:24:32,"@apurposefulwife @jbarro why use the gender neutral ""people"" instead of ""men"" when you make that accusation ..."
739311868582363138,2016-06-05 04:24:19,is the canadian national anthem really being changed to Gender Neutral i thought that was like a clickhole thing
739311816187084800,2016-06-05 04:24:07,"RT @CreditSuisse: Despite the attractive valuation of the Japanese #Equity market, we remain neutral. #AssetAllocation #Japan https://t.co/…"
739311795488358400,2016-06-05 04:24:02,RT @eljorobado: Si algo bueno tuvo esta campaña es que permitió distinguir quién hace análisis neutral y quien tiene bandera (explícita o c…
739311752412860416,2016-06-05 04:23:52,"RT @heyitsjhaybee: Lemme look at you 😒
#photography #selfie #photogrid #neutral #instapic #instalike #instafollow… https://t.co/XqRAbMDvu6"
739311680954322953,2016-06-05 04:23:35,Canada set to make national anthem gender-neutral https://t.co/dkwZZIqP0E
