id,created_at,text
739347609203019777,2016-06-05 06:46:21,"RT @andendall: Gallup Poll: Obama the best leader in the World (USA rebounding from Bush Legacy)
https://t.co/imgvpvUpJL https://t.co/pO5se…"
739347494795108352,2016-06-05 06:45:53,"#WikiLeaks releases audio accusing Obama &amp; Bush administrations of #corruption — #RT USA https://t.co/uTw7yXvCk0 June 05, 2016 at 01:45AM"
739346786612072448,2016-06-05 06:43:04,"World justice court
Rawlpindee me sirf Pakistan FC hogee,insha Allah
Obama Administration
Washington D.C.
USA"
739346033759522816,2016-06-05 06:40:05,"RT @andendall: Gallup Poll: Obama the best leader in the World (USA rebounding from Bush Legacy)
https://t.co/imgvpvUpJL https://t.co/pO5se…"
739345870026604544,2016-06-05 06:39:26,RT @dckolarik: @handley_dix @MikeandDawnNY @POTUS This puke Obama didn't buy a mansion in Dubai (whom does NOT have extradition treaty w/US…
739345799562170368,2016-06-05 06:39:09,RT @dckolarik: @handley_dix @MikeandDawnNY @POTUS This puke Obama didn't buy a mansion in Dubai (whom does NOT have extradition treaty w/US…
739345746735050752,2016-06-05 06:38:57,"World justice court
Badbajht army ke top ten jarnails kaa faisla Swat justice court me hoga.insha Allah
Apna news
Obama Administration
USA"
739345743534784512,2016-06-05 06:38:56,RT @JohnFromCranber: #Obama's Strategy: Downplay The Risk of Islamic Extremism to USA Until It's Too Late to Respond Effectively. #tcot htt…
739345704934625280,2016-06-05 06:38:47,"RT @USA_Gunslinger: Couldn't she at least pretend to give crap? All the Obama's hate the USA, I guess. https://t.co/CPhS7V8FpB"
739345673141817344,2016-06-05 06:38:39,@handley_dix @MikeandDawnNY @POTUS This puke Obama didn't buy a mansion in Dubai (whom does NOT have extradition treaty w/USA) for no reason
739345247881166853,2016-06-05 06:36:58,"RT @andendall: Gallup Poll: Obama the best leader in the World (USA rebounding from Bush Legacy)
https://t.co/imgvpvUpJL https://t.co/pO5se…"
739344700432252928,2016-06-05 06:34:47,"This is how it works with the Clintons
Obama would do it for free of course...  #Treason #USA  https://t.co/S1dzKTAf4m"
739343978328260608,2016-06-05 06:31:55,"RT @andendall: Gallup Poll: Obama the best leader in the World (USA rebounding from Bush Legacy)
https://t.co/imgvpvUpJL https://t.co/pO5se…"
739343867770732545,2016-06-05 06:31:29,"#WikiLeaks releases audio accusing Obama &amp; Bush administrations of #corruption — #RT USA https://t.co/uTw7yXvCk0 June 05, 2016 at 01:31AM"
739343809423761412,2016-06-05 06:31:15,"#WhiteHouse omits another damaging line about #Irandeal from briefingTranscript
#USA #Obama 
https://t.co/i1bnQSvlj1 https://t.co/P9qUlRgs48"
739343690259390464,2016-06-05 06:30:46,RT @NetworksManager: LOOK #Britain folks #Obama #kerry #Clinton #Ryan #Sanders bring #islamist 2 #Christian #USA koran say KILL US.#MAGA ht…
739343456678486016,2016-06-05 06:29:51,Obama Collaborates with Madness https://t.co/mIwMDc18g8 #tcot
739342903445573632,2016-06-05 06:27:39,"RT @andendall: Gallup Poll: Obama the best leader in the World (USA rebounding from Bush Legacy)
https://t.co/imgvpvUpJL https://t.co/pO5se…"
739342557772009473,2016-06-05 06:26:16,RT @jjauthor: Obama's approval ratings are so low- the Kenyans are accusing him of being born in the USA! @greggutfeld #Gutfeld https://t.c…
739342383926509568,2016-06-05 06:25:35,"RT @andendall: Gallup Poll: Obama the best leader in the World (USA rebounding from Bush Legacy)
https://t.co/imgvpvUpJL https://t.co/pO5se…"
739341331428954112,2016-06-05 06:21:24,"RT @andendall: Gallup Poll: Obama the best leader in the World (USA rebounding from Bush Legacy)
https://t.co/imgvpvUpJL https://t.co/pO5se…"
739341323149271040,2016-06-05 06:21:22,RT @AhmadiyyaTimes: USA: President Obama released a powerful statement on Muhammad Ali's death https://t.co/WwHuVOqoTj Pls RT https://t.co/…
739340999177031680,2016-06-05 06:20:05,RT @ObamaScrewsPigs: @WhiteGenocideTM @DebAlwaystrump @realDonaldTrump Obama is a radical racist Muslim President who hates the USA and nee…
739340794428022785,2016-06-05 06:19:16,"https://t.co/8eOx6c9nlj, Obama described the call to prayer as “one of the prettiest sounds on Earth at sunset.”"
739339974202527744,2016-06-05 06:16:00,"RT @andendall: Gallup Poll: Obama the best leader in the World (USA rebounding from Bush Legacy)
https://t.co/imgvpvUpJL https://t.co/pO5se…"
739339967839805440,2016-06-05 06:15:59,"#WikiLeaks releases audio accusing Obama &amp; Bush administrations of #corruption — #RT USA https://t.co/uTw7yXvCk0 June 05, 2016 at 01:15AM"
