id,created_at,text
739309200031895557,2016-06-05 04:13:43,"@barugaru @nytimes Perhaps new yor times taking funding from ISI to do that? Osama ws found in pak &amp; still india to blame ?

@donacamp"
739151829137690624,2016-06-04 17:48:23,@ZeeNews if america had request to pakistan about osama &amp; mullah mansor than they would have said the same.I dont get why india wastes time.
739142633948319744,2016-06-04 17:11:51,@PotterHeadNK what the fuck.. Osama n respected??? This wasn't expected from u bhai :P
739128702882045953,2016-06-04 16:16:29,@anmol_india i think Most Respected and most famous was OSAMA BIN LADEN ( personel opinion )
739117171389779970,2016-06-04 15:30:40,RT @thesuniljain: Well said Basit saheb! How can you hand over Dawood if he's not in Pakistan -- u didn't know Osama was there either https…
739107989353697280,2016-06-04 14:54:11,"@thesuniljain @Chopsyturvey  tht means if India carries out Osama type op n gets on Dawood, Pak can do F..k- all."
739095209380716544,2016-06-04 14:03:24,Neither did Osama Bin Laden. Only option for India is to get Dawood assassinated like a dog on Karachi streets. https://t.co/DHhZ0Gmm0Z
739075575118061571,2016-06-04 12:45:23,@IndiaToday I think india must do what USA did to kill Osama as this Basit is a great liar &amp; his &amp; Pak Govt  contention should be demolished
738898263714242561,2016-06-04 01:00:48,"¿A dónde quieres viajar? — india , dubai estados unidos https://t.co/uc8O6arrEj"
738750327101509633,2016-06-03 15:12:57,"@realDonaldTrump  in 90's Clinton allowed Pakistan, India and North Korea to get nukes, and Osama Bin Laden to flourish. #dangerous"
738704086686650368,2016-06-03 12:09:13,"RT @Minantony: #MeSacoUnaFotoCon Osama Bin Laden...
Ja ja ja No, no es Osama es un amigo de la India @MananaMaldita https://t.co/lifgXDhpyM"
738703407523999744,2016-06-03 12:06:31,"#MeSacoUnaFotoCon Osama Bin Laden...
Ja ja ja No, no es Osama es un amigo de la India @MananaMaldita https://t.co/lifgXDhpyM"
738446177142771712,2016-06-02 19:04:22,"@Osama_Rabbani THAT HAS EARNED US GOOD WILL IN WORLD COMUNITY $NOW GREATER PRESURE ON INDIA,,"
738195952830283776,2016-06-02 02:30:04,"This survey says Pakistan is more tolerant than India.
https://t.co/esaVmK2vwU https://t.co/1n5OdhU2Jh"
738003279477506049,2016-06-01 13:44:27,"RT @TheQuint: Is Pakistan more tolerant than India? Apparently yes, says a study.
https://t.co/esaVmKk6Vu https://t.co/moQL6soibp"
737996416744853504,2016-06-01 13:17:11,"RT @TheQuint: Is Pakistan more tolerant than India? Apparently yes, says a study.
https://t.co/esaVmKk6Vu https://t.co/moQL6soibp"
737996155540377600,2016-06-01 13:16:09,"Is Pakistan more tolerant than India? Apparently yes, says a study.
https://t.co/esaVmKk6Vu https://t.co/moQL6soibp"
737960683543875584,2016-06-01 10:55:12,.#Internet #digitaltechnology #Children #Tilonia #BarefootCollege #Rajasthan #India #BankarRoy #DEF &lt; via Osama... https://t.co/zCsVoIdlmn
737879929468112898,2016-06-01 05:34:18,RT @aasiyehandrabi: Our goal is islamic khilafah in entire world &amp; merger with Pakistan is 1st stair towards this great cause.so india be r…
737526648946360320,2016-05-31 06:10:30,"RT @Aree___M: #Indianmuslims plz wake up🙏🏼 After 23 years in jail, I am free but what you see now is a living corpse, says Nisar: https://t…"
737290267061952516,2016-05-30 14:31:12,American Police killed osama laden in pakistaan while indian police was unable to catch veerappan in india.. #VeerappanLeadsTheWay
737241767641284608,2016-05-30 11:18:29,@PakSarfrazbugti Long live India-Afghan friendship. Pakistan has been a source of terror. Where was Osama &amp; Taliban leader killed?
737229556948422657,2016-05-30 10:29:58,Can India kill Dawood the same way USA killed Osama Bin Laden?????
737095896438059008,2016-05-30 01:38:50,@SenBobCorker says India put Osama Bin Laden in Abbottabad right next to the Pakistan Army base&amp; introduced legislation to give Pak more aid
736965634282672128,2016-05-29 17:01:14,USA's CIA is now openely exposing ISI on Social media about Osama | Pakistan On India: https://t.co/XEQwJMObDO via @YouTube
736803696244183040,2016-05-29 06:17:44,RT @iflcindia: LIVE on #Periscope: IFLC India representatives showcasing incredible Indian culture at #IFLCGermany program... https://t.co/…
736801527243898880,2016-05-29 06:09:07,"RT @SJha1618: The Pakistanis also know that their trump card against aggression from India is a strong relationship with America.
https://t…"
736756337812480002,2016-05-29 03:09:33,@NzmNzm181818 @IamKrisLondon and? Silence...Because I'm from India I root for Osama Bin Laden? L
736755083312926725,2016-05-29 03:04:34,"@ndtvindia 
forget Atom bomb in1984. Pakistan is not capable of finding USA drone which comes and killed osama.India in 48hrs make ur grave"
736697551534055424,2016-05-28 23:15:58,"RT @SJha1618: The Pakistanis also know that their trump card against aggression from India is a strong relationship with America.
https://t…"
736629459986583552,2016-05-28 18:45:23,"RT @SJha1618: The Pakistanis also know that their trump card against aggression from India is a strong relationship with America.
https://t…"
736620523145175041,2016-05-28 18:09:53,@RGVzoomin @Tutejajoginder @wordpressdotcom thats cause USA killed osama and India kikked veerapan
736611589055340544,2016-05-28 17:34:23,"RT @SJha1618: The Pakistanis also know that their trump card against aggression from India is a strong relationship with America.
https://t…"
736609252924489728,2016-05-28 17:25:06,RT @DailyO_: #Taliban chief #MullahMansour's killing doesn't mean #Pakistan wants peace | @jomalhotra | https://t.co/ow5oyzg8VD
736580901753098240,2016-05-28 15:32:26,"RT @SV99999: Aman ki chutiyagiri

Taliban chief Mullah Mansour's killing doesn't mean Muslim #Pakistan / Jihadi ISI wants peace 

https://t…"
736567653154754561,2016-05-28 14:39:47,"Aman ki chutiyagiri

Taliban chief Mullah Mansour's killing doesn't mean Muslim #Pakistan / Jihadi ISI wants peace 

https://t.co/j75RWCrMMg"
736557292309467136,2016-05-28 13:58:37,"RT @SJha1618: The Pakistanis also know that their trump card against aggression from India is a strong relationship with America.
https://t…"
736540049030807554,2016-05-28 12:50:06,"RT @SJha1618: The Pakistanis also know that their trump card against aggression from India is a strong relationship with America.
https://t…"
736524974371045377,2016-05-28 11:50:12,"RT @PriyancaBajaj: It took 10 years to kill Osama and 20 years to kill Veerappan. 

Veerappan was in India &amp; they knew it. Osama's hideout…"
736524469280243713,2016-05-28 11:48:12,"RT @SJha1618: The Pakistanis also know that their trump card against aggression from India is a strong relationship with America.
https://t…"
736511661897486336,2016-05-28 10:57:18,"The Pakistanis also know that their trump card against aggression from India is a strong relationship with America.
https://t.co/cRyLQP8ZdK"
736497677936922624,2016-05-28 10:01:44,"RT @PriyancaBajaj: It took 10 years to kill Osama and 20 years to kill Veerappan. 

Veerappan was in India &amp; they knew it. Osama's hideout…"
736494404588838912,2016-05-28 09:48:44,"RT @PriyancaBajaj: It took 10 years to kill Osama and 20 years to kill Veerappan. 

Veerappan was in India &amp; they knew it. Osama's hideout…"
736494064854519808,2016-05-28 09:47:23,"It took 10 years to kill Osama and 20 years to kill Veerappan. 

Veerappan was in India &amp; they knew it. Osama's hideout was unknown. So..."
736481001078067200,2016-05-28 08:55:28,@TheEconomist India was all along citing terrorist credentials of Pak. US shd disown Pak after undeniable  sheltering of Osama n Mansour.
736413169506127872,2016-05-28 04:25:56,Taliban chief Mullah Mansour's killing doesn't mean Pakistan wants peace https://t.co/ItIp4iXXqh
736380528606220288,2016-05-28 02:16:13,Taliban chief Mullah Mansour's killing doesn't mean Pakistan wants peace https://t.co/oXmR4yKpVV via @dailyo_
736242987395649536,2016-05-27 17:09:41,"@rajinder_ravi @timesofindia @BJPRajnathSingh 
Osama India ka nhi tha
Aur wo kutta muslims ka leader nhi thaa"
736213134130569216,2016-05-27 15:11:04,"Taliban chief Mullah Mansour's killing doesn't mean Pakistan wants peace: Asad Rahim Khan, writing in the Pak... https://t.co/5gw3aOmI93"
736212251967787009,2016-05-27 15:07:33,RT @DailyO_: #Taliban chief #MullahMansour's killing doesn't mean #Pakistan wants peace | @jomalhotra | https://t.co/ow5oyzg8VD
736209750686326786,2016-05-27 14:57:37,RT @DailyO_: #Taliban chief #MullahMansour's killing doesn't mean #Pakistan wants peace | @jomalhotra | https://t.co/ow5oyzg8VD
736190090138013696,2016-05-27 13:39:29,Taliban chief Mullah Mansour's killing doesn't mean Pakistan wants peace https://t.co/OgDHRY5OGl #India #Pakistan
736181076859707392,2016-05-27 13:03:40,RT DailyO_: #Taliban chief #MullahMansour's killing doesn't mean #Pakistan wants peace | jomalhotra | https://t.co/G0Cdbtlecv
736178985340567552,2016-05-27 12:55:22,RT @DailyO_: #Taliban chief #MullahMansour's killing doesn't mean #Pakistan wants peace | @jomalhotra | https://t.co/ow5oyzg8VD
736178637502713857,2016-05-27 12:53:59,RT @DailyO_: #Taliban chief #MullahMansour's killing doesn't mean #Pakistan wants peace | @jomalhotra | https://t.co/ow5oyzg8VD
736177390011961344,2016-05-27 12:49:01,#Taliban chief #MullahMansour's killing doesn't mean #Pakistan wants peace | @jomalhotra | https://t.co/ow5oyzg8VD
736123728069791745,2016-05-27 09:15:47,ISI is trying to subterfuge India's goodwill in the comity of nations but countries won't believe an org that sheltered Osama Bin Laden.
736082716093865985,2016-05-27 06:32:49,"RT BornChallenger: dear Razarumi we never offended you buddy, we want to go after the right guy https://t.co/OcRWnW7BBL"
736082373012393985,2016-05-27 06:31:28,"RT @BornChallenger: dear @Razarumi we never offended you buddy, we want to go after the right guy https://t.co/Piz25aQuwE"
736081660756660225,2016-05-27 06:28:38,"dear @Razarumi we never offended you buddy, we want to go after the right guy https://t.co/Piz25aQuwE"
