id,created_at,text
739332161233387520,2016-06-05 05:44:58,"One day left and RAMADAN begins 
Get ready for the #30daysFastingStreams 
@bellenfriends @twitchtvhost @TwitchTweetr https://t.co/oQP5lFYdHH"
739331389254864897,2016-06-05 05:41:53,"RT @trutherbotornge: Initially, Osama Bin Laden denied any responsibility or involvement with the 9/11 attacks: https://t.co/XczjjeX1t9"
739331254341013504,2016-06-05 05:41:21,Muhammad Ali got Blacks to believe in their own. Big up me biggest mentor Osama
739331063286239232,2016-06-05 05:40:36,@IsraeliPM QUESTION:WHO WAS THE FAVORITE CAR OF OSAMA BIN LADEN???ANSWER:PORSCHE 911!!!UNDERSTOOD???
739330699581394944,2016-06-05 05:39:09,RT @TheFunnyTeens: when someone u don't wanna see tries to make plans with u https://t.co/Ku65NMhORl
739329916924243968,2016-06-05 05:36:02,"Hey @danawhite we knew Osama was dead before @POTUS announced it.  Maybe you should get over yourself, fuckstick.  @davidbix"
739329667111358464,2016-06-05 05:35:03,"Initially, Osama Bin Laden denied any responsibility or involvement with the 9/11 attacks: https://t.co/XczjjeX1t9"
739328724902936576,2016-06-05 05:31:18,RT @O_rumuh: Sheikh Osama here with a PSA to my fellow Muslims who are fasting Ramadan. BRUSHING YOUR TEETH WONT BREAK YOUR FAST. NEITHER W…
739327552414703616,2016-06-05 05:26:39,"@Afg_Guerrilla Osama wasnt killed in Pakistan, Obama made it up so he could win the Presidential election. He was supposed to b dead in 2003"
739327194892238848,2016-06-05 05:25:13,@xFarnacle what an ankle break 🔥
739326676698419201,2016-06-05 05:23:10,Lrt that's Osama bin laden you're talking about uncultured fks
739326245465247744,2016-06-05 05:21:27,The hijackers were Saudi. 9/11 was an inside job. If it was real anyways Osama was found in Pakeestan. https://t.co/UVL2naMZkX
739325654076821505,2016-06-05 05:19:06,@Cmoneeeyy more like Osama Bae laden
739325473474236421,2016-06-05 05:18:23,Sheikh Osama here with a PSA to my fellow Muslims who are fasting Ramadan. BRUSHING YOUR TEETH WONT BREAK YOUR FAST. NEITHER WILL DEODORANT.
739325124994838529,2016-06-05 05:17:00,I liked a @YouTube video from @alchestbreach https://t.co/Col8Na6x8E Fallout New Vegas Montages: Osama Bin Brahmin
739325055788670980,2016-06-05 05:16:43,Girls who fuck with Xavier wulf or seshwaterhollowboys are life.
739324993461424129,2016-06-05 05:16:29,"RT @wavecaps_: Who's worse , Simba barber or Osama Bin Laden @foreign_bloodd"
739324425674326016,2016-06-05 05:14:13,"Who's worse , Simba barber or Osama Bin Laden @foreign_bloodd"
739323517074739200,2016-06-05 05:10:37,RT @Atarian_: *puts Osama into her crib and kisses her goodnight then walks back into my bedroom with Aysia*
739323282453876736,2016-06-05 05:09:41,"RT @FarhanKVirk: Dear Friends in UK, who trended #KillAllMuslims You are no different than Al Qaeda, Osama and ISIS! :) http://t.co/PV7m5QI…"
739323249662689280,2016-06-05 05:09:33,"RT @MrDane1982: When Berniebots can't defend Bernie Sanders resume they make up names like Killary lol, well she did kill Osama https://t.c…"
739323144708624384,2016-06-05 05:09:08,"@Updikefrmgrave @mitchellvii Yes, he gave them permission to hunt down and kill osama. I'm glad he did. That could have been any President."
739322986830778369,2016-06-05 05:08:30,I was talking about Muhammad Ali and @alllyyboooo thought I was talking about Osama Bin Laden
739322628402348032,2016-06-05 05:07:05,RT @sofiaglomez: IMA PLAY THIS IN MY FAM'S FILIPINO BAND WAGON ASS HOUSE NEXT GAME  https://t.co/blwRX8fAtm
739321875524816896,2016-06-05 05:04:05,@maywest1010 @NetworksManager @Born2RunJosh If Osama declared Martial Law he can stop the election and remain in office !
