id,created_at,text
1110733212106416128,2019-03-27 02:40:08,"RT @ReallyGupta: Nation wants a PM who will Scare Pak: @AmitShah 
For the last 5 Years Pak/China &amp; didnt dare to see towards India since Ch…"
1110732447107420165,2019-03-27 02:37:06,"Nation wants a PM who will Scare Pak: @AmitShah 
For the last 5 Years Pak/China &amp; didnt dare to see towards India s… https://t.co/7mpQ5NsMgG"
1110425788875104256,2019-03-26 06:18:33,"RT @jyotsnadevi33: You can only satisfy the women n GirlChild in India by hanging NirbhayaRapists,so that such cases r not repeated in futu…"
1110365576130686976,2019-03-26 02:19:17,RT @ZiaulHa19056161: This is lesson for Indian PM narendra modi who was busy with his film shooting for discovery channel at 7 a.m  just af…
1110362915054346241,2019-03-26 02:08:43,"RT @sn_ojha: In the aftermath of #Phulwama, 
Mine Protected Vehicles, 30-Seater Buses To Ensure Safety Of CRPF Convoys In Kashmir: Director…"
1110361909054730240,2019-03-26 02:04:43,"In the aftermath of #Phulwama, 
Mine Protected Vehicles, 30-Seater Buses To Ensure Safety Of CRPF Convoys In Kashmi… https://t.co/rzELQwQcbP"
1110053922993954816,2019-03-25 05:40:53,"RT @jyotsnadevi33: You can only satisfy the women n GirlChild in India by hanging NirbhayaRapists,so that such cases r not repeated in futu…"
1110009587988467713,2019-03-25 02:44:43,@blueredoran @brumbyoz @BDUTT @Shehla_Rashid Don't mix Hinduism with Nationalism. Both are two different things. Th… https://t.co/SV2scEoq5h
1109988732898291712,2019-03-25 01:21:51,"@mohhtrma @GAUAHAR_KHAN So what about 26/11 attack, URI and Phulwama attacks, why dont Pakistan Admit that they tra… https://t.co/w1r0GJsRVl"
1109876916767473664,2019-03-24 17:57:32,"You can only satisfy the women n GirlChild in India by hanging NirbhayaRapists,so that such cases r not repeated in… https://t.co/bxvtQRNUvo"
1109749154664767494,2019-03-24 09:29:51,"RT @KrishnaaBuddhaa: Government shouldn't allow making of such movies at least till 5 years of the event. 
Do you think 'Uri' incited 'Phul…"
1109710253023625216,2019-03-24 06:55:16,"#RahulGandhi's aide #SamPitroda on 26/11 &amp; #Phulwama  
"" how people react to trivial matters in India,"" https://t.co/3Z5WoFbmRK"
1109709124026224643,2019-03-24 06:50:47,"Government shouldn't allow making of such movies at least till 5 years of the event. 
Do you think 'Uri' incited 'P… https://t.co/TUvqkYyMsj"
1109647276631191552,2019-03-24 02:45:01,"@TOIIndiaNews Sir phulwama is failure of pm ok.what abt partion? Kashmir merging with india,aksaichin ?.this are al… https://t.co/6pETfMyPPg"
1109544244656537601,2019-03-23 19:55:36,"@spectatorindex @DilliDurAst India: 6693 missions? Where is the ""peace""?
#KashmirKillings #Pelletguns #Phulwama

Is… https://t.co/uW0o3YxCyv"
1109499308401983488,2019-03-23 16:57:03,"He calls #Gurugram incident as mercilessly beating but his Go To Man #SamPitroda calls 26/11, Phulwama and other te… https://t.co/L0NL5B6YS8"
1109476542185463809,2019-03-23 15:26:35,"RT @adt007ad: Sri Krishna tried to prevent a war with diplomacy but when the other side was adamant, he chose war.

India tried diplomacy w…"
1109466352006385664,2019-03-23 14:46:05,"RT @adt007ad: Sri Krishna tried to prevent a war with diplomacy but when the other side was adamant, he chose war.

India tried diplomacy w…"
1109456183251873792,2019-03-23 14:05:41,"RT @adt007ad: Sri Krishna tried to prevent a war with diplomacy but when the other side was adamant, he chose war.

India tried diplomacy w…"
1109454553714323456,2019-03-23 13:59:12,"Sri Krishna tried to prevent a war with diplomacy but when the other side was adamant, he chose war.

India tried d… https://t.co/FbcwZMhavb"
1109436998580867077,2019-03-23 12:49:27,RT @ZiaulHa19056161: This is lesson for Indian PM narendra modi who was busy with his film shooting for discovery channel at 7 a.m  just af…
1109427178926759936,2019-03-23 12:10:26,@AVDPune @Namta_G @BradSherman It is not the only incidence after phulwama ! There many other too . I saw another v… https://t.co/MYZpGBRr3K
1109416133264728064,2019-03-23 11:26:32,@TenzingLamsang China is as careful with India. Their larger geopolitical plans plus economy (already under Trump s… https://t.co/8I1lVsCv5N
1109365687414333441,2019-03-23 08:06:05,"Love letter to Pakistan #PMImranKhan by 56""
#Digital Badla of India on phulwama terror attacks.@BBCHindi @narendramodi @RahulGandhi"
1109358137071546368,2019-03-23 07:36:05,RT @ZiaulHa19056161: This is lesson for Indian PM narendra modi who was busy with his film shooting for discovery channel at 7 a.m  just af…
1109322713426882560,2019-03-23 05:15:19,@INCIndia @BJP4India  India was under attack by terrorist in phulwama. My blood was boiling. wanted to teach lesson… https://t.co/U7WpJd07bg
1109195741656842240,2019-03-22 20:50:47,RT @pandey_priyanka: @AdityaRajKaul @narendramodi Seriously on one end Govt officials outside the embassy making announcement on other hand…
1109161547425673216,2019-03-22 18:34:54,@ImranKhanPTI #India has not forgotten neither forgiven peoples behind #phulwama
1109158086873223169,2019-03-22 18:21:09,@BurnolReloaded @annafifield Don't u think it was a well planned propaganda self attack on mosque for the revenge o… https://t.co/VNwUWsUOZf
1109156911163817991,2019-03-22 18:16:29,@AdityaRajKaul @narendramodi Seriously on one end Govt officials outside the embassy making announcement on other h… https://t.co/WzNqsRR7DR
1109147497174163456,2019-03-22 17:39:04,This is lesson for Indian PM narendra modi who was busy with his film shooting for discovery channel at 7 a.m  just… https://t.co/D2urQNnKcO
1109119280162000897,2019-03-22 15:46:57,"Problem with NRI politicians like Pitroda is that safe outside India,they think the likes of Phulwama should be con… https://t.co/PC95Smlg70"
1109067302505312256,2019-03-22 12:20:25,"@buntybharat01 : Heard Ex-Army spokesman,V.Dayal on ZEE NEWSdebate.This fellow seems to be offered MP seat by congr… https://t.co/WjtWBIewY1"
1109045185172758528,2019-03-22 10:52:31,“Killing of 48 CRPF Jawans in Phulwama by Terrorists”-Such incidents happen all the time says Pitroda. Regarding Ba… https://t.co/X64LKA9erN
1109034621562318849,2019-03-22 10:10:33,Pakistan Government is involved in terrorists attacks on India.Pak ISI and Military used  Terrorist Masood Azhar for phulwama attack
1109023734470340610,2019-03-22 09:27:17,"@AvishekPanda5 India needs Rafale so what's wrong in it ,he didn't give covering fire to Pakistan sponsor of terror… https://t.co/tczGfISjP4"
1108996741586698242,2019-03-22 07:40:02,@ndtv BJP does not have any reply they only hide stating Insult to armed forces so that noone questions them fearin… https://t.co/r02hMxSBuB
1108955103921205249,2019-03-22 04:54:34,@sonikasdutta @narendramodi Lol in congress rule india broke pakistan into two pieces and created a whole new fucki… https://t.co/dN83ZJzTgO
1108924446855712768,2019-03-22 02:52:45,LOOKS LIKE ISI HAS BEEN SO SUCCESSFUL IN INFILTRATING INTO SONIYA PRAYOJIT GHATBANDHAN THAT IT FIRST MADE HUG THE M… https://t.co/dchpQ2l4mB
1108852616627249154,2019-03-21 22:07:19,RT @RealMarkFitzz: @KapilSibal And they know Mumbai and Phulwama were carried out by Pakistan based terrorists. Within minutes of the attac…
1108765433358770176,2019-03-21 16:20:53,@tufailelif That is called humanity. Did not see such symbolic acts from your types in India when equal no of jawans were killed in Phulwama
1108727588774645762,2019-03-21 13:50:30,"There is a ""DEADLY""Propaganda Unleashed by Pakisthan now Reeling under pressure from The Nations of the World on th… https://t.co/VXzzi84DAs"
1108726962413953024,2019-03-21 13:48:01,@KapilSibal And they know Mumbai and Phulwama were carried out by Pakistan based terrorists. Within minutes of the… https://t.co/lODDnqJyo8
1108704718522454017,2019-03-21 12:19:38,@myogiadityanath jee  peopleOf India request you to institute case against #RamgopalYadav for defaming #BJP with lies relating Phulwama
1108663036334747649,2019-03-21 09:34:00,"There was a lot of hue and cry regarding Phulwama, Surgical strike, Abhinandan’s capture and release, etc; now the… https://t.co/ESbDKGpwdJ"
1108650553360343040,2019-03-21 08:44:24,"When whole World except China is backing India on Phulwama attack, Politicians like Ramgopal Yadav is declaring it… https://t.co/sng0kEYOJY"
1108630578277089282,2019-03-21 07:25:01,"8 yr old kid. Can name all Governors of Kerala, PMs of India, districts of Kerala, Arjuna Awardees and hold your br… https://t.co/7Qtxs4GaRH"
