id,created_at,text
1110453747975516161,2019-03-26 08:09:39,RT @MDKUMAR16952467: Bangalore South people will you vote for the leader who said Phulwama was a match fixing and gave oxygen to Pakistan w…
1110451524314882048,2019-03-26 08:00:49,RT @MDKUMAR16952467: Bangalore South people will you vote for the leader who said Phulwama was a match fixing and gave oxygen to Pakistan w…
1110451027268952065,2019-03-26 07:58:50,Bangalore South people will you vote for the leader who said Phulwama was a match fixing and gave oxygen to Pakista… https://t.co/ah2eBVzCUP
1110439895909183488,2019-03-26 07:14:36,"@sherryrehman @BBhuttoZardari The timings of bilawal were wrong , dont u think that Pakistan is so peaceful these d… https://t.co/EIr1Gk6tuf"
1110433418154696705,2019-03-26 06:48:52,"@preet_duseja @VeengasJ The whole world is watching this. Last month Phulwama attack, this month abduct of minor Hi… https://t.co/fquBuvP1zg"
1110398913876389889,2019-03-26 04:31:45,"@Samarth65505504 @KumarAnshu04 @sagarikaghose We are holding an Indian terrorist in Pakistan. Besides, your own pre… https://t.co/oUkhVGWpp3"
1110390267134115842,2019-03-26 03:57:24,@ETPolitics @ratigirl @AmanKayamHai_ET Reply or SMS to our phulwama enemy Pakistan chowkidar @AmitShah… https://t.co/vGHTFjhg9R
1110243260759502848,2019-03-25 18:13:15,"@mohhtrma @amitshukla019 @GAUAHAR_KHAN Yeah they laugh on us, and they are pissed off with your terror activities,… https://t.co/18zuVz3QTL"
1110028371331706880,2019-03-25 03:59:21,@Malala your dupLicity is very evident.Any comments on Phulwama attack and conversion and forced marriage of minor hindu girls in paKistan.
1110012279603556352,2019-03-25 02:55:25,"RT @IndoPac_Info: #Pakistan hand exposed in #PulwamaTerrorAttack
@ImranKhanPTI  asked for Actionable evidence on Phulwama Terror attack
Her…"
1109988732898291712,2019-03-25 01:21:51,"@mohhtrma @GAUAHAR_KHAN So what about 26/11 attack, URI and Phulwama attacks, why dont Pakistan Admit that they tra… https://t.co/w1r0GJsRVl"
1109667470594531330,2019-03-24 04:05:16,@ImranKhanPTI Modi is again sucking up to Pakistan. Phulwama is forgotten by Modi. #ModiFailures
1109505743781285891,2019-03-23 17:22:37,"RT @pakhishukla21: Exactly!!
Liberals: Why ultra nationalists burning Pakistan flags after #Phulwama terrorist attacks?
Ultra Nationalist:…"
1109505393422753795,2019-03-23 17:21:14,"RT @pakhishukla21: Exactly!!
Liberals: Why ultra nationalists burning Pakistan flags after #Phulwama terrorist attacks?
Ultra Nationalist:…"
1109427178926759936,2019-03-23 12:10:26,@AVDPune @Namta_G @BradSherman It is not the only incidence after phulwama ! There many other too . I saw another v… https://t.co/MYZpGBRr3K
1109383404599025664,2019-03-23 09:16:29,"Exactly!!
Liberals: Why ultra nationalists burning Pakistan flags after #Phulwama terrorist attacks?
Ultra National… https://t.co/2eTModb0Kl"
1109365687414333441,2019-03-23 08:06:05,"Love letter to Pakistan #PMImranKhan by 56""
#Digital Badla of India on phulwama terror attacks.@BBCHindi @narendramodi @RahulGandhi"
1109322713426882560,2019-03-23 05:15:19,@INCIndia @BJP4India  India was under attack by terrorist in phulwama. My blood was boiling. wanted to teach lesson… https://t.co/U7WpJd07bg
1109212026507796480,2019-03-22 21:55:29,"Phulwama Attack: 'All evidence points to Pakistan' ,https://t.co/nfZ5ov4XJD"
1109139327198683139,2019-03-22 17:06:37,"@sampitroda Dear Sir, You said the ultimate truth about Phulwama attack and Pakistan. However, crooked politicians… https://t.co/fAaC4EPUD2"
1109128534335774720,2019-03-22 16:23:43,Government should have cutoff diplomatic relationship with Pakistan after Phulwama attack and closed their High Commission. #BoycottPakDay
