id,created_at,text
1133436842932690949,2019-05-28 18:16:16,"RT @brijmgmt01: the doors at the City Palace #Jaipur. They are so lovely to look at. These 4 doors represent 4 seasons:
The #LeheriyaGate r…"
1133436353692090368,2019-05-28 18:14:19,"the doors at the City Palace #Jaipur. They are so lovely to look at. These 4 doors represent 4 seasons:
The… https://t.co/4hctnDJui8"
1133436297928945665,2019-05-28 18:14:06,The prettiest restaurants in the city – from India Mahdavi's pink parlour in Mayfair to the new restaurant from… https://t.co/ggT0wxwVq7
1133429341457592320,2019-05-28 17:46:27,@forbes_india @juniorbachchan @JaipurPanthers @ProKabaddi @StarSportsIndia @itsmerajiv_07 Abhishek sir very very be… https://t.co/9wnZjVh7o6
1133412078532812800,2019-05-28 16:37:51,#thepalettestory #watercolours #flowers #art #pink#artist #painting #india #instagram #artist #art🌼🎭✨ https://t.co/dG3DFIzFyO
1133389782665564161,2019-05-28 15:09:16,Pink City #india https://t.co/svXOaGvHdI
1133386293520609285,2019-05-28 14:55:24,"Good News, Ladies! Mumbai To Get Pink Autos Driven By Ladies #travel #india #travelogy #travelblogs https://t.co/MvWqaxCWWU #travelnews"
1133355503923417089,2019-05-28 12:53:03,"केसरिया बालम पधारो मारे देश

Jaipur Enjoy with friends — in Jaipur Pink City Of India https://t.co/kapD7K8ljA"
1133344669319012352,2019-05-28 12:10:00,An enthralling city and a gateway to India's most flamboyant state is  the famous Pink City of India.  One of the f… https://t.co/PdSTTt2vkb
1133344451693355008,2019-05-28 12:09:08,"Fact when it's pink city dress 26000 only
Shari 53000 taka only without vat_manush keno India 🇮🇳 dourabe nah, 😑"
1133331220731969536,2019-05-28 11:16:33,RT @Skye_Bambi: Me in my #pink #parka #PinkParka #India #NorthIndia #NorthernIndia #HimalayanMountains #forest https://t.co/D9Oa1kOtUr
1133330176471789568,2019-05-28 11:12:24,@SayanKBose @TeamPriyanka @priyankachopra @THR Yes ..very excited for the sky is pink ..she will rock this role...a… https://t.co/oAl8n0wrzr
1133328735254568961,2019-05-28 11:06:41,“God's promises are like the stars; the darker the night the brighter they shine.” 🌟🌈#berrytreeindia… https://t.co/Z7VFm51qSp
1133327862537359360,2019-05-28 11:03:13,Me in my #pink #parka #PinkParka #India #NorthIndia #NorthernIndia #HimalayanMountains #forest https://t.co/D9Oa1kOtUr
1133327096355446786,2019-05-28 11:00:10,@Bangtan_Assam @bangtan_india @BTSprojectINDIA @BTS_twt This looks like so much fun 😊 I love how pretty much everyo… https://t.co/5qhGma1o81
1133320347552403456,2019-05-28 10:33:21,On a rich luscious base of bush pink silk and lilac net lies a beautiful hand embroidered floral motif of white and… https://t.co/dlmpKqfrYk
1133291995214966785,2019-05-28 08:40:41,On a rich luscious base of bush pink silk and lilac net lies a beautiful hand embroidered floral motif of white and… https://t.co/gGJBngL0v8
1133277306749837312,2019-05-28 07:42:19,RT @Naina: This is what the #Blobology 2.5 inch brooch looks like worn. Color can vary depending on screen. It's teal and flourescents pink…
1133276999865102337,2019-05-28 07:41:06,This is what the #Blobology 2.5 inch brooch looks like worn. Color can vary depending on screen. It's teal and flou… https://t.co/3NKFI0L7nN
1133254267010052096,2019-05-28 06:10:46,"RT @snehasharma90: Add a little #color to your #life ⚡
.
.
.
.
.
.
🌈

#love #snehasharma #pink #Racing #race #cars #formula1 #formula4 #car…"
1133246641522143233,2019-05-28 05:40:28,"Add a little #color to your #life ⚡
.
.
.
.
.
.
🌈

#love #snehasharma #pink #Racing #race #cars #formula1 #formula4… https://t.co/JClUhTz0ZR"
1133245289224056833,2019-05-28 05:35:06,On a rich luscious base of bush pink silk and lilac net lies a beautiful hand embroidered floral motif of white and… https://t.co/8TpV1RvKbs
1133240599656538112,2019-05-28 05:16:28,"Pink and off white Georgette Saree
https://t.co/G8Nsy1JMoW

#malaikaarora #bollywood #india #mumbai #fashion #style… https://t.co/BQ1NUuyeHY"
1133239874503565312,2019-05-28 05:13:35,"Name: Tatyana☀️
Height: 5’3
Age: 20
Birthday: March 3 
Zodiac Sign: ♓️
Favorite Artist(s): Jhené , India Arie , Dra… https://t.co/OSHtAiQpdI"
1133231097704271875,2019-05-28 04:38:42,"Name: Nia
Height: 5’6 
Age: 20
Birthday: March 22nd
Zodiac Sign: Aries ♈️
Fav Artist(s): India Arie 🌸
Favorite colo… https://t.co/8RuaNrjDNH"
