id,created_at,text
1109786559392501761,2019-03-24 11:58:29,"#PriyankaChopra Gets Candid on a Talk Show And Reveals She Loves ‘Sexting’ With Husband #NickJonas
https://t.co/OrlY8Lu96q"
1109747805449416706,2019-03-24 09:24:29,RT @dishutweets: This idiotic female had criticised Priyanka Chopra for supporting Indian armed forces &amp; now she is a part of a Paki movie…
1109707400276312064,2019-03-24 06:43:56,"International Business Times, India: Priyanka Chopra talks about sexting, FaceTime sex with Nick Jonas; cheeky repl… https://t.co/jCrUkHRUBf"
1109691025042427905,2019-03-24 05:38:52,"Nick Jonas poses with his ‘only sunshine’ Priyanka Chopra in Florida, see adorable pics https://t.co/bqk8hJc04D https://t.co/Ojha20V9rh"
1109642436744224773,2019-03-24 02:25:47,Quick heads up so called local bikes off India priyanka chopra and kangnaut u local hoes keep your legs closed don’… https://t.co/l9AB71QE6O
1109639672551141377,2019-03-24 02:14:48,#Breaking : Priyanka Chopra Jonas' parents-in-law disclose new details about the NickYanka wedding - Times of India… https://t.co/c5eDBpdczr
1109618600111992837,2019-03-24 00:51:04,#Breaking : Priyanka Chopra's parents-in-law on her wedding with Nick Jonas: Photos did not do it justice - India T… https://t.co/b5XwSN6Z4p
1109599769620434944,2019-03-23 23:36:15,"And ppl say Priyanka chopra married a too young man. Nick Jonas gained more than PC. She is a formerMiss World, Sup… https://t.co/mShYMWJxsl"
1109584155166285825,2019-03-23 22:34:12,RT @guneezzz: I cannot believe that we all existed during a 24-hour span in which Priyanka Chopra both voiced her support for the air strik…
1109513418623594501,2019-03-23 17:53:07,@vishuenc @GlblCtzn @priyankachopra Am not even Indian yet i know for a fact she's done a lot to empower women&amp;chil… https://t.co/qdeQPmezHY
1109464756010704897,2019-03-23 14:39:45,RT @Jacobji01: NZ people sent a beautiful message to the whole world about compassion and embracing diversity but here in India some are st…
1109464729540452353,2019-03-23 14:39:39,NZ people sent a beautiful message to the whole world about compassion and embracing diversity but here in India so… https://t.co/N0p4mzZrLW
1109404025882099712,2019-03-23 10:38:26,"RT @KRKBoxOffice: Salman Khan on Priyanka Chopra's dating app Bumble in India: Why does she need that now
https://t.co/ExJ1XZnd0L @BeingSal…"
1109374579363860480,2019-03-23 08:41:25,"RT @debarati_m: Dating app Bumble, backed by Priyanka Chopra debuted in India. No, she’s not gonna use this app, provided baby Nick gets he…"
1109370763650494464,2019-03-23 08:26:15,"RT @debarati_m: Dating app Bumble, backed by Priyanka Chopra debuted in India. No, she’s not gonna use this app, provided baby Nick gets he…"
1109368427771297792,2019-03-23 08:16:58,"Dating app Bumble, backed by Priyanka Chopra debuted in India. No, she’s not gonna use this app, provided baby Nick… https://t.co/3ldbxs5RQx"
1109353048894246913,2019-03-23 07:15:52,Priyanka Chopra reveals if she has ever sexted Nick Jonas. Details here - India Today https://t.co/8EK6emPgj2
1109347073466470401,2019-03-23 06:52:07,"@apurva_hv Priyanka Chopra Mary kom.
Now kangana jayalalitha

Northeast and south India doesn't have actress nah.."
1109342086707531778,2019-03-23 06:32:18,Priyanka Chopra finally admitted if she was 'upset' that Meghan Markle wasn't sitting in the pews when the 'Quantic… https://t.co/54YGgb7Hyq
1109322095157305344,2019-03-23 05:12:52,"RT @timesofindia: .@priyankachopra misses being with her family in India on Holi festival via @etimes 

https://t.co/ICX1KYNrlX"
1109320107870707712,2019-03-23 05:04:58,"Priyanka Chopra REVEALS if she SEXTS Nick Jonas when they are apart
https://t.co/MSt2y1PTMr
@priyankachopra @nickjonas"
1109312037744721921,2019-03-23 04:32:54,"#Breaking : Priyanka Chopra reveals if she has ever sexted Nick Jonas. Details here - India Today

⚡Rajguru and Suk… https://t.co/6pWk20H6we"
1109235270237466625,2019-03-22 23:27:51,Priyanka Chopra and Meghan Markle are still friends https://t.co/u1kad4STdK https://t.co/IKJEx2PRcT
1109233972347916288,2019-03-22 23:22:42,Is Priyanka Chopra really happy about QUANTICO ending? Read on https://t.co/dRycV9tlef https://t.co/umvTidOdng
1109181848062693376,2019-03-22 19:55:34,"RT @TheIndulgeMag: Interestingly, while the statement seems like a joke, it comes at a time when #PriyankaChopra is busy with Hollywood fil…"
1109179200328499200,2019-03-22 19:45:03,"Bollywood Roundup: Priyanka Chopra, Alia Bhatt, Jackie Shroff, and more… - India New England https://t.co/uDMDe0dVwx https://t.co/rUlyKA7nrk"
1109174650876002306,2019-03-22 19:26:58,"RT @TheIndulgeMag: Interestingly, while the statement seems like a joke, it comes at a time when #PriyankaChopra is busy with Hollywood fil…"
1109172765465075712,2019-03-22 19:19:29,"RT @TheIndulgeMag: Interestingly, while the statement seems like a joke, it comes at a time when #PriyankaChopra is busy with Hollywood fil…"
1109151378713309184,2019-03-22 17:54:30,"RT @timesofindia: .@priyankachopra misses being with her family in India on Holi festival via @etimes 

https://t.co/ICX1KYNrlX"
1109119762980700160,2019-03-22 15:48:52,"RT @timesofindia: .@priyankachopra misses being with her family in India on Holi festival via @etimes 

https://t.co/ICX1KYNrlX"
1109093229952036864,2019-03-22 14:03:26,"Priyanka Chopra talks about sexting, FaceTime sex with Nick Jonas; cheeky reply to Miley Cyrus

#PriyankaChopra… https://t.co/JvWF5Fas41"
1109087944202031104,2019-03-22 13:42:26,"RT @timesofindia: .@priyankachopra misses being with her family in India on Holi festival via @etimes 

https://t.co/ICX1KYNrlX"
1109076138918178816,2019-03-22 12:55:31,"RT @KRKBoxOffice: Salman Khan on Priyanka Chopra's dating app Bumble in India: Why does she need that now
https://t.co/ExJ1XZnd0L @BeingSal…"
1109073903979094016,2019-03-22 12:46:38,"RT @KRKBoxOffice: Salman Khan on Priyanka Chopra's dating app Bumble in India: Why does she need that now
https://t.co/ExJ1XZnd0L @BeingSal…"
