id,created_at,text
1109642436744224773,2019-03-24 02:25:47,Quick heads up so called local bikes off India priyanka chopra and kangnaut u local hoes keep your legs closed don’… https://t.co/l9AB71QE6O
1109493828187275266,2019-03-23 16:35:16,@WhiteColdBlood @ETLifeandStyle @ArmeenaRK Flop unknown actress from Pakistan trying to use globally famous and suc… https://t.co/fye5M17AO9
1109109465037467648,2019-03-22 15:07:57,Pak Actress Armeena Khan Accuses 'Team Priyanka' Chopra of 'Trolling' - Reports: https://t.co/hEwx9O0zY1 via @SputnikInt
1109075554953646081,2019-03-22 12:53:12,(Priyanka Chopra Just Denied Creeping On Her Husband’s Ex Miley Cyrus But LOL We Know That Ain't True)… https://t.co/zA2AoLKpf9
1109048455773724674,2019-03-22 11:05:31,Armeena Rana Khan Gets Trolled By Priyanka Chopra Fandom #armeenakhan #pakistan #priyankachopra #sherdil #war… https://t.co/3rQE9yW7rh
1109019497569112065,2019-03-22 09:10:27,Armeena Khan gets trolled by Priyanka Chopra fans on social media #Pakistan
1108370276587372545,2019-03-20 14:10:41,"RT @maqsood_neha: Wrote something about a little something both India and Pakistan seem to have forgotten, KASHMIR (also Priyanka Chopra su…"
1108348471747076096,2019-03-20 12:44:02,"#PriyankaChopra accuse of hypocrisy, citing her “warmongering” tweets from several weeks ago, in which she allegedl… https://t.co/HYq4Je53Yq"
1108014814096322560,2019-03-19 14:38:12,"@TheView @priyankachopra https://t.co/OkeT86ukYL

Totally disagree, reasons

1 has she set up charities to help poo… https://t.co/910CdNB1xK"
1107959312440324096,2019-03-19 10:57:39,"Priyanka Chopra feels privileged to join Oprah Winfrey, Meryl Streep on 50 most powerful women list https://t.co/exQLaFRQcF #Pakistan #News"
1107912819272343552,2019-03-19 07:52:54,(People Are Calling Out Priyanka Chopra For Her Hypocrisy After She Showed Support For New Zealand)… https://t.co/97caSrjTO7
1107650633186926598,2019-03-18 14:31:04,"Wrote something about a little something both India and Pakistan seem to have forgotten, KASHMIR (also Priyanka Cho… https://t.co/TXYzxBOvoo"
1107502269287690240,2019-03-18 04:41:32,@jibrandalvi89 @priyankachopra She never did that. But she did give her condolences when there was a terrorist atta… https://t.co/oPnRdQpeMP
1107502123372023808,2019-03-18 04:40:57,@mysteriousxkhan @priyankachopra When there was a terrorist attack in Pakistan she tweeted then too… https://t.co/JiDPrq0yyl
1107501433811664896,2019-03-18 04:38:12,@RamlahSeraj @priyankachopra When Priyanka tweeted when there was a terrorist attack in Pakistan you didn’t have an… https://t.co/tgMCXbGgZg
1107500972371111936,2019-03-18 04:36:22,"@TheOmarrization Why? Because she tweets regardless if there’s a terrorist attack in India, New Zealand or Pakistan? https://t.co/qllU1bz00k"
1107499962655346688,2019-03-18 04:32:22,@daanistan @priyankachopra Even when there was a terrorist attack in Pakistan Priyanka tweeted for that too. https://t.co/qllU1bz00k
1107414818959450112,2019-03-17 22:54:02,"RT @ajplus: Bollywood actor Kangana Ranaut called for ""Pakistan['s] destruction"" after 40 Indian soldiers were killed in a suicide attack.…"
1107293099221348353,2019-03-17 14:50:22,"@cu_rious @sunshine_162 Nah, she wasn’t. She was supporting her country after a terrorist attack. Priyanka’s tweete… https://t.co/1Nrzwpe7WL"
1107243374346686466,2019-03-17 11:32:46,Imagine Priyanka Chopra has the audacity to post this with the legendary song IMAGINE playing at the back which is… https://t.co/Jw6rwJdeNl
1107050046590083072,2019-03-16 22:44:33,RT @ms_slaysalot: @Mahfuja_A @priyankachopra After all the abuse she faced from people like you for simply supporting her country against t…
1106746334214668289,2019-03-16 02:37:43,@Mahfuja_A @priyankachopra After all the abuse she faced from people like you for simply supporting her country aga… https://t.co/7qTX3unAeo
1106744745806589952,2019-03-16 02:31:24,@yllib200 Priyanka tweeted when there was a terrorist attack in Pakistan https://t.co/qllU1bz00k people are busy &amp;… https://t.co/VqTQihGgWJ
1106625020963356672,2019-03-15 18:35:39,@HibaSalman19 Priyanka has sympathized terrorists attacks in Pakistan too. https://t.co/qllU1bz00k You’re still an asshole!
1106613306503151616,2019-03-15 17:49:06,@scarIetwasp priyanka chopra. she was encouraging India to go on a war against Pakistan for something which was nev… https://t.co/DqFxlagkws
1106494043561746432,2019-03-15 09:55:12,"(Hania Aamir's Look Reminds Me Of Priyanka Chopra, And I’m Not Alone)

 https://t.co/i8aDZQicFc

#PTI #PPP #PMLN… https://t.co/jlphmTpO4F"
1106435080732327936,2019-03-15 06:00:54,"If you told me 10 years ago that Priyanka ""Supports the India-Pakistan War"" Chopra and Miley Cyrus would interact i… https://t.co/dbb7xe9nqs"
704405778162057216,2016-02-29 20:39:59,Just setting up my Twitter. #myfirstTweet
