id,created_at,text
1109817172564602880,2019-03-24 14:00:08,Andy also grilled Priyanka on which JoBro got her the best wedding gift: https://t.co/zjzJLbm3gm
1109817153606299649,2019-03-24 14:00:03,RT @dailynickjonas2: 📸|| Nick Jonas and Priyanka Chopra in Miami yesterday! (2) https://t.co/MkI6atc2hB
1109817139735789570,2019-03-24 14:00:00,RT @dailynickjonas2: 📸|| Nick Jonas and Priyanka Chopra in Miami yesterday! (3) https://t.co/Pin4OE7Hvq
1109817103002071040,2019-03-24 13:59:51,RT @dailynickjonas2: 📸|| Nick Jonas and Priyanka Chopra in Miami yesterday! (3) https://t.co/Pin4OE7Hvq
1109817093510361089,2019-03-24 13:59:49,RT @dailynickjonas2: 📸|| Nick Jonas and Priyanka Chopra in Miami yesterday! (2) https://t.co/MkI6atc2hB
1109817084643606528,2019-03-24 13:59:47,RT @dailynickjonas2: 📸|| Nick Jonas and Priyanka Chopra in Miami yesterday! https://t.co/BYRrav6zxA
1109816979710509056,2019-03-24 13:59:22,Priyanka Chopra jets off to Miami for a vacay with husband Nick Jonas https://t.co/AhSYCGHu67
1109816979232382976,2019-03-24 13:59:21,📸|| Nick Jonas and Priyanka Chopra in Miami yesterday! (3) https://t.co/Pin4OE7Hvq
1109816731663364096,2019-03-24 13:58:22,Actor-singer @nickjonas has said that collaborating with wife @priyankachopra on a musical duet isn’t out of the qu… https://t.co/lbtVk4dNU6
1109816563727781888,2019-03-24 13:57:42,📸|| Nick Jonas and Priyanka Chopra in Miami yesterday! (2) https://t.co/MkI6atc2hB
1109816269023440899,2019-03-24 13:56:32,📸|| Nick Jonas and Priyanka Chopra in Miami yesterday! https://t.co/BYRrav6zxA
1109815200612536322,2019-03-24 13:52:17,@xtinebob told me that I remind her of priyanka chopra because of my facial features and @bentaO_o told me I remind… https://t.co/euRmsIIdSj
1109815166143729664,2019-03-24 13:52:09,"#Repost @ @cocomebod With all credit going to them.

Priyanka Chopra uses organic coconut oil for skin care

CocoMe… https://t.co/UpKfFa4J6f"
1109812272363433984,2019-03-24 13:40:39,View of Priyanka Chopra with a transparent dress https://t.co/ezbO3C8w92 https://t.co/ncofGMBAtl
1109811764819050499,2019-03-24 13:38:38,"#PriyankaChopra says #NickJonas and she exchange 'racy images' to keep the 'spark alive'

@priyankachopra… https://t.co/Dm6DBAPG4V"
1109810726091268096,2019-03-24 13:34:31,Priyanka Chopra and the Duchess of Sussex have been rumored to be in a friendship feud for the past few months. https://t.co/y6viEQhDoq
1109806852504780800,2019-03-24 13:19:07,"RT @GossipCop: Rumors About Priyanka Chopra, Nick Jonas https://t.co/jJF4iEDYKP https://t.co/W9OOg9nNFt"
1109806077732765696,2019-03-24 13:16:02,"Rumors About Priyanka Chopra, Nick Jonas https://t.co/mmNWdCOjQu https://t.co/L4awPkVTT5"
1109805840033374209,2019-03-24 13:15:06,"Rumors About Priyanka Chopra, Nick Jonas https://t.co/jJF4iEDYKP https://t.co/W9OOg9nNFt"
1109803147839471616,2019-03-24 13:04:24,RT @desigirl_3: Priyanka Chopra and Nick Jonas still in honeymoon phase as they snuggle up on romantic Miami holiday. https://t.co/xHo4jlkj…
1109802157509931009,2019-03-24 13:00:28,Was Priyanka Chopra really mad at Meghan Markle for skipping her wedding? Here's what she said https://t.co/p4xrIWqgO6
1109802029071941633,2019-03-24 12:59:57,Priyanka Chopra &amp; Nick Jonas Planning Double Date with Miley Cyrus &amp; Liam Hemsworth! https://t.co/Op9RYihux8 via @JustJaredJr
1109800925504233472,2019-03-24 12:55:34,Priyanka Chopra says that Miley Cyrus is 'amazing' and hopes to go on a double date with her and husband Liam Hemsw… https://t.co/dPSc3WvlNm
1109800538718130177,2019-03-24 12:54:02,"RT @enews: Here's the truth about Priyanka Chopra and Meghan Markle's friendship: ""When you have real friendships, like ours, it doesn't ma…"
1109800419822198785,2019-03-24 12:53:33,"RT @menggurlll: Presenting!! 
The Angelina Jolie and Priyanka Chopra of the Philippines! ♥ @mainedcm 

#MaineMendoza https://t.co/AMgUSJr3e0"
1109800142637580288,2019-03-24 12:52:27,Hope I Can continue to be a Good Partner to Priyanka Chopra: Nick Jonas https://t.co/MlvK4IMmeU https://t.co/RWBoI0yCvM
1109798161588064256,2019-03-24 12:44:35,@dugar_alpha @deepsealioness Can you also show me a photo of PM talking to the poor farmers from TN who were protes… https://t.co/7k8TzyUonM
1109797739855003650,2019-03-24 12:42:54,Pissing Priyanka Chopra fans off for no reason is my favorite pastime. 😂
1109796973140471808,2019-03-24 12:39:52,RT @HuffPostEnt: Nick Jonas says he wakes up in the morning and pinches himself. https://t.co/ThOKceInWv
1109795178771025920,2019-03-24 12:32:44,"Priyanka Chopra Reveals Her Bedroom Secrets, Says She Believes In S*XTING &amp; FaceTime S*X https://t.co/2d8Mahjqji https://t.co/924tKGYvuA"
1109794770140958722,2019-03-24 12:31:06,"Bollywood’s Desi Girl Priyanka Chopra who went on to become an International star, is one of the most beautiful and… https://t.co/3knI1puoLY"
1109794034275344384,2019-03-24 12:28:11,OMG: Priyanka Chopra admits to sexting and enjoying facetime sex with Nick Jonas
1109792297938411522,2019-03-24 12:21:17,RT @MTVIndia: Why does this contestant want to slay Priyanka Chopra? 🤭 Watch #RoadiesRealHeroes tonight at 7pm to find out! https://t.co/pR…
1109790735770009600,2019-03-24 12:15:04,RT @JustJared: A double date between the two couples might be happening soon! https://t.co/mTAYNWR5dD
1109790689792061441,2019-03-24 12:14:54,RT @desigirl_3: Priyanka Chopra and Nick Jonas still in honeymoon phase as they snuggle up on romantic Miami holiday. https://t.co/xHo4jlkj…
1109790405917323264,2019-03-24 12:13:46,RT @HuffPostEnt: Nick Jonas says he wakes up in the morning and pinches himself. https://t.co/ThOKceInWv
1109790349659176961,2019-03-24 12:13:32,Priyanka Chopra and Nick Jonas still in honeymoon phase as they snuggle up on romantic Miami holiday. https://t.co/xHo4jlkjPq
1109789572899188736,2019-03-24 12:10:27,RT @HuffPostEnt: Nick Jonas says he wakes up in the morning and pinches himself. https://t.co/ThOKceInWv
1109789520638238720,2019-03-24 12:10:15,"Sonam Kapoor, Alia Bhatt, Katrina Kaif: Fashion hits and misses (Mar 17-23) - The Indian Express https://t.co/vxciAnwSQ3"
1109787419824381953,2019-03-24 12:01:54,Nick Jonas and Priyanka Chopra are the most cringeworthy couple I've ever seen. They just make me uncomfortable.
1109787219294932992,2019-03-24 12:01:06,Nick Jonas says he wakes up in the morning and pinches himself. https://t.co/ThOKceInWv
1109786559392501761,2019-03-24 11:58:29,"#PriyankaChopra Gets Candid on a Talk Show And Reveals She Loves ‘Sexting’ With Husband #NickJonas
https://t.co/OrlY8Lu96q"
1109786458838233088,2019-03-24 11:58:05,"RT @MokshadaBhoyrul: There’s so many artists in this Bollywood film industry that I cannot keep track. 

I only stalk Alia Bhatt/Ranbir Kap…"
1109785258436804609,2019-03-24 11:53:19,"Priyanka Chopra is Nick Jonas’ ‘sunshine, only sunshine’ https://t.co/5jJTKLrWKs"
1109785242145976321,2019-03-24 11:53:15,"RT @timesofindia: .@priyankachopra 's vacay picture with @nickjonas will make you pack your bags

via @etimes 

https://t.co/b5qeEfJtEk"
1109785196180787201,2019-03-24 11:53:04,"Don't mess with Meghan's inner circle, you guys! https://t.co/nABoVZVRlv"
1109784204441735168,2019-03-24 11:49:07,Guess The Price! The cost of Priyanka Chopra Jonas' black ruffle dress will amaze you! https://t.co/IfE7XGH5or
1109783884953210881,2019-03-24 11:47:51,Priyanka Chopra's DIY Beauty Recipes  https://t.co/2JC3UxZh6W #bollywood bollywoodbeauty #beautytips #beautysecrets https://t.co/uIhXIQgYgp
1109783100966354944,2019-03-24 11:44:44,RT @MTVRoadies: Why does this contestant want to slay Priyanka Chopra? 🤭 Watch #RoadiesRealHeroes tonight at 7pm to find out! https://t.co/…
1109782866106466304,2019-03-24 11:43:48,Priyanka Chopra Enjoys Sexting Hubby Nick Jonas - Reports  https://t.co/3JWrv4KcuE
1109782448093560832,2019-03-24 11:42:09,"RT @etimes: .@priyankachopra and @nickjonas pose for a cute selfie 

https://t.co/t3oIsr528Z"
1109782352509624320,2019-03-24 11:41:46,"RT @ieEntertainment: .@priyankachopra  and @nickjonas are on a weekend getaway in Miami. 

https://t.co/ncJr5kJPJk"
1109779391603712001,2019-03-24 11:30:00,".@priyankachopra and @nickjonas' Miami pictures are giving us some major couple travel goals

https://t.co/X5TwiwRGSC?"
1109779139479769088,2019-03-24 11:29:00,Why does this contestant want to slay Priyanka Chopra? 🤭 Watch #RoadiesRealHeroes tonight at 7pm to find out! https://t.co/DAgCDA9mJ3
1109778888186621952,2019-03-24 11:28:00,Why does this contestant want to slay Priyanka Chopra? 🤭 Watch #RoadiesRealHeroes tonight at 7pm to find out! https://t.co/pRaNeHVrGe
1109777361283805184,2019-03-24 11:21:56,RT @twilightfairy: @b_k70 @AvijitSinha5 @kirti_sd @DickDarryl @sagar_bh26 @SRasikDoshi @Vidyut @TachilR @IchbinUjjaini @GovindanMadhu @NSOO…
1109777312877371392,2019-03-24 11:21:44,@twilightfairy @AvijitSinha5 @kirti_sd @DickDarryl @sagar_bh26 @SRasikDoshi @Vidyut @TachilR @IchbinUjjaini… https://t.co/drnS2sGwmc
1109776377014874112,2019-03-24 11:18:01,@b_k70 @AvijitSinha5 @kirti_sd @DickDarryl @sagar_bh26 @SRasikDoshi @Vidyut @TachilR @IchbinUjjaini @GovindanMadhu… https://t.co/oR9G5sTJp4
1109775342988861445,2019-03-24 11:13:55,RT @JustJared: A double date between the two couples might be happening soon! https://t.co/mTAYNWR5dD
1109775319098105857,2019-03-24 11:13:49,Priyanka Chopra loves sexting husband Nick Jonas https://t.co/jZse18Yw6u
1109772314994987009,2019-03-24 11:01:53,Priyanka Chopra &amp; Nick Jonas Want to Double Date with Miley Cyrus &amp; Liam Hemsworth! (VIDEO)
1109771771526463488,2019-03-24 10:59:43,Nick Jonas and Priyanka Chopra are living the good life in Miami https://t.co/R2dx0m8yRZ
1109771224786206720,2019-03-24 10:57:33,Watch: Priyanka Chopra Talks Sex Life With Nick Jonas https://t.co/jaDO9xVhn7 via Guardian https://t.co/l7PpzR08nD
1109771054711488512,2019-03-24 10:56:52,RT @TheView: What’s married life like for @priyankachopra and husband @nickjonas? “Marriage feels so different — it’s like the family you c…
1109770719049777153,2019-03-24 10:55:32,"RT @ELLEmagazine: Nick Jonas Gave Priyanka Chopra a Maybach Because His Song Went Number 1 
https://t.co/GQt9RNvJKb"
1109770662447472640,2019-03-24 10:55:19,"@joshinaveen76 @ShashiTharoor What do you think about me, I do not at all bother. Yes., of course your comment is l… https://t.co/NeRpGCVf5B"
1109769327258075136,2019-03-24 10:50:00,"Guess that settles it, so. https://t.co/dQoFkGi992"
1109769112316723200,2019-03-24 10:49:09,Priyanka Chopra reveals thoughts on long distance relationships https://t.co/xLEXeZWCMU #priyankachopra #nickjonas
1109769016955019264,2019-03-24 10:48:46,Priyanka Chopra reveals thoughts on long distance relationships https://t.co/XYnXGmU9Gw #priyankachopra #nickjonas
1109767940612804608,2019-03-24 10:44:30,"Loved-up Priyanka Chopra, Nick Jonas soak up the sun on their romantic-getaway in Miami https://t.co/IvP9Y1wcCG https://t.co/KbfFAQLxgi"
1109767644675227648,2019-03-24 10:43:19,"PC - Piyush Chawla has the brains of PC - Priyanka Chopra 🙏🏽🙏🏽😐😐 

DK could have avoided it . Shocker of review . #KKRvSRH"
1109767185382162432,2019-03-24 10:41:30,Priyanka Chopra Directly Responded to Rumors She and Meghan Markle Are Feuding https://t.co/IMUUsbF2vC #culture https://t.co/v7sJ6KgQKb
1109766198827216896,2019-03-24 10:37:34,@AtherRashaad @AartiTikoo No they are traditional ornaments which we have been embracing since thousands of years.… https://t.co/Vo2XkhhiAS
1109762824597721088,2019-03-24 10:24:10,RT @NewsLeakCentre: After Bajirao Mastani now SLB is reuniting with #PriyankaChopra for '#Gangubai' https://t.co/3ZuaggoofL
1109761518772649984,2019-03-24 10:18:59,"Priyanka Chopra, Deepika Padukone, Alia Bhatt Show How to Flaunt White Trendy Outfits https://t.co/JGpCdtX9SV"
1109759748872781824,2019-03-24 10:11:57,Priyanka Chopra and Nick Jonas still in honeymoon phase as they snuggle up on romantic Miami holiday… https://t.co/Lca3qEVasL
1109758982233735168,2019-03-24 10:08:54,@suzannebernert We are also miss priyanka chopra because of this dead link
1109758066784899073,2019-03-24 10:05:16,"Priyanka Chopra Loves Sexting Husband Nick Jonas
#Sexting 
#PriyankaChopra https://t.co/lswzdYERgq"
