id,created_at,text
739326037398540288,2016-06-05 05:20:37,Sales - Puma ARIAL SUEDE Unisex-Erwachsene Sneakers - https://t.co/8VAlCVn4ak
739325954024198145,2016-06-05 05:20:18,RT @2010MisterChip: Vaya gol le acaban de tangar a Ecuador
739325929797890048,2016-06-05 05:20:12,PUMA Ferrari Replica Backpack https://t.co/WDsgS2kFGC #5542 https://t.co/baAhe5ZwSr
739325910663331841,2016-06-05 05:20:07,RT @VSGoaIs: the new puma collection is going to make me broke https://t.co/Ougt5fuZJp
739325891977715713,2016-06-05 05:20:03,RT @JacoboWong: No he twiteado nada en todo el día y saben que? ... No pasó nada
739325888966189056,2016-06-05 05:20:02,"RT @kpop_prepre: アカウント開始記念で２連続プレゼント!!✨✨

【防弾少年団&amp;PUMA コラボリュックのプレゼント企画🎁】

韓国から大量入荷🇰🇷⭐️

リツイート&amp;フォローをしてくれた人の中から抽選で5名様にプレゼント！！🎶🇰🇷 https://t.co/t…"
739325875229855744,2016-06-05 05:19:59,"RT @MirreyNoble: Cuando las cosas van mal, sólo te imagino mirándome y sonriendo, y así se me pasa. Ese es mi truco, esa es tu magia."
739325848503914496,2016-06-05 05:19:52,PUMA Small Rolling Duffel Bag https://t.co/RL3H5gbpEY #5542 https://t.co/6VPspT5azf
739325835547676672,2016-06-05 05:19:49,#611 PUMA Tech Solid Golf Bermuda Shortshttp://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=4&amp;toolid=100034&amp;campi… https://t.co/x6rthynOCC
739325821274357760,2016-06-05 05:19:46,"RT @ElJeringasLoko: Eso de “una mente ocupada no extraña a nadie” es mentira. Podré tener muchas cosas que hacer, pero siempre pienso en un…"
739325804820238336,2016-06-05 05:19:42,PUMA evoSPEED 1.4 FG Women's Firm Ground Soccer Cleats #8332 https://t.co/1YjQHcqahY https://t.co/wt5W1hPjEc
739325799082385409,2016-06-05 05:19:41,PUMA XT S Blur Men's Shoes https://t.co/pQfyQpqcyR #0980 https://t.co/qFCo7t9GsX
739325782024146944,2016-06-05 05:19:37,PUMA Ferrari Replica Backpack https://t.co/0UXZmBxU9f #0980 https://t.co/3ARaZSzGLj
739325764420685824,2016-06-05 05:19:32,https://t.co/kv2YEDUj3A PUMA 18675010 Womens Faas 100 R Running Shoe- Choose SZ/Color. https://t.co/RKDo8o0ljp
739325712595714048,2016-06-05 05:19:20,RT @proyakyuantenna: 【GIF】巨人・大田、先頭打者ホームランｗｗｗｗｗｗ https://t.co/qvlzr7JG6u https://t.co/vltwHgYj8m
739325697425080320,2016-06-05 05:19:16,https://t.co/BLkN2LtmQz DS Puma Disc Blaze x Bape Bathing Ape Camo size 11
739325683780997120,2016-06-05 05:19:13,PUMA Pulse XT Woven Men's Training Shoes https://t.co/7Lg3uiFauu https://t.co/Xx8KB3wssy
739325681587359744,2016-06-05 05:19:13,Shoes &amp; Accessories &gt; https://t.co/8C1wZ0uZyM #55 PUMA Slim Sweatpants https://t.co/aHDOlTV8vB
739325680698163200,2016-06-05 05:19:12,"Sales - Puma Modern Court Hi Citi Series, Unisex-Erwachsene Hohe Sneakers - https://t.co/qmBiAFYDui"
739325672858877953,2016-06-05 05:19:11,RT @meishubot: 金森いいいいいいいいいいいいいいい！！！！よっしゃよっしゃよっしゃよっしゃよっしゃよっしゃよっしゃ同点同点同点同点同点同点同点同点
739325668870246400,2016-06-05 05:19:10,https://t.co/xFzckseRwN PUMA Puma x Alexander McQueen Joust Evo Mens Shoes in White (9.5)
739325661299539972,2016-06-05 05:19:08,https://t.co/jGsSRe8UKB PUMA Future Cat Leather Sf -10--M Puma Ferrari SF -10- Mens
739325578931777540,2016-06-05 05:18:48,Clothing &amp; Accessories &gt;&gt; https://t.co/HvwEazDdL3 #675 PUMA Pulse XT Woven Men's Training Shoes https://t.co/OyetnUXS2s
