id,created_at,text
739316247549124608,2016-06-05 04:41:43,RT @CuteEmergency: nimble puppy with nubby legs 😍 https://t.co/q1vX8NKz3r
739316226027978752,2016-06-05 04:41:38,"""Let's take a pic bc you're queen of the puppy filter"" 😉😉 https://t.co/50l65RI6vV"
739316218390269952,2016-06-05 04:41:36,https://t.co/fvu2SVJoDB #0433 Potty Train Your Puppy With Litter Box - House Training Dogs Indoors https://t.co/zypsmWL3j9
739316210026713088,2016-06-05 04:41:34,RT @alexdcee: @allissamariee yes my puppy getting all the fame lol
739316198777573376,2016-06-05 04:41:32,Looking for a puppy if anyone has some LMK
739316187566247937,2016-06-05 04:41:29,If you buy me a pug puppy I'll love you forever 😩
739316186299539460,2016-06-05 04:41:29,RT @derpball101: @darsh_hood @Calum5SOS @Luke5SOS @bonnerjf7 ❤️❤️ HE WAS THE CUTEST LIL PUPPY DOG
739316173427331072,2016-06-05 04:41:26,Yup ok. I want a puppy.
739316154133446656,2016-06-05 04:41:21,Varric bet me like 2 silvers that I couldn't steal Cullen's new mabari but guess who got 2 silvers richer and a new puppy
739316145556070400,2016-06-05 04:41:19,RT @BabyAnimalPics: nimble puppy with nubby legs 😍 https://t.co/q51oRi8PIf
739316143119163393,2016-06-05 04:41:19,@AlbertaBoss Does my puppy's butt look like a bear's? https://t.co/AxJEbL4oI1
739316140275564544,2016-06-05 04:41:18,"RT @RoshedeJaleel: #JamaicansBeLike Come man him nah bite you man a puppy 
https://t.co/p5aQfToge3"
739316140178956289,2016-06-05 04:41:18,"cute names for dogs: 
doggos 
puppers
doggies 
my only happiness is this dog 
cuties
woofer 
woofie 
puppy"
739316139226988544,2016-06-05 04:41:18,the fact that I actually put cartoons on for my puppy to watch while he falls asleep proves that I think my dog is human . That's my baby 😩💗
739316135737229312,2016-06-05 04:41:17,RT @ZiIlionaires: Chocolate lab puppy 😩😍 https://t.co/qZsQieepVa
739316126874750977,2016-06-05 04:41:15,RT @ZiIlionaires: Chocolate lab puppy 😩😍 https://t.co/qZsQieepVa
739316121371856896,2016-06-05 04:41:13,@jolantru I don't even think the awards will be set up in a way that allows the puppy mill to wreck it
739316120503652352,2016-06-05 04:41:13,RT @ZiIlionaires: Chocolate lab puppy 😩😍 https://t.co/qZsQieepVa
739316118955954176,2016-06-05 04:41:13,RT @Babyy_Blair: I really want a puppy
739316114832818176,2016-06-05 04:41:12,I want some puppy soup
739316111552872448,2016-06-05 04:41:11,RT @puppies_loves: Labradoodle puppy https://t.co/aZOvhnz5ma
739316105102000128,2016-06-05 04:41:09,RT @TheTumblrPosts: this is the cutest puppy ever 😍😭 https://t.co/uoSPMxavU0
739316101402611713,2016-06-05 04:41:09,@zandywithaz @dyingvirgin last one. when she was a puppy 😩 https://t.co/fyzB6XwuLF
739316099439824896,2016-06-05 04:41:08,"RT @tristinc1: if we get a puppy together there is no breaking up, my dog not being raised in a broken home  https://t.co/53LwUfVGRZ"
739316090510049280,2016-06-05 04:41:06,RT @FemaleTexts: Cutest puppy ever 😍 https://t.co/KEGP5MSeeC
739316087926312960,2016-06-05 04:41:05,@allissamariee yes my puppy getting all the fame lol
739316087829987330,2016-06-05 04:41:05,RT @reyandbucky: a puppy and a puppy https://t.co/D3y1ZX3jVv
