id,created_at,text
733930350431211520,2016-05-21 08:00:05,kale dhan vale #BABA #Ramdev do you hear this??? Foreign firms can now fund parties https://t.co/m2yCQPbe9T
733929784565215232,2016-05-21 07:57:51,Ramdev ?? https://t.co/0WFwSQBNvv
733928703504191488,2016-05-21 07:53:33,"RT @DrGPradhan: 34

Do u know Desh Bandhu Gupta? if u can scroll old videos he has given a hint in one of the rallies of Ramdev

#CongDestr…"
733928078288637952,2016-05-21 07:51:04,"Baba Ramdev, maître yogi du #Marketing « made in #India » https://t.co/u0fuccfM7s"
733926171964887041,2016-05-21 07:43:29,@Faaltu_Gyaan ramdev ya nirmal😂😂😂
733925469934911488,2016-05-21 07:40:42,"@aman198297 @matolkur @shagnick_misra @sid_greatest @Pakilander 
Baba Ramdev is mortal
This is guaranteed by Allah! https://t.co/viQ089KgYd"
733924641723539456,2016-05-21 07:37:24,"Food Plate in Just Rs. 5 https://t.co/YS3M9YcB4A via @YouTube
40 crore logoN ko aise bhjan ki jarurat h
#harmindar_sahab #baba_ramdev"
733922995996139520,2016-05-21 07:30:52,"सीमा नही खींची जाती है कागज की लकीरो पे 
ये तो घटती बढती रहती है वीरो के शमशीरो से
भारत माता की जय 
जय हिंद https://t.co/NkYflPSzf7"
733922880975720449,2016-05-21 07:30:25,"RT @sanjivsinha73: ओ तेरी😱 @aajtak के पास तो आज होने वाले कांग्रेसी भाषण का पूरा स्क्रिप्ट है😱

आधिकारिक प्रवक्ता चैनल👇

#नमो_नमः https://t…"
733921997135175680,2016-05-21 07:26:54,"Yoga et marketing clés du succès pour le gourou indien Baba Ramdev via @LaMatinale_M 
https://t.co/uXeRlVArbS https://t.co/dnDXzUrdZd"
733920793122476032,2016-05-21 07:22:07,"RT @amitbalyan5004: सुन पगली 
बोल दे अपने पापा को
कि सिक्योरिटी  बढ़ा दे तेरी
क्योंकि  आज मेरी  मम्मी ने कह दिया है
की बहु  छोरे के पसँद…"
733920646674124800,2016-05-21 07:21:32,RT @PIB_India: Apple CEO Mr. Tim Cook calls on PM Shri @narendramodi in New Delhi. https://t.co/XeXpundC5n
733920568618168320,2016-05-21 07:21:13,"RT @shreha211985: Retweeted TIMES NOW (@TimesNow):

IN PIC: BJP MP Tarun Vijay injured in a scuffle outside Silgur Devta Temple,... https:/…"
733920482060324864,2016-05-21 07:20:53,"RT @JkJkbabu6707: साँई इतना दिजिये , जामे कुटुंम्ब समाय ,
मैं भी भूखा ना रहू , साधु ना भूखो जाय !! https://t.co/QcCGC2qBDm"
733920421284843520,2016-05-21 07:20:38,"RT @IronMan_42: अजहर मूवी में रवि शास्त्री को एक नंबर का लड़कीबाज दिखाया गया है ,बस पूरी मूवी में मुझे एक यही सच्चाई नजर आई 😁😁"
733920383166861312,2016-05-21 07:20:29,Abp news narendra Modi swami ramdev Nita Ambani https://t.co/2fpzAQ6JT8
733920359741816832,2016-05-21 07:20:24,"RT @KanhaiyaKapoor1: AIDMK नेताओ को बार बार जुकने से कमर में  दर्द ,कसम से मूव या इओदेक्स लगाना पड़ेगा @ydspeaks  #हम_में_है_राजीव https://…"
733920322085392384,2016-05-21 07:20:15,"RT @anvay_dubey1604: मोदीजी नेगाना जारी किया,बहुत2बधाई!!🇮🇳🇮🇳
मेरा देश बदल रहा है,आगे बढ़ रहा है,
😁😁
मेरी उपलब्धियों पर,विपक्ष जल रहा है htt…"
733920269467815936,2016-05-21 07:20:02,"RT @sujan_gurjar: लहू देकर तिरंगे की बुलन्दी को संवारा है। 
फरिश्ते हो तुम वतन के, तुम्हें सजदा हमारा है।। 
#हम_में_है राजीव https://t.co/U…"
733920254276034560,2016-05-21 07:19:58,RT @ShuklaRajiv: Wishing all on the occasion of Buddha Purnima. The path shown by Lord Buddha is the solution to the problems of the presen…
733919941804576768,2016-05-21 07:18:44,"RT @ZeeNewsHindi: वकील की हत्या से पहले NDMC उपाध्यक्ष ने दी थी धमकी: APP
https://t.co/Xhbiijx7sq https://t.co/v5zLFlJsw4"
733919830345154561,2016-05-21 07:18:17,RT @punjabkesari: #Assam में #BJP की जीत से बहुत से लोग हुए होंगे हैरान : #PMModi https://t.co/rTetTsc8Wr @narendramodi @BJP4India https://…
733919740368936960,2016-05-21 07:17:56,"The Congretulation 
Very good https://t.co/ZtCZhp29Q5"
733919395626520576,2016-05-21 07:16:34,RT @ETVRajasthan2: #रामदेवरा-52 डिग्री के तापमान में भी लोग जीने को मजबूर.बिना बिजली के भीषण गर्मी में लोग जीने को मजबूर.बाहला गांव में न…
733919330195406848,2016-05-21 07:16:18,"RT @KnpManu: मोदी जी ~दोस्तों कांग्रेस कही दिख नहीं रही अब कहा सफाया करूँ
जनता ~सर न ढूढे अब बची हुई अपने घोटालो से साफ होगी https://t.co/F…"
733919222808621056,2016-05-21 07:15:52,RT @MissionUP2017: #ModifiedBharat का पहला लक्ष्य भ्रष्टाचार से भारत को मुक्ति दिलाना था जो कांग्रेस मुक्त भारत के रूप में कर दिखाया https:…
733919125114851328,2016-05-21 07:15:29,"RT @politicalSci_: जिसकी तलवार की छनक से 
अकबर का दिल घबराता था
वो अजर अमर वो शूरवीर
महाराणा कहलाता था... https://t.co/5P7LsE9cCK"
733918992470056960,2016-05-21 07:14:58,"RT @perfect_Romeo: #देशद्रोही_कन्हिया_लाल के भरोसे बंगाल,केरल फ़तह करने चले थे
देश की जनता ने नकार दिया।।
।
#जय_हिन्द https://t.co/A4XPHFpk…"
733918829424877568,2016-05-21 07:14:19,"RT @perfect_Romeo: 🚩अजीब रिवाज़ है हमारे देश का नियत आदमियो की ख़राब होती है और घूंघट औरतो से निकलवाते है 🚩
💐
#जय_हिन्द🚩
💐
#swt_दिनु🚩 https…"
733916739956801536,2016-05-21 07:06:00,"Baba Ramdev, maître yogi du marketing « made in India » https://t.co/QmxkTQgeDn"
733916619072626688,2016-05-21 07:05:32,"Confused what's more famous in Lonavala now,
'Original and The Best Maganlal Chikki' or 'Baba Ramdev's Patanjali'!! #PromotionalAsan"
733914255423090688,2016-05-21 06:56:08,"[#Strategy #Marketing] Baba Ramdev, maître yogi du marketing « made in India » https://t.co/gSnjBE1a8N"
733913127331475456,2016-05-21 06:51:39,"Baba Ramdev, maître du « made in India » https://t.co/ADS314R93D — via @LaMatinale_M"
733912852164182016,2016-05-21 06:50:34,"Ramdev forcibly admitted to ICU, put on drip - Times of India https://t.co/jB1lWO4Fc2"
733912685713063936,2016-05-21 06:49:54,"@Swamy39 I don't know asharams case but is it true that10 janpath had ordered to demoraliseHindu swamis and gurus?incldg ramdev,Sri Sri etc"
733910822661947392,2016-05-21 06:42:30,"@Swamy39 @kumarashu10 
Calling own follower TDK Chela isnt reasonable. V expect decency frm sadhu like Ramdev but Sadhu surrounded by women?"
733910563215007744,2016-05-21 06:41:28,"@abpnewshindi @dibang @yogrishiramdev 
Abh Baba Ramdev"" Baba nahi Rahe"" clever Business Man ban chuke hai"" 
Jhutt Bolne mai PHD Ki hui hai"
733910560719265792,2016-05-21 06:41:27,RT @Ra_Bies: Modern and classy women use Baba Ramdev's Keshkranti shampoo kept in L'Oreal bottles
733909723775434752,2016-05-21 06:38:08,Narendra Modi swami ramdev https://t.co/i4DGeZcJQA
733909242072190976,2016-05-21 06:36:13,Narendra Modi swami ramdev Nita Ambani @ashwariya_rai ashwariya rai https://t.co/PdIalHAf7f
733907701957197824,2016-05-21 06:30:06,Food Precautions &amp; Healthy Eating Habits For Strong Metabolism | Proper Diet Plan | Baba Ramdev  https://t.co/OSedWloT5N
733907217770938369,2016-05-21 06:28:10,RT @iRadhikaa: Beard wale guyzz pasand hai iska Matlab not about baba ramdev
733906423659134977,2016-05-21 06:25:01,"RT @DrGPradhan: 34

Do u know Desh Bandhu Gupta? if u can scroll old videos he has given a hint in one of the rallies of Ramdev

#CongDestr…"
733906274220441600,2016-05-21 06:24:25,"Baba Ramdev, maître du « made in India » https://t.co/8zZWzu8jHJ — via @LaMatinale_M"
733906244776398848,2016-05-21 06:24:18,RT @digvijaya_28: https://t.co/KsCz4IhSd7
733906063515344897,2016-05-21 06:23:35,RT @Re_Bites: Is it true that Mr. Tyagi's Son is Bihar distributor of Hindustan Unilever? He had targeted Baba Ramdev through Parliament? #…
733905594042712064,2016-05-21 06:21:43,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733905505224007680,2016-05-21 06:21:22,Is it true that Mr. Tyagi's Son is Bihar distributor of Hindustan Unilever? He had targeted Baba Ramdev through Parliament? #News24Conclave
733905267163729920,2016-05-21 06:20:25,@news24tvchannel Is it true that Mr. Tyagi's Son is Bihar distributor of Hindustan Unilever? He had targeted Baba Ramdev through Parliament?
733903494462214144,2016-05-21 06:13:23,@nitin_gadkari swami ramdev narendra Modi https://t.co/mllq9HKma3
733903192673554432,2016-05-21 06:12:11,RT @newsinvidsin: ABP News: Do not miss Baba Ramdev in Press Conference… https://t.co/Fvy1jtZMHT | https://t.co/9p985rWI4I #NewsInVids http…
733902589725540354,2016-05-21 06:09:47,#yoga Shilpa Shetty (Actress) performs Yoga with Swami Ramdev | Yog ... - https://t.co/KtpM9lMrDA #RT #Retweet https://t.co/kpb5mDZ90u
733902211491602433,2016-05-21 06:08:17,"Sat, May 21, 2016 
 
Daily Newsletter 

#TopStories 
•  6 times when Baba Ramdev took potshots at multi-national... https://t.co/LsElbErTHw"
733901316704088064,2016-05-21 06:04:43,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900659775266817,2016-05-21 06:02:07,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655778111489,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655752925184,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655740362752,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655736152066,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655736152064,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655731965952,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655731953667,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655727804416,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655723610112,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655723569153,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655723569152,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655710994434,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655706836992,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655706791936,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655643918336,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655639691265,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655639683072,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655601979393,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900655601946624,2016-05-21 06:02:06,"RT @ananyamukherjee: .@yogrishiramdev, @amazonIN’s Amit Agarwal listed among most #creative people in business https://t.co/lz72gQQT1Q"
733900558977798146,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558960984064,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558944198656,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558944194561,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558935826432,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558927466496,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558927437825,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558927433728,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558927429633,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558927429632,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558923223040,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558906458114,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558898077696,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558877134849,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900558851964928,2016-05-21 06:01:43,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900557350363142,2016-05-21 06:01:42,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900557325238273,2016-05-21 06:01:42,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900557300031489,2016-05-21 06:01:42,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900557262295040,2016-05-21 06:01:42,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733900557258133504,2016-05-21 06:01:42,"RT @khalidrafiq141: Ramdev wishes to invest in drought-hit Bundelkhand, seeks Akhilesh govt’s help https://t.co/KqhhNQA3iL"
733899797535457280,2016-05-21 05:58:41,"Baba Ramdev, maître yogi du marketing « made in India » - Le Monde https://t.co/faXaZFpxw2 https://t.co/l8cb9yOtGc"
733898859156377600,2016-05-21 05:54:57,"RT @8beedb8223a84e9: Who are selling them, adani, ambani, ramdev all friends of @narendramodi https://t.co/6pZ3tb6Yis"
733898718748024832,2016-05-21 05:54:24,"Baba Ramdev, maître yogi du marketing « made in India » - Le Monde https://t.co/c45NLRtTn9"
126226704288071680,2011-10-18 09:22:46,"आंजना, चौधरी ,पटेल ,कलबी में से उपयुक्त जाति कोनसी है ? आप की किया राये है.. (poll 4920629) | http://t.co/vOspwLDK http://t.co/9ASdx3pj"
