id,created_at,text
736525214448656384,2016-05-28 11:51:09,AIB's Tanmay Bhatt morphs into Sachin Tendulkar &amp; Lata... https://t.co/7dcuZ0I3Wn https://t.co/9UwCybHDQR
736523705174622208,2016-05-28 11:45:09,The @British_Airways @sachin_rt Twitter gaffe surfaces larger social #CustomerService issues by @SimpliFlying https://t.co/7EiDYSkxkx
736523450655723524,2016-05-28 11:44:09,AIB's Tanmay Bhatt morphs into Sachin Tendulkar &amp; Lata... https://t.co/Wddbke9DFp https://t.co/ULZM9Okc56
736522509432938496,2016-05-28 11:40:24,"RT @ViratMyLife: Sachin Tendulkar - ""Virat Kohli is a special talent"" :)

When your Idol praises you...one of the Proudest feelings ❤🎀
@sac…"
736522024957317121,2016-05-28 11:38:29,"From Virat Kohli Gym to Sachin Tendulkar Room, ACA... https://t.co/2pMP9pEBDl https://t.co/lzBKi2jfvn"
736518183025135620,2016-05-28 11:23:13,"Bae : All of sudden why u follow Serena on insta ??

Me : Mladenovic is a hard name to remember.

Bae : So was Sachin Tendulkar. 

Me: Okay."
736517543813255169,2016-05-28 11:20:40,Sachin Tendulkar Launches True Blue Store in Mumbai. #BeTrueBlue https://t.co/Zn58VT0Ytn
736515115600646144,2016-05-28 11:11:02,RT @NewsTrackLive: क्रिकेट के भगवान ने बताया कोहली की सफलता का राज ! https://t.co/mFNss1Y1g4 https://t.co/36WaHVXW0E
736514382893486080,2016-05-28 11:08:07,AIB's Tanmay Bhatt morphs into Sachin Tendulkar &amp; Lata... https://t.co/k6cJhkYzlO https://t.co/Gr1wpUF8OX
736513720369582080,2016-05-28 11:05:29,"RT @mayankluv70: Lucky to be born in the era of these legends

Dr. Apj Abdul Kalam
Atal Bihari Vajpayee
Sachin Tendulkar"
736511863400202240,2016-05-28 10:58:06,AIB's Tanmay Bhatt morphs into Sachin Tendulkar &amp; Lata... https://t.co/KEwUZf8Poe https://t.co/OtpQFs7iYr
736511073940045824,2016-05-28 10:54:58,@prasadpotale @shoaib100mph Even Sachin Tendulkar played for Pakistan in a practice match
736510270432890880,2016-05-28 10:51:46,#मास्टर_ब्लास्टर #सचिन_तेंदुलकर ने की #कोहली की #तारीफ https://t.co/DEXhamKWcn
736509789585461248,2016-05-28 10:49:52,Sachin Tendulkar batted 70020 Minutes For India😊 https://t.co/5PkZ7Vh9qh
736509446025711619,2016-05-28 10:48:30,SEE VIDEO! Sachin Tendulkar Punishes Australian Bowlers 175... https://t.co/Dl2R5EYY44 https://t.co/1IZ97ZAzOS
736507430436102144,2016-05-28 10:40:29,SEE VIDEO! sachin tendulkar 200 runs highlights full video... https://t.co/LJf9HXgmhv https://t.co/fYKRgvEgxC
736507413893775360,2016-05-28 10:40:25,Sachin Tendulkar's biopic will be one of the most watched... https://t.co/01CQlH5bSz https://t.co/0mraGiPWcR
736507226479726594,2016-05-28 10:39:41,Sachin Tendulkar's biopic will be one of the most watched... https://t.co/cDNNeH8Zg9 https://t.co/tg7iQNRKp2
736505831286550529,2016-05-28 10:34:08,"#SachinTendulkar Praises #viratkohli , Says He Has Talent, Discipline, And Commitment https://t.co/lGbEUezYiQ https://t.co/1epT0dpJ6d"
736504911043534848,2016-05-28 10:30:29,SEE VIDEO! *SHARJAH SACHIN GOLD!* Sachin Tendulkar BALL BY... https://t.co/2fZph1RrFB https://t.co/3V53Omqkda
736502894778716161,2016-05-28 10:22:28,SEE VIDEO! CLASSIC! Sachin Tendulkar - 98 off 75 vs... https://t.co/pAV7kTp9ta https://t.co/Kk8F8cRTfJ
736502439537303552,2016-05-28 10:20:39,AIB's Tanmay Bhatt morphs into Sachin Tendulkar &amp; Lata... https://t.co/QsXa27xTpy https://t.co/dt5b9T6TjC
736501066037104640,2016-05-28 10:15:12,तंत्राशी तडजोड न करता सरळ बॅटने खेळणे हे कोहलीचे वैशिष्टय़ – सचिन : https://t.co/sSLphNVYnB #viratkohli #SachinTendulkar @LoksattaLive
736499859071455232,2016-05-28 10:10:24,AIB's Tanmay Bhatt morphs into Sachin Tendulkar &amp; Lata... https://t.co/xKqT1xOhTh https://t.co/2ohMH8tyRw
736499549053669377,2016-05-28 10:09:10,Sachin Tendulkar's biopic: AR Rahman excited... https://t.co/URfe5IqrYu https://t.co/308EcbJgki
736499196736376832,2016-05-28 10:07:46,"RT @ViratMyLife: Sachin Tendulkar - ""Virat Kohli is a special talent"" :)

When your Idol praises you...one of the Proudest feelings ❤🎀
@sac…"
736498108176027648,2016-05-28 10:03:27,SEE VIDEO! How to hold a cricket bat  by Sachin Tendulkar..... https://t.co/JdUsH9pe5t https://t.co/YML89tsdXJ
736497701747970048,2016-05-28 10:01:50,Sachin Tendulkar's biopic: AR Rahman excited... https://t.co/lFErOW3UJ6 https://t.co/aDDaq7XfMo
736497179746000896,2016-05-28 09:59:45,"RT @mohanstatsman: Youngest to 10000 Test runs
31y-326d - Sachin Tendulkar
31y-154d - Alastair Cook (9995* runs!)
#EngvSL"
736494777231802368,2016-05-28 09:50:12,കുക്കിന് മുന്നിൽ വീഴാതെ സച്ചിന്റെ റെക്കോർഡ് 'ഒരിക്കൽക്കൂടി' ഭദ്രം #SachinTendulkar https://t.co/lkLbGoQKaz
736491995313606656,2016-05-28 09:39:09,"RT @ViratMyLife: Sachin Tendulkar - ""Virat Kohli is a special talent"" :)

When your Idol praises you...one of the Proudest feelings ❤🎀
@sac…"
736491462028845056,2016-05-28 09:37:02,क्रिकेट के भगवान ने बताया कोहली की सफलता का राज ! https://t.co/mFNss1Y1g4 https://t.co/36WaHVXW0E
736490215678693376,2016-05-28 09:32:05,"RT @timesofindia: #DesertStorm This day, that year: @sachin_rt at his finest in Sharjah  https://t.co/DErMMIYrr2 via @TOISportsNews https:/…"
736489845476954113,2016-05-28 09:30:37,"RT @ViratMyLife: Sachin Tendulkar - ""Virat Kohli is a special talent"" :)

When your Idol praises you...one of the Proudest feelings ❤🎀
@sac…"
