id,created_at,text
739279301040844800,2016-06-05 02:14:55,Sachin Tendulkar is India's Don... https://t.co/VUko2UZu5U #Cricket #donbradman #legendtendulkar #SachinTendulkar #tendulkarbradman
739267867280060416,2016-06-05 01:29:29,@virendersehwag @SirSehwag @YUVSTRONG12 @sachintendulkar @SAURAVGANGULYKR @henrygayle @viratkohli_x @shahidafridi37 @aajtak @abpnewstv
739265768202850305,2016-06-05 01:21:08,SEHVAG'S-Terror Continue in T-20 Cricket...@virendersehwag @SirSehwag @YUVSTRONG12 @sachintendulkar @SAURAVGANGULYKR https://t.co/6USHgTVhsZ
739252462972964865,2016-06-05 00:28:16,I grew up looking at my father as to how to behave. In watching him I ... #SachinTendulkar #passage https://t.co/L4o6W1J3nL
739233253517758464,2016-06-04 23:11:56,Inspirational quotes by @sachin_rt  #IndianCricketer #SachinTendulkar #inspiringleaders  #motivational  #sunday https://t.co/647hMLfSoQ
739168535138734082,2016-06-04 18:54:46,"Watch videos 
On YouTube/ video Stawberry

#Sachintendulkar #nagarjuna #chiranjeevi... https://t.co/ACFRQSlmG9 https://t.co/xhL9fA2jIW"
739168471133609985,2016-06-04 18:54:31,"Watch videos 
On YouTube/ video Stawberry

#Sachintendulkar #nagarjuna #chiranjeevi... https://t.co/B3G55hCwex https://t.co/aX9ClTcOb2"
739168400878997504,2016-06-04 18:54:14,"Watch videos 
On YouTube/ video Stawberry

#Sachintendulkar #nagarjuna #chiranjeevi... https://t.co/tkfjrrp2Th https://t.co/CSpSTx8gPq"
739168340464275456,2016-06-04 18:54:00,"Watch videos 
On YouTube/ video Stawberry

#Sachintendulkar #nagarjuna #chiranjeevi... https://t.co/lp9Xzix60m https://t.co/qFPsyn80Q5"
739168263263899648,2016-06-04 18:53:41,"Watch videos 
On YouTube/ video Stawberry

#Sachintendulkar #nagarjuna #chiranjeevi... https://t.co/I3396GOFNF https://t.co/ws2c3JzZh5"
739168202878558208,2016-06-04 18:53:27,"Watch videos 
On YouTube/ video Stawberry

#Sachintendulkar #nagarjuna #chiranjeevi... https://t.co/uL7KFl4Bgc https://t.co/fErYoNzPe9"
739168142300176384,2016-06-04 18:53:12,"Watch videos 
On YouTube/ video Stawberry

#Sachintendulkar #nagarjuna #chiranjeevi... https://t.co/A7EDfO9TTP https://t.co/7Tu2LqcJq8"
739157256277630977,2016-06-04 18:09:57,#football messi #cricket sachintendulkar #boxing m.ali... #RIPMohammedali
739151001354002432,2016-06-04 17:45:06,RT @Hero_Electric: #TanmayBhatt roasted #SachinTendulkar and people thought #ItsNotFunny. We wonder if there are better issues to raise thi…
739149276928872448,2016-06-04 17:38:15,RT @RoopBhinderr: Happy Birthday Sachin! #SachinTendulkar https://t.co/tmosfQsW2Y
739143963739820033,2016-06-04 17:17:08,RT @RJV4U: My Inspirations since childhood #SachinTendulkar #Chiranjeevi https://t.co/4C7Ir5Sx6c
739138168021213184,2016-06-04 16:54:06,RT @RJV4U: My Inspirations since childhood #SachinTendulkar #Chiranjeevi https://t.co/4C7Ir5Sx6c
739126802619203584,2016-06-04 16:08:56,RT @vips4realestate: yea. #SachinTendulkar is also Great Hockey Player who won 3 Hockey World Cup for India. https://t.co/CJbD4bK0B1
739125363607900160,2016-06-04 16:03:13,"Whoever this #tanmaybhat is , how can he evn think of making fun of legends  like  #LataMangeshkar n #SachinTendulkar"
739109714487713792,2016-06-04 15:01:02,"#SachinTendulkar - #RahulDravid
https://t.co/uu4vOvDbWt https://t.co/J7hVEppybv"
739108370313924608,2016-06-04 14:55:42,"RT @eenadulivenews: ఆ దిగ్గజం.. సచిన్‌ చిన్ననాటి హీరో! 
https://t.co/4DivOdnDhr
#SachinTendulkar #MuhammedAli #Tributes https://t.co/6bYh2d…"
739104460929159168,2016-06-04 14:40:10,"Sachin's Magic Fails as Cook breaks 10,000 run Record - https://t.co/qpejSufTfb #Cricket #ENGvSRI #AlistairCook #SachinTendulkar #Record"
739085386090061825,2016-06-04 13:24:22,"ఆ దిగ్గజం.. సచిన్‌ చిన్ననాటి హీరో! 
https://t.co/4DivOdnDhr
#SachinTendulkar #MuhammedAli #Tributes https://t.co/6bYh2dJWt6"
739071871207903232,2016-06-04 12:30:40,RT @Hero_Electric: #TanmayBhatt roasted #SachinTendulkar and people thought #ItsNotFunny. We wonder if there are better issues to raise thi…
739063558407757825,2016-06-04 11:57:38,#sachinviratcricketcarnival #sachintendulkar #dlfmallofindia #sachinatsmaaash #smaaashnoida https://t.co/u1VA48apLx
739043607437578240,2016-06-04 10:38:21,I always had a dream to play for India but I never let it put pressure... #SachinTendulkar #extract https://t.co/NTNIlmyyyS
739035926538522624,2016-06-04 10:07:50,"Sunil Pal ji, yahan aap sachin ka mazak nahi uda rahe? please watch from 3:14. @thetanmay #sunilpal #sachintendulkar https://t.co/j7T6xdALoC"
739007495989927942,2016-06-04 08:14:51,"RT @furnituredekho: Sachin Tendulkar: The GOD of Cricket owns a Heavenly Shell House
https://t.co/ViXr3Ldu5U
#sachintendulkar #interior htt…"
738997559054761984,2016-06-04 07:35:22,yea. #SachinTendulkar is also Great Hockey Player who won 3 Hockey World Cup for India. https://t.co/CJbD4bK0B1
738991904147181568,2016-06-04 07:12:54,"#SachinTendulkar, #AbhinavBindra Back #NitaAmbani's Nomination To The #IOC.
https://t.co/XsCLHxmDDL https://t.co/c8EAlP11YE"
738977964717539328,2016-06-04 06:17:30,"RT @Kiran_Khedekar: Kohli can never be 2nd #SachinTendulkar. 
He's the 1st &amp; only #Virat, just like we had 1st &amp; only Sachin! 

#IndvsPak #…"
738958938109005824,2016-06-04 05:01:54,"The latest SRT Times - Past, Present &amp; Future.! https://t.co/OxXH5zueLT Thanks to @reeteedixit @testfor2306 @ADailyDealsApp #sachintendulkar"
738920259625857024,2016-06-04 02:28:13,"As a kid I loved John McEnroe. They called me Mac because, while every... #SachinTendulkar #mention https://t.co/ILhLchCUKO"
738853004888145921,2016-06-03 22:00:58,"Sachins Magic Fails as Cook breaks 10,000 run Record - https://t.co/qpejSufTfb #Cricket #ENGvSRI #AlistairCook #SachinTendulkar #Record"
