id,created_at,text
739308752424161280,2016-06-05 04:11:56,"RT @_Manish_Pal: शिव सत्य है
शिव शक्ती है
शिव भोले है
शिव परमात्मा है
ॐ हर हर महादेव ....ॐ नमः शिवाय 
ॐ नम: शिवाय 🎪 https://t.co/bv8gSATTKi"
739308720006430720,2016-06-05 04:11:49,"RT @_Manish_Pal: मथुरा के शहीदों का मुआवजा 20 से 50 लाख किया गया
परिवार को नौकरी भी।
आखिरकार CM अखिलेश को अक्ल आ ही गयी। https://t.co/09IcL…"
739308474832584706,2016-06-05 04:10:50,9650014926 #JatAgitation
739308463180767232,2016-06-05 04:10:47,RT @GDRhonChan: What are some uncommon ways to work smarter instead of harder? by Sandeep Bhatt https://t.co/7y6D0Kkwa6
739308073261502464,2016-06-05 04:09:15,"కోచ్ పదవి రేసులో సందీప్ పాటిల్
https://t.co/bVa3PygIXb https://t.co/vI9wZUqLMh"
739308005532020736,2016-06-05 04:08:58,RT @GDRhonChan: What are some uncommon ways to work smarter instead of harder? by Sandeep Bhatt https://t.co/7y6D0Kkwa6
739307950737526784,2016-06-05 04:08:45,https://t.co/VleCOBoqex
739307902410727424,2016-06-05 04:08:34,What are some uncommon ways to work smarter instead of harder? by Sandeep Bhatt https://t.co/7y6D0Kkwa6
739307503716995073,2016-06-05 04:06:59,@shrutihaasan https://t.co/AIRjAmukBv
739306661509107712,2016-06-05 04:03:38,RT @shrutihaasan: ME https://t.co/IUj1m02qSL
739306656027140096,2016-06-05 04:03:37,RT @shrutihaasan: A night of writing with @MichelleMonicaM @michellemonicam #music #diva #purzz #midnight #work https://t.co/VeG71b4UhU
739306611953393669,2016-06-05 04:03:26,RT @shrutihaasan: this is me watching Pisaasu on #Hotstar. All Freaked out !!!!!!!#DhoolEntertainment https://t.co/mgf2vpa4xC
739306611903221760,2016-06-05 04:03:26,Chief selector Sandeep Patil applies for Indian coach’s job https://t.co/gGwV9bcdhw https://t.co/9JAoLNVxSU
739306560782929921,2016-06-05 04:03:14,RT @shrutihaasan: My song and oh btw it's my prod house too :) #happiness #music #production #letsbetheawesomeness  https://t.co/ajNmeUiggB
739306468135063552,2016-06-05 04:02:52,"RT @Capilbhargava: #वेदवाणी
खुली आँखे,अँधेरे का त्याग कर,प्रकाश पाती हैं.
बन्द मुठ्ठी,ग्रहण करने में असमर्थ है.
त्याग करिये,अन्य इच्छाओं की…"
739306445137530881,2016-06-05 04:02:46,RT @avichal_mishra: दिल्ली सरकार का कहना है कि बिजली की कोई कमी नहीं जबकि दूसरी तरफ बिजली गुल होने से परेशान लोग..सच्चाई आपके सामने है. htt…
739306418851827713,2016-06-05 04:02:40,RT @IIHITLERII: रिश्तो को प्यार की धूप ना दिखाई जाए तो अक्सर तकरार की सीलन उनमे घर बना लेती है
739306390741614592,2016-06-05 04:02:33,"RT @IIHITLERII: रेलवे का खाना,🍴
हिमेश का गाना🎤
रिश्तेदार का घर आना,
""उसका"" छोड़ जाना😢
कभी किसी को रास नहीं आता😂😂"
739306326950481920,2016-06-05 04:02:18,"केजरीवाल अपनी जिद पर 
कायम : कहा अगर मोदी जी 
गाय को माँ कहेंगे? 
तो में भैंस को बाप कहूँगा!"
739305775395282944,2016-06-05 04:00:07,"Sandeep Patil, the former India batsman and current chairman of selectors, has applied for the post of national head coach."
739305250662801408,2016-06-05 03:58:02,#RoleModelMSG.koi.rabb.ko.khi.dhundta.hai.to.koi.kahin.rabb.to.Sirsa.me.satsang.kar.raha.hai.jao.dekh.lo
739305116738551809,2016-06-05 03:57:30,@NiviSHaasan does Shruti give reply to your tweet
739304857073520640,2016-06-05 03:56:28,Chief selector Sandeep Patil applies for Indian coach’s job https://t.co/YxJvBT9ADA https://t.co/asZiAc0wRn #Market4Sports
739304179085287424,2016-06-05 03:53:46,Chief selector Sandeep Patil applies for Indian coach’s job https://t.co/crCnJHsTCu
739304082607865856,2016-06-05 03:53:23,Chief selector Sandeep Patil applies for Indian coach’s job https://t.co/crCnJHsTCu #Market4Sports https://t.co/Cs7RVQBJGM
739304013125066752,2016-06-05 03:53:06,"""https://t.co/8cJqnBmJLh"" This is the link to our payment gateway. Please send your donation... https://t.co/8dJ1ubN7sV"
739303946297057280,2016-06-05 03:52:51,RT @Anamika9090: युवाओं को देश की ताकत बनने के लिए स्वयं से लडना होगा तत्पश्चात देश के लिए जबतक स्वयं की बुराईयां दूर नहीं होंगी देश की कम…
