id,created_at,text
1109815471639920642,2019-03-24 13:53:22,"RT @rajnathsingh: Chhatrapati Shivaji Maharaj was an epitome of courage, valour and compassion. He served the people by upholding truth and…"
1109725333329199104,2019-03-24 07:55:11,"RT @LavekarBharati: At an event celebrating #shivjayanti to honour the birth of chatrapati shivaji maharaj, who remains an icon for the who…"
1109642946142310400,2019-03-24 02:27:49,A rail block is expected to happen from 11.10 am to 3.40 pm on the Kurla-Vashi Up and down harbour lines in Mumbai’… https://t.co/zZdrBNTuaT
1109503305258926086,2019-03-23 17:12:56,"@RichardDawkins Interestingly in India, this day is also celebrated as:
Shivaji Maharaj Birth Anniversary and
Bhaga… https://t.co/xPmFyu2dNg"
1109488622699450371,2019-03-23 16:14:35,"The official added that there will be a rail block on the main line, Thane-Kalyan Down slow line from 10.30 AM to 4… https://t.co/h7RC2yAFP8"
1109471609188868097,2019-03-23 15:06:59,@suhasg247 @ANI @narendramodi You’re showing old news. Modiji is the Shivaji Maharaj of India. He does not own ille… https://t.co/8iTwxGtUBD
1109468677634777088,2019-03-23 14:55:20,Today it's birthday of the great King In Indian history. Maharaj Shivaji  is 4 greatest King in Indian history. He… https://t.co/sHKRVZaGyj
1109464636015837188,2019-03-23 14:39:16,"RT @Gaathastory: On occasion of Shivaji Maharaj Jayanti, listen to a story about his life on Baalgatha Podcast @castbox_fm https://t.co/FGp…"
1109410242654171137,2019-03-23 11:03:08,RT @vishwas_01: Maharashtra Public Works Department writes to Accountants General of Maharashtra and seeks a special audit into “serious ir…
1109326767083393025,2019-03-23 05:31:26,"RT @Panipat_1761: On occasion of Sarkari #Shivjayanti ,
Check how Shivaji Maharaj's vision is relevant in our fight against Break India For…"
1109323144232222722,2019-03-23 05:17:02,"RT @rajnathsingh: Chhatrapati Shivaji Maharaj was an epitome of courage, valour and compassion. He served the people by upholding truth and…"
1109321976655409152,2019-03-23 05:12:24,"#
Chhatrapati Shivaji maharaj was not only a great warrior but also an equally great administrator. He was the epit… https://t.co/bCUfz2DEQC"
1109315241135865857,2019-03-23 04:45:38,"RT @Panipat_1761: On occasion of Sarkari #Shivjayanti ,
Check how Shivaji Maharaj's vision is relevant in our fight against Break India For…"
1109313648252485633,2019-03-23 04:39:18,"RT @Panipat_1761: On occasion of Sarkari #Shivjayanti ,
Check how Shivaji Maharaj's vision is relevant in our fight against Break India For…"
1109313172563853313,2019-03-23 04:37:25,"RT @Panipat_1761: On occasion of Sarkari #Shivjayanti ,
Check how Shivaji Maharaj's vision is relevant in our fight against Break India For…"
1109196719290368000,2019-03-22 20:54:40,"Emperor of india....the only emperor loved by all societies, even the foreigners rivals of his time. Words are too… https://t.co/GEO9v5iFVO"
1109175233548713984,2019-03-22 19:29:17,RT @PumpiNsui: We honour the contributions of Chhatrapati Shivaji Maharaj who laid the foundations of the Maratha empire in India. He was a…
