id,created_at,text
1109802463484243971,2019-03-24 13:01:41,"RT @MilinDesai05: @sehgal_anshuman @sanjaysp8888 @Hitesh6798 @panchalb31 Politics, by name is negative word....
Everyone is neither Sachin…"
1109800090472984576,2019-03-24 12:52:15,"RT @MumbaiIndiansTN: Rt - If You Miss This Man 

#Sachin #Tendulkar #SRT #MumbaiIndians #MI #MumbaiIndiansTN https://t.co/hljZ4fbI6O"
1109798608302280706,2019-03-24 12:46:21,This is how greatness of Sachin Tendulkar will become your greatness -- https://t.co/jKO3CjEO4C https://t.co/SQxcU7Dfx7
1109797313696985088,2019-03-24 12:41:13,"RT @NaveedRed: @ameeksha Better than Tendulkar, on course to be the greatest ever in the game. Why won't anyone love him."
1109791519576387590,2019-03-24 12:18:11,"RT @CrickeTendulkar: #OnThisDay 2011 India V Australia WC QF
Sachin Tendulkar Became First Player To Reach 18000 ODI Runs💪
FACT- @sachin_rt…"
1109790116858482688,2019-03-24 12:12:37,Wery nic Yuvraj Singh: I’m excited to play in front of the Mumbai crowd https://t.co/lHJrN4eMVi via @sportstarweb
1109789842005737473,2019-03-24 12:11:31,RT @luvsalimkhan: There should be no debate there is no divide. The whole industry is with Lataji and Tendulkar. They are our national trea…
1109787603526516736,2019-03-24 12:02:38,The memoribilia in Sreesanth's bat and bowl inn including the cricket bat given to him by Sachin Tendulkar. This me… https://t.co/OLdVBRaNqm
1109786437958852608,2019-03-24 11:58:00,"RT @CrickeTendulkar: Master with His Proud Student ! @sachin_rt and @ImRo45.
God Of Cricket Sachin Tendulkar &amp; Hitman Captain Rohit Sharma.…"
1109782865519087616,2019-03-24 11:43:48,@VedankSingh @bhaiyyajispeaks Damn agreed including tendulkar and their presence in parliament is also very poor wh… https://t.co/2szjQMtkvF
1109779916139065344,2019-03-24 11:32:05,"RT @CrickeTendulkar: Master with His Proud Student ! @sachin_rt and @ImRo45.
God Of Cricket Sachin Tendulkar &amp; Hitman Captain Rohit Sharma.…"
1109779091345932288,2019-03-24 11:28:48,"RT @republic: #IPL2019 | This photo of Sourav Ganguly, Sachin Tendulkar and Mahela Jayawardene together is sure to make cricket fans go bac…"
1109777719225516033,2019-03-24 11:23:21,"RT @CrickeTendulkar: Master with His Proud Student ! @sachin_rt and @ImRo45.
God Of Cricket Sachin Tendulkar &amp; Hitman Captain Rohit Sharma.…"
1109776876858298368,2019-03-24 11:20:00,"@sehgal_anshuman @sanjaysp8888 @Hitesh6798 @panchalb31 Politics, by name is negative word....
Everyone is neither S… https://t.co/Pdhq8GbB1l"
1109776121183326209,2019-03-24 11:17:00,"RT @republic: #IPL2019 | This photo of Sourav Ganguly, Sachin Tendulkar and Mahela Jayawardene together is sure to make cricket fans go bac…"
1109775820858499073,2019-03-24 11:15:48,"RT @republic: #IPL2019 | This photo of Sourav Ganguly, Sachin Tendulkar and Mahela Jayawardene together is sure to make cricket fans go bac…"
1109775703954714624,2019-03-24 11:15:21,RT @jokebazz: Yes. Sachin Tendulkar's straight drive. https://t.co/G3O8vRCsY5
1109775400337473536,2019-03-24 11:14:08,"#IPL2019 | This photo of Sourav Ganguly, Sachin Tendulkar and Mahela Jayawardene together is sure to make cricket f… https://t.co/y75PWcjGeM"
