id,created_at,text
736994719964663808,2016-05-29 18:56:48,RT @USEmbassy_Pak: Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736993839173513216,2016-05-29 18:53:18,RT @AnahaqImtruth: All Most Wanted Muslim Terrorists Found Dead Or Alive In Terrorist Havean Islamic Pakistan #ختم_نبوتؐ_ہمارا_ایمان https:…
736993632578740224,2016-05-29 18:52:29,"RT @Mitalishah121: टीचर : मुहावरे का अर्थ अंग्रेज़ी में
प्रशस्त करें
""चोर के घर चोरी""
स्टुडेन्ट : Terrorist attack in Pakistan...
#मिताली_…"
736993412084273152,2016-05-29 18:51:36,RT @USEmbassy_Pak: Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736992892816752640,2016-05-29 18:49:32,RT @USEmbassy_Pak: Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736992003670564865,2016-05-29 18:46:00,RT @USEmbassy_Pak: Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736991933596377088,2016-05-29 18:45:44,RT @USEmbassy_Pak: Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736991527965065218,2016-05-29 18:44:07,RT @USEmbassy_Pak: Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736989161769598977,2016-05-29 18:34:43,Ammunition seized: Police arrest alleged TTP terrorist   https://t.co/HeZpU2NtXC #FurorePK #Pakistan
736989017112076289,2016-05-29 18:34:08,Ammunition seized: Police arrest alleged TTP terrorist   https://t.co/zjZpHHmAYX #pakistan
736987966174724097,2016-05-29 18:29:58,Ammunition seized: Police arrest alleged TTP terrorist  : Jabbar was constantly in touch ... https://t.co/7nD0QYFRBr #pakistan #business
736987959719661568,2016-05-29 18:29:56,#Pakistan Business Ammunition seized: Police arrest alleged TTP terrorist   https://t.co/egVfLdb6ld
736987951725318144,2016-05-29 18:29:54,Ammunition seized: Police arrest alleged TTP terrorist   https://t.co/2cI8qtzazL #Pakistan #News
736986229070303233,2016-05-29 18:23:04,Pakistan won't able do much of these terrorist activities w/o support from US -billions in cash/arms.US backs Pak. https://t.co/5mDEVwBDYP
736983336606965760,2016-05-29 18:11:34,RT @USEmbassy_Pak: Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736982243248201728,2016-05-29 18:07:13,"Really ? Only a nuclear thief &amp; terrorist will yap like that ! Prompted by China or US ?
https://t.co/RL28fAxz31  https://t.co/ZR2JMNXITw"
736980542671851520,2016-05-29 18:00:28,"Why Only Raghuram Rajan, Congress has Faith on Batla House Terrorist, Pakistan &amp; Taliban also#"
736979850913714177,2016-05-29 17:57:43,Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks within their territo... https://t.co/RTh1VcL8dC #etribune
736979831087194112,2016-05-29 17:57:38,Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks within their territo... https://t.co/bPAIMFL2tt #etribune
736979821650006016,2016-05-29 17:57:36,Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks within their territo... https://t.co/JqhZLBmtru #etribune
736979483152900101,2016-05-29 17:56:15,EAT MORE BACON Regional rapport: Afghans continue to blame Pakistan for all terrorist attac... https://t.co/tpD2DmNkYu #rochdale #oldham
736976690581143552,2016-05-29 17:45:10,EAT MORE BACON Regional rapport: Afghans continue to blame Pakistan for all terrorist atta... https://t.co/0ArT24qpIZ #rochdale #heywood
736974200473288704,2016-05-29 17:35:16,Bihar &amp; UP has become safe Heaven for criminals like Pakistan for terrorist!!!!!!!
736971797606727680,2016-05-29 17:25:43,Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks within the... https://t.co/cP16g1TBA6 #pakistan #business
736971078388551680,2016-05-29 17:22:52,RT @USEmbassy_Pak: Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736970746459652097,2016-05-29 17:21:32,RT @EconAsia: Afghan leaders had long wanted America to take the war against the Taliban to Pakistan https://t.co/vPcMTtVIZp
736968305286602752,2016-05-29 17:11:50,"And u never agree that terrorist come to India from Pakistan.
@MehrTarar 1"
736967954739273728,2016-05-29 17:10:27,#TheExpressTribune Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks w... https://t.co/OjCO2V4pRe #Pakistan
736967940554129408,2016-05-29 17:10:23,"Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks within their territory
The pos... https://t.co/x4UzbbSfks"
736967934547890176,2016-05-29 17:10:22,&gt; Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks within ... https://t.co/5HEluLASPh #rochdale #bury #pig
736967913307963392,2016-05-29 17:10:17,"Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks within their territory
The pos... https://t.co/RLapGcrj6H"
736967904499896320,2016-05-29 17:10:15,Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks within their t... https://t.co/inzIGttfxX #pakistan #news
736967328399785984,2016-05-29 17:07:57,https://t.co/RqbjE4eQea
736966254099996673,2016-05-29 17:03:41,"Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks within their territory
The post Regional rapport appea..."
736965305558175744,2016-05-29 16:59:55,"Regional rapport: Afghans continue to blame Pakistan for all terrorist attacks within their territory
The pos... https://t.co/lNkoYSFhd3"
736964510901116928,2016-05-29 16:56:46,US won't tolerate terrorist safe havens in Pakistan: Ex-Envoy... https://t.co/49iDc6929m https://t.co/k75XmZNnhM
736962363908358144,2016-05-29 16:48:14,Afghan leaders had long wanted America to take the war against the Taliban to Pakistan https://t.co/vPcMTtVIZp
736961701635989504,2016-05-29 16:45:36,"RT @anandapoudel6: टीचर : तलको उखानलाइ अंग्रेजिमा प्रस्ट पार
""चोरको घरमा चोरी""
स्टुडेन्ट : Terrorist attack in Pakistan😉"
736961092581220352,2016-05-29 16:43:11,US won't tolerate terrorist safe havens in Pakistan: Ex-Envoy... https://t.co/k5zBlQRpoL https://t.co/tCQTXF8oW5
736960652821028864,2016-05-29 16:41:26,"Add Pakistan to list of terrorist states, Afghan MPs urge United Nations"
736958867070955521,2016-05-29 16:34:20,RT @USEmbassy_Pak: Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736958546676305920,2016-05-29 16:33:04,RT @USEmbassy_Pak: Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736958376899403777,2016-05-29 16:32:23,RT @RT_Erdogan: I strongly condemn the terrorist attack that took place in Lahore yesterday. Turkey stands by Pakistan as it always has bee…
736957062974967808,2016-05-29 16:27:10,May   Allah   save pakistan  from satan fazlu  diesel internationally he is a terrorist he himself  licks the shoes of Jews and chritians
736956588427251712,2016-05-29 16:25:17,"RT @WSCP1: Not *terrorist* Obama? - Flashback: Taliban go on killing spree at Pakistan school, 132 students dead https://t.co/XjEZSLpXY0 #t…"
736956476560834561,2016-05-29 16:24:50,"Not *terrorist* Obama? - Flashback: Taliban go on killing spree at Pakistan school, 132 students dead https://t.co/XjEZSLpXY0 #tcot #PJNet"
736955987186356225,2016-05-29 16:22:53,Will talk to President Obama to declare Pakistan as a ' Terrorist country'
736954007411908608,2016-05-29 16:15:01,"Pakistan govt. needs to seriously step up its game against all terrorist orgs. that are using Pakistani land, resources, funds &amp; transport."
736952356575678465,2016-05-29 16:08:28,"@TarekFatah @Moizkhans ha ha,one more good think abt pakistan is all terrorist head can be found in one place I.e pakistan.Easier target.😂😂😂"
736948178222735360,2016-05-29 15:51:52,RT @TheEconomist: America remains royally fed up with Pakistan https://t.co/cqgFlv1QV8 https://t.co/tfGHipJNSE
736942564872314880,2016-05-29 15:29:33,@CChristineFair @warraich19 @mistahspock Pakistan is failed state . They don't have any goal other than exporting terrorist#terroristshelter
736936471995678720,2016-05-29 15:05:21,"US won't tolerate terrorist safe havens in Pakistan: Ex-Envoy: According to the former diplomat, the raid wou... https://t.co/Ed98wsFHEX"
736932185798672388,2016-05-29 14:48:19,"RT @anandapoudel6: टीचर : तलको उखानलाइ अंग्रेजिमा प्रस्ट पार
""चोरको घरमा चोरी""
स्टुडेन्ट : Terrorist attack in Pakistan😉"
736931753865170944,2016-05-29 14:46:36,"Terrorist of Gujarat @narendramodi advising Pakistan is like
""چھاننی کوزے کو کہتی ہے تمہاری دو موریاں""
@defencepk  https://t.co/b2C54KCgBI"
736931279837536256,2016-05-29 14:44:43,"RT @The_Nation: US won’t tolerate terrorist safe havens in Pakistan: Ex-Envoy
https://t.co/YaIj89BJd3 https://t.co/bBfUTSIB41"
736931242977984512,2016-05-29 14:44:34,Pakistan a country struggling with terrorist and financial issues is more obsessed with nuclear weapons. https://t.co/l3mP7dnQrx
736929648060174338,2016-05-29 14:38:14,US won’t tolerate terrorist safe havens in Pakistan: Ex-Envoy: KABUL: James B. Cunningham has hoped that Paki... https://t.co/BvKt0KAaFU
736929643702296576,2016-05-29 14:38:13,US won’t tolerate terrorist safe havens in Pakistan: Ex-Envoy  #TheNation
736928521164050432,2016-05-29 14:33:45,"US won’t tolerate terrorist safe havens in Pakistan: Ex-Envoy
https://t.co/YaIj89BJd3 https://t.co/bBfUTSIB41"
736923367798939649,2016-05-29 14:13:16,RT @RT_Erdogan: I strongly condemn the terrorist attack that took place in Lahore yesterday. Turkey stands by Pakistan as it always has bee…
736920026536628225,2016-05-29 14:00:00,@guardiannews I think his family should file a criminal case against Pakistan for harbouring terrorist
736908774879989760,2016-05-29 13:15:17,@SAKSHAM23943095 @Wiseguy70 yes because everyone thinks that all terrorist are muslim. N all muslims are from pakistan.
736904665334304770,2016-05-29 12:58:57,#Pakistan Arrests #Government Officials For Helping Ex-#Taliban #Terrorist Leader Mullah Akhtar Mansur https://t.co/rei5JpzoFH
736904237104386048,2016-05-29 12:57:15,@BhattiNaadir @MaryamNSharif hmari dua hai Allah Pakistan ko Nawaz Shareef jaisay iqtasadi terrorist say nijaat ata farmaey. AMEE
736901157642113024,2016-05-29 12:45:01,#Dawn 'Terrorist attempt' thwarted as two suspected militants arrested in KP: RAWALPINDI: Security ... https://t.co/nZtC4y4N7a #Pakistan
736897938979311616,2016-05-29 12:32:14,@Wasifshakil what else can we expect. #pakistan as always playing double game. If so say openly why hide and lie. It's a terrorist country
736897067658907648,2016-05-29 12:28:46,#pakistan#news 'Terrorist attempt' thwarted as two suspected militants arrested in KP: RAWALPINDI: Security f... https://t.co/jfPuvGga1e
736896522340556804,2016-05-29 12:26:36,#pakistan#news 'Terrorist attempt' thwarted as two suspected militants arrested in KP: RAWALPINDI: Security f... https://t.co/TW1w4qGLvW
736896521711407104,2016-05-29 12:26:36,#Pakistan #news 'Terrorist attempt' thwarted as two suspected militants arrested in KP https://t.co/jDTJ77BpvL
736896520016953344,2016-05-29 12:26:35,#pakistan #news 'Terrorist attempt' thwarted as two suspected militants arrested in KP https://t.co/YFJODJYa1Z
736896517714251776,2016-05-29 12:26:35,#pakistan #news 'Terrorist attempt' thwarted as two suspected militants arrested in KP https://t.co/NpelCyaYqr
736896515763888128,2016-05-29 12:26:34,#pakistan #news 'Terrorist attempt' thwarted as two suspected militants arrested in KP https://t.co/UCynsYPsiF
736896513855524865,2016-05-29 12:26:34,#pakistan #business 'Terrorist attempt' thwarted as two suspected militants arrested in KP https://t.co/lIiUTIywPR
736895770666864641,2016-05-29 12:23:37,'Terrorist attempt' thwarted as two suspected militants arrested in KP  https://t.co/Ek2klPnDmP #Pakistan #News
736890352276148229,2016-05-29 12:02:05,"#Pajhwok Add Pakistan to list of terrorist states, MPs urge United Nations: By Basir Ahmad Fitri on... https://t.co/lw5V75zdx1 #Pakistan"
736890349868617729,2016-05-29 12:02:04,"#Pajhwok Add Pakistan to list of terrorist states, MPs urge United Nations: By Basir Ahmad Fitri... https://t.co/OoZI3U1aJk #Afghanistan"
736890344181104641,2016-05-29 12:02:03,"#Afghanistan Add Pakistan to list of terrorist states, MPs urge United Nations: By Basir Ahmad Fitri on 29 Ma... https://t.co/hOgnAXkvAN"
736890337096912896,2016-05-29 12:02:01,"#Pajhwok Add Pakistan to list of terrorist states, MPs urge United Nations: By Basir Ahmad Fitri... https://t.co/WH7pFEfzLH #Afghanistan"
736889951401299968,2016-05-29 12:00:29,RT @operationbless: 📷 Pakistan – Faraz suddenly lost his father and three siblings in a deadly terrorist attack. This new... https://t.co/g…
736889846082457600,2016-05-29 12:00:04,📷 Pakistan – Faraz suddenly lost his father and three siblings in a deadly terrorist attack. This new... https://t.co/gfqYpvjVF1
736888725616087040,2016-05-29 11:55:37,"Add Pakistan to list of terrorist states, MPs urge United Nations https://t.co/zTcCtrRLtl"
736885042232725504,2016-05-29 11:40:59,"RT @JNNsms: Why TTP/AQ Terrorist was in Pakistan?
How they lived here? Who are their Facilitators? Why they were not Arrested? https://t.co…"
736882514728456192,2016-05-29 11:30:56,RT @SaamZad: Pakistan Army is sheltering and protecting the radical terrorist groups. US must stop aid to Pakistan.  @StateDept https://t.c…
736880372118638592,2016-05-29 11:22:25,What's Happening in the World..?: Pakistan needs to actively pursue terrorist organi... https://t.co/GrubyDXcIo
736880069239558145,2016-05-29 11:21:13,@ZhaleelOlee @HinduRajyam @Asadullah_Syed we all now that pakistan is a bloody terrorist country
736879030004129792,2016-05-29 11:17:05,None of the three candidates still in US race have any plan about Pakistan's terrorist producing &amp; exporting factories using US arms &amp; money
736877774334480384,2016-05-29 11:12:06,@realZalmayMK @Senator_Baloch @PakSarfrazbugti In recent time we caught 100's of Afghan terrorist in refugee disguise destabilizing Pakistan
736877063567769600,2016-05-29 11:09:17,RT @Alhaan_: Pakistan long bn sheltered &amp; sheltering Afghan Terrorist Taliban which caused destruction  in Afghanistan. Kick thm out!
736875995605635072,2016-05-29 11:05:02,RT @murtazasolangi: Taliban reshuffled- What is up in Afghanistan- Pakistan- US triangle? The Economist https://t.co/0YDh70K3GD
736869329824669696,2016-05-29 10:38:33,RT @AnahaqImtruth: All Most Wanted Muslim Terrorists Found Dead Or Alive In Terrorist Havean Islamic Pakistan #ختم_نبوتؐ_ہمارا_ایمان https:…
736863654134591489,2016-05-29 10:16:00,"RT @mehakijaz24: Pakistan is not a Terrorist country....
Sadey kolon tey machhar ve nae mardey....
 😂😂😝 
#ShinningPearls"
736862652190711808,2016-05-29 10:12:01,"@sanjivsinha73 @aadikamle @SushmaSwaraj @aajtak Pakistan Indian Muslims ko Leke terrorist banati hai aur hum paki Hindu ko admission ,"
736856219693031424,2016-05-29 09:46:27,RT @murtazasolangi: Taliban reshuffled- What is up in Afghanistan- Pakistan- US triangle? The Economist https://t.co/0YDh70K3GD
736855970865938434,2016-05-29 09:45:28,Taliban reshuffled- What is up in Afghanistan- Pakistan- US triangle? The Economist https://t.co/0YDh70K3GD
736855838875353088,2016-05-29 09:44:56,RT @SaamZad: Pakistan Army is sheltering and protecting the radical terrorist groups. US must stop aid to Pakistan.  @StateDept https://t.c…
736855625049735168,2016-05-29 09:44:05,@nadeemmalik Us has no other option rather to pressurize Pakistan for Anti terrorist activities afraid of Chinese they could not leave Afg
736852339584294912,2016-05-29 09:31:02,"Paki Anchor: Why always world's Most wanted terrorist are found Inside Pakistan

https://t.co/2SgOczQgf4 https://t.co/fGmgMB5yXk"
736847241378299904,2016-05-29 09:10:46,"RT @anandapoudel6: टीचर : तलको उखानलाइ अंग्रेजिमा प्रस्ट पार
""चोरको घरमा चोरी""
स्टुडेन्ट : Terrorist attack in Pakistan😉"
736847121991634948,2016-05-29 09:10:18,"RT @anandapoudel6: टीचर : तलको उखानलाइ अंग्रेजिमा प्रस्ट पार
""चोरको घरमा चोरी""
स्टुडेन्ट : Terrorist attack in Pakistan😉"
736847097799049217,2016-05-29 09:10:12,"RT @ikhlaqgohar: Pakistan Army should start a campaign or a war to crush terrorist ideology, the ideology and source of hatred: #Wahhabism-…"
