id,created_at,text
739319789647056896,2016-06-05 04:55:48,Selfish #China Kills #endangered #tigers. Please Help them! SIGN&gt; https://t.co/ZqWzAscJJz #BoycottChina https://t.co/5VGv9j6M8P
739319364617277441,2016-06-05 04:54:07,See how #China treats endangered #Tigers! SIGN &amp; #BoycottChina! Don't visit or buy! CLICK&gt; https://t.co/b9NGwNVtDB  https://t.co/2bUIzA8lAN
739319271201771520,2016-06-05 04:53:44,.@wenjiabao Pls BAN Tigerbone wine &amp; STOP #TIGER farms! They are endangered! https://t.co/HMKlwkR3zO #BoycottChina https://t.co/PV8eK9fLPj
739316192947654656,2016-06-05 04:41:30,Endangered Species men neck dress #silk #tie red with tiger pattern NEW (NO TAGS) at https://t.co/hMSshQ7lu9 https://t.co/v0Au3lGuO8
739304621135400960,2016-06-05 03:55:31,Thai 'Tiger Temple': Five charged with possessing endangered animal... https://t.co/BSWur8LY7R https://t.co/chQiiVzK2G
739243243930521600,2016-06-04 23:51:38,E is for Endangered: Bengal Tiger: https://t.co/8sY9GxabZF via @YouTube
739237430813941762,2016-06-04 23:28:32,Selfish #China Kills #endangered #tigers. Please Help them! SIGN&gt; https://t.co/jhUklmYSbY #BoycottChina https://t.co/XY7C8vJzkd
739236295952728064,2016-06-04 23:24:01,See how #China treats endangered #Tigers! SIGN &amp; #BoycottChina! Don't visit or buy! CLICK&gt; https://t.co/M1qtQzLKCa  https://t.co/QdQZvgsult
739236086019436544,2016-06-04 23:23:11,.@wenjiabao Pls BAN Tigerbone wine &amp; STOP #TIGER farms! They are endangered! https://t.co/Xaj47f0k4L #BoycottChina https://t.co/ryhiJwdfnF
739217182870142976,2016-06-04 22:08:05,Tiger temple scandal: … argued that captive breeding of endangered animals can relieve the… https://t.co/nfqpqaKa1X
739209498791948288,2016-06-04 21:37:33,Tiger temple scandal: … argued that captive breeding of endangered animals can relieve the… https://t.co/nl3gfXXHfT
739162923881406465,2016-06-04 18:32:28,.@wenjiabao Pls BAN Tigerbone wine &amp; STOP #TIGER farms! They are endangered! https://t.co/YQ5BbfsYAW #BoycottChina https://t.co/xxvgKLvPLt
739144593128718336,2016-06-04 17:19:38,"RT @Eyesontheforest: Tiger, tiger burning bright . . . Endangered stuffed animals set on fire in the middle of an Indonesian square as... h…"
739141823667441665,2016-06-04 17:08:38,"RT @Eyesontheforest: Tiger, tiger burning bright . . . Endangered stuffed animals set on fire in the middle of an Indonesian square as... h…"
739127599448875008,2016-06-04 16:12:06,#US #CHINA #WILDLIFE #ENVIRONMENT #ENDANGERED #ENDANGEREDSPECIES #WORLDLOVE #MassExtinction #Wolves #Cats... https://t.co/rczKDd51y3
739116815427743745,2016-06-04 15:29:15,@CatchCorey loooool like he's some endangered tiger 😂
739110958316945412,2016-06-04 15:05:59,RT @TataCompanies: The tiger still falls under the category of ‘endangered’ species #SustainabilityMonth https://t.co/2RNiulV4JN
739110497925144576,2016-06-04 15:04:09,RT @bigcatscom: Thai 'Tiger Temple': Five charged with possessing endangered animal parts - CNN https://t.co/1w96NWjH5J
739106948755296256,2016-06-04 14:50:03,RT @TataCompanies: The tiger still falls under the category of ‘endangered’ species #SustainabilityMonth https://t.co/2RNiulV4JN
739094071843639296,2016-06-04 13:58:53,"RT @Marshy00: THE JUNGLE BOOK: Young boy hailed as hero for colonising countryside, starting forest fire, hunting endangered tiger &amp; enslav…"
739088055882141696,2016-06-04 13:34:58,Endangered Species men neck dress #silk #tie red with tiger pattern NEW (NO TAGS) at https://t.co/hMSshQ7lu9 https://t.co/Da89Xchpd3
739069486335070209,2016-06-04 12:21:11,RT @ElissaSursara: Delilah's a critically endangered Sumatran tiger cub living at @AustraliaZoo. Isn't she beautiful? https://t.co/NIFENJ2v…
739059988400885760,2016-06-04 11:43:26,RT @kheifa3: See how #China treats endangered #Tigers! SIGN &amp; #BoycottChina! Don't visit or buy! CLICK&gt; https://t.co/m3vTZ7LPe1  https://t.…
739058047377629184,2016-06-04 11:35:44,RT @TataCompanies: The tiger still falls under the category of ‘endangered’ species #SustainabilityMonth https://t.co/2RNiulV4JN
739056645876109312,2016-06-04 11:30:10,RT @TataCompanies: The tiger still falls under the category of ‘endangered’ species #SustainabilityMonth https://t.co/2RNiulV4JN
739053650119528448,2016-06-04 11:18:15,"My little family of adopted endangered animals 💚. 

#davidshepherdwildlifefoundation #wwf #tiger… https://t.co/hmjZpO8Itf"
739049060309422080,2016-06-04 11:00:01,RT @TataCompanies: The tiger still falls under the category of ‘endangered’ species #SustainabilityMonth https://t.co/2RNiulV4JN
739040669189169156,2016-06-04 10:26:40,RT @MinaANDMaya: Please RT&amp;SIGN! #USDA: Protect endangered #ocelot from cruel snares and traps https://t.co/M6fzK222sr
739039464677355520,2016-06-04 10:21:53,RT @kheifa3: See how #China treats endangered #Tigers! SIGN &amp; #BoycottChina! Don't visit or buy! CLICK&gt; https://t.co/m3vTZ7LPe1  https://t.…
