id,created_at,text
737938272010272768,2016-06-01 09:26:08,"RT @socialsports360: #ViratKohli donated 50% of his #IPL income to Old Age home https://t.co/oBX1m1QGEe 

#Cricket #India #Star #Donation"
737925608991293440,2016-06-01 08:35:49,"#ViratKohli donated 50% of his #IPL income to Old Age home https://t.co/oBX1m1QGEe 

#Cricket #India #Star #Donation"
737909572472541184,2016-06-01 07:32:06,"RT @in_poll: Which govt came strongly to eradicate the poverty from India?
#GaribonKiSarkaar #RefreshTheCity #NamoBestPMever"
737904126697299968,2016-06-01 07:10:28,"ICC_Champions Trophy 2017
+
Group A
Pakistan
India
Srilanka
South Africa
Group B
Australia
England
New Zealand
Bangladesh
+
JuNaID"
737740004282138625,2016-05-31 20:18:18,"'मैं विराट को बना देता टीम इंडिया का कप्तान'- रवि शास्त्री
https://t.co/YyEqg3mWqh #bcci #viratkohli #RaviShastri https://t.co/IAoiG80XbF"
737637879254376449,2016-05-31 13:32:29,"RT @DavidGDawkins: Ravi Shastri says Kohli should replace MS Dhoni as India's ODI captain
https://t.co/rKRkCPjRXJ #indiaNews #viratkohli #B…"
737637688564699136,2016-05-31 13:31:44,"RT @ChemElsy: R Ashwin praises 'thorough and honest captain' #ViratKohli

https://t.co/kH7qbOzxzv"
737633586631827457,2016-05-31 13:15:26,"RT @ChemElsy: R Ashwin praises 'thorough and honest captain' #ViratKohli

https://t.co/kH7qbOzxzv"
737625152905576453,2016-05-31 12:41:55,"RT @ChemElsy: R Ashwin praises Virat Kohli, calls him a 'thorough and honest captain'   https://t.co/kH7qbOzxzv #ViratKohli"
737613864800374785,2016-05-31 11:57:04,"SporTs_ALerT!
Test Crickter Danish Kaneria
Pakistan Chor Kar India Chalay Gaye..
*M.SHAKEEL KHAN*"
737610982415958019,2016-05-31 11:45:37,"R Ashwin praises 'thorough and honest captain' #ViratKohli

https://t.co/kH7qbOzxzv"
737610578106056705,2016-05-31 11:44:00,"R Ashwin praises 'thorough and honest captain' #ViratKohli

https://t.co/pG8gOAzTgH"
737608738664652800,2016-05-31 11:36:42,"R Ashwin praises 'thorough and honest captain' #ViratKohli

https://t.co/9ZHCux1mmO"
737601488873103360,2016-05-31 11:07:53,RT @CatchNews: Should #ViratKohli replace #MSDhoni as the captain of India's ODI and T20 teams?
737599270103048195,2016-05-31 10:59:04,Should #ViratKohli replace #MSDhoni as the captain of India's ODI and T20 teams?
737597724653027328,2016-05-31 10:52:56,"Breaking_News:
Pakistani
Test Crickter
Danish Kaneria
Pakistan
Chor Kar
India
Chaly Gaye.
+
""ALI_KHAN"""
737596000353669121,2016-05-31 10:46:05,"ಕ್ರಿಕೆಟ್​ನ ಮೂರು ಮಾದರಿಗಳಿಗೆ ವಿರಾಟ್ ಸಿದ್ಧ, ರವಿಶಾಸ್ತ್ರಿ #viratkohli 
https://t.co/q7clZPtgIC https://t.co/Bwa3xM4rm2"
737588175778942976,2016-05-31 10:14:59,@imVkohli #ViratKohli: Combining ruthlessness &amp; reliability in #cricket's fastest format #T20 #india #legend https://t.co/ip8Gw2t7gC via @FT
737585819561512962,2016-05-31 10:05:37,"Sports_Alert!
Pakistani Test Cricketer Danish_Kaneria
Pakistan Chorr Kar India Chalay Gaye.
     ""MEER_K/M""
&amp;
M.Shakeel"
737584062118793217,2016-05-31 09:58:38,#Dishoom #plotrevealed: #ViratKohli to get #kidnapped in #VarunDhawan and #JohnAbraham-starrer https://t.co/28EwR0ldGV via @ibtimes_india
737576226965987328,2016-05-31 09:27:30,"Ravi Shastri says Kohli should replace MS Dhoni as India's ODI captain
https://t.co/rKRkCPjRXJ #indiaNews #viratkohli #BCCI"
737566425221464064,2016-05-31 08:48:33,"RT @ChemElsy: R Ashwin praises Virat Kohli, calls him a 'thorough and honest captain'   https://t.co/kH7qbOzxzv #ViratKohli"
737566186464890880,2016-05-31 08:47:36,"RT @ChemElsy: R Ashwin praises Virat Kohli, calls him a 'thorough and honest captain'   https://t.co/kH7qbOzxzv #ViratKohli"
