id,created_at,text
739346325817303040,2016-06-05 06:41:15,"RT @DhoniKohliFever: #ViratKohli and #MSDhoni during the match for #AllHeartFC yesterday.
@msdhoni @imVkohli https://t.co/ZJts6IFOZd"
739346125266771968,2016-06-05 06:40:27,"Howzat? #ViratKohli gets kidnapped in @The_JohnAbraham @Varun_dvn's #Dishoom

Full story https://t.co/c6XlXxQwpm https://t.co/N7pkP4BMQS"
739344193932427265,2016-06-05 06:32:46,"RT @KaptaanKohli: #Kohli with his Family 😘😘

#ViratKohli #TeamIndia #Cricket #AsiaCup https://t.co/piDXpNfx8N"
739343168756387840,2016-06-05 06:28:42,"""He’s too ugly to be the world champ. The world champ should be pretty like me!""
Before Bowling To #ViratKohli"
739343019393028096,2016-06-05 06:28:06,"RT @salilverma1106: A glimpse at celebrity classic league, King kohli rocks.. #ViratKohli #ViratKohliFoundation @imVkohli https://t.co/1DnC…"
739342857065009152,2016-06-05 06:27:28,"RT @BiscootLive: Fiery @imVkohli turns up the heat in #GQ #Magazine - https://t.co/GbtLyZXnxT.
#ViratKohli @gqIndia #GQMagazine https://t.c…"
739342473953222656,2016-06-05 06:25:56,"RT @YuviWorld: Latest pic of @YUVSTRONG12,
@imVkohli,@hardikpandya7,@msdhoni 
During a Charity event organised by #ViratKohli https://t.co/…"
739341329566683136,2016-06-05 06:21:23,"RT @DhoniKohliFever: #ViratKohli and #MSDhoni during the match for #AllHeartFC yesterday.
@msdhoni @imVkohli https://t.co/ZJts6IFOZd"
739340666380111872,2016-06-05 06:18:45,"RT @DhoniKohliFever: #ViratKohli and #MSDhoni during the match for #AllHeartFC yesterday.
@msdhoni @imVkohli https://t.co/ZJts6IFOZd"
739339163799945216,2016-06-05 06:12:47,"RT @DhoniKohliFever: #ViratKohli and #MSDhoni during the match for #AllHeartFC yesterday.
@msdhoni @imVkohli https://t.co/ZJts6IFOZd"
739339157122617344,2016-06-05 06:12:45,"RT @DhoniKohliFever: #ViratKohli and #MSDhoni during the match for #AllHeartFC yesterday.
@msdhoni @imVkohli https://t.co/ZJts6IFOZd"
739338855850115072,2016-06-05 06:11:34,"#ViratKohli and #MSDhoni during the match for #AllHeartFC yesterday.
@msdhoni @imVkohli https://t.co/ZJts6IFOZd"
739337765754638336,2016-06-05 06:07:14,#congratulations #saniamirza #Dhoni #ViratKohli #ESPN #WorldFame100 rankings https://t.co/856ktwncmD
739337165159665664,2016-06-05 06:04:51,#congratulations #Sania #Dhoni #ViratKohli #ESPN  #WorldFame100 rankings https://t.co/YEQ8bvWFOB
739336617358446592,2016-06-05 06:02:40,"RT @DhoniKohliFever: #ViratKohli for #AllHeartFC. Credit to the uploaders.
@imVkohli https://t.co/hThXaebJXJ"
739336192643072000,2016-06-05 06:00:59,"A glimpse at celebrity classic league, King kohli rocks.. #ViratKohli #ViratKohliFoundation @imVkohli https://t.co/1DnCsguOBA"
739334508420300800,2016-06-05 05:54:17,"Bollywood vs cricketers #charityfootball match end in draw
#RanbirKapoor #ViratKohli #ViratKohliFoundation https://t.co/hxV4uJEouP"
739332099421790208,2016-06-05 05:44:43,"Unseen video of #MSDhoni&amp; #YuvrajSingh from the #charityfootball match last night!
#viratkohli #RanbirKapoor https://t.co/Q33rpSf5se"
739329122556620800,2016-06-05 05:32:53,RT @newsflicks: Flirting with fame: #ViratKohli ranks 8th in ESPN's World Fame 100 list: https://t.co/Yqv18tLSnA https://t.co/isqvx8ol6b
739328938732859392,2016-06-05 05:32:09,"RT @akhilaaa18: His smile😍uff m dead❤💋
#ViratKohli❤ https://t.co/YKT6R0E9fA"
739328791735062530,2016-06-05 05:31:34,"RT @KaptaanKohli: #Kohli with his Family 😘😘

#ViratKohli #TeamIndia #Cricket #AsiaCup https://t.co/piDXpNfx8N"
739327254275051522,2016-06-05 05:25:28,RT @vitorrians: https://t.co/FDMmqbiWqh Is #viratkohli better than #sachintendulkar? - a statistical #report.#article #read #share #write #…
739327142043881473,2016-06-05 05:25:01,RT @imviratkohlifan: Virat stands at 8th spot in terms of Reputation and earnings . Moment to feel proud. #ViratKohli https://t.co/iwiUs9Bf…
739325617099837447,2016-06-05 05:18:57,"#VVV comedy rocker 
❤️@sooriofficial 👏👏👏veralevel br @iamvishnuvishal superb performance br kudos to the team roboshankar top notch comedy 👍"
739325579002937344,2016-06-05 05:18:48,அதிசயமீன்.. Transparent fish caught in New Zealand seas
739324445613903872,2016-06-05 05:14:18,"RT @DhoniKohliFever: #ViratKohli on stage &amp; some glimpses of #MSDhoni and @YUVSTRONG12 during the Charity Gala Dinner.
@imVkohli @msdhoni h…"
739322333819637760,2016-06-05 05:05:54,RT @newsflicks: Flirting with fame: #ViratKohli ranks 8th in ESPN's World Fame 100 list: https://t.co/Yqv18tLSnA https://t.co/isqvx8ol6b
739320798490419200,2016-06-05 04:59:48,"His smile😍uff m dead❤💋
#ViratKohli❤ https://t.co/YKT6R0E9fA"
739318912421089280,2016-06-05 04:52:19,"RT @SbSdesi: @AudiIN @imVkohli Kuods to @viratkohli great year as individual player, so many achievement But disappointing performance in #…"
739318285255069701,2016-06-05 04:49:49,"RT @MSLGROUP_India: Proud to be partners with #ViratKohli Foundation, that hosted a charity dinner with Smile Foundation to support kids ht…"
739318107911692288,2016-06-05 04:49:07,"RT @DhoniKohliFever: The crowd goes 'Kohli Kohli'. RT if it gives you the feels of a cricket match.
#AllHeartFC #ViratKohli 
@imVkohli http…"
739317467193839616,2016-06-05 04:46:34,Some unseen pictures of #RanbirKapoor from the #CharityFootball match held last night. #ViratKohli #MSDhoni https://t.co/2uCCg4HMEO
739315619305295872,2016-06-05 04:39:14,"RT @DhoniKohliFever: #ViratKohli on stage &amp; some glimpses of #MSDhoni and @YUVSTRONG12 during the Charity Gala Dinner.
@imVkohli @msdhoni h…"
739315315528454144,2016-06-05 04:38:01,"@AudiIN @imVkohli Kuods to @viratkohli great year as individual player, so many achievement But disappointing performance in #IPL2016 final"
739315261984014340,2016-06-05 04:37:48,"RT @DhoniKohliFever: The crowd goes 'Kohli Kohli'. RT if it gives you the feels of a cricket match.
#AllHeartFC #ViratKohli 
@imVkohli http…"
739314816490213377,2016-06-05 04:36:02,"RT @DhoniKohliFever: #ViratKohli and #MSDhoni with Abhishek and Ranbir after the match.
#AllHeartFC @imVkohli @msdhoni https://t.co/OQxVLbb…"
739314789634052096,2016-06-05 04:35:56,"RT @DhoniKohliFever: The complete picture of #MSDhoni and #ViratKohli with @ashwinravi99 for #AllHeartFC.
 @msdhoni @imVkohli https://t.co/…"
739314647388426241,2016-06-05 04:35:22,RT @newsflicks: Flirting with fame: #ViratKohli ranks 8th in ESPN's World Fame 100 list: https://t.co/Yqv18tLSnA https://t.co/isqvx8ol6b
739314404085243906,2016-06-05 04:34:24,"RT @DhoniKohliFever: #ViratKohli on stage &amp; some glimpses of #MSDhoni and @YUVSTRONG12 during the Charity Gala Dinner.
@imVkohli @msdhoni h…"
739314304004984832,2016-06-05 04:34:00,Flirting with fame: #ViratKohli ranks 8th in ESPN's World Fame 100 list: https://t.co/ndaR33aKy2 https://t.co/NY7AjBOsRS
739314109850603520,2016-06-05 04:33:14,RT @newsflicks: Flirting with fame: #ViratKohli ranks 8th in ESPN's World Fame 100 list: https://t.co/Yqv18tLSnA https://t.co/isqvx8ol6b
739313864890712065,2016-06-05 04:32:15,RT @newsflicks: Flirting with fame: #ViratKohli ranks 8th in ESPN's World Fame 100 list: https://t.co/Yqv18tLSnA https://t.co/isqvx8ol6b
739313471037267968,2016-06-05 04:30:41,RT @newsflicks: Flirting with fame: #ViratKohli ranks 8th in ESPN's World Fame 100 list: https://t.co/Yqv18tLSnA https://t.co/isqvx8ol6b
739313389462249477,2016-06-05 04:30:22,Flirting with fame: #ViratKohli ranks 8th in ESPN's World Fame 100 list: https://t.co/Yqv18tLSnA https://t.co/isqvx8ol6b
739312360515502081,2016-06-05 04:26:17,"RT @BiscootLive: @imVkohli talks about the Clasico Foundation - https://t.co/rqE1u7SAFs.

#ClassicoChaityFoundation #ViratKohli #CelebrityC…"
739312307969216513,2016-06-05 04:26:04,"RT @BiscootLive: Fiery @imVkohli turns up the heat in #GQ #Magazine - https://t.co/GbtLyZXnxT.
#ViratKohli @gqIndia #GQMagazine https://t.c…"
